"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.484,0.378,0.292,0.496,0.442,0.541,0.437,0.466,0.495,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.216,0.138,0.297,0.164,0.213,0.124,0.226,0.23,0.198,0.253
"P04","No tengo trabajo",0.109,0.158,0.225,0.141,0.157,0.129,0.144,0.23,0.174,0.222
"P04","Soy jubilado o pensionado",0.191,0.326,0.186,0.199,0.188,0.206,0.193,0.074,0.133,0.124
"P05","1",0.311,0.402,0.431,0.297,0.222,0.117,0.209,0.35,0.199,0.251
"P05","2",0.07,0.071,0.102,0.048,0.095,0.05,0.088,0.087,0.011,0.062
"P05","3",0.05,0.087,0.05,0.028,0.047,0.023,0.043,0.082,0.029,0.072
"P05","4",0.084,0.114,0.085,0.09,0.051,0.044,0.041,0.057,0.049,0.059
"P05","5",0.249,0.195,0.179,0.324,0.184,0.117,0.174,0.185,0.037,0.251
"P05","6",0.04,0.029,0.033,0.065,0.069,0.061,0.077,0.044,0.003,0.055
"P05","7",0.035,0.028,0.014,0.052,0.075,0.184,0.091,0.025,0.078,0.041
"P05","8",0.023,0.026,0.013,0.018,0.048,0.124,0.08,0.037,0.119,0.038
"P05","9",0.138,0.048,0.093,0.078,0.209,0.28,0.197,0.133,0.475,0.171
"P06","1",0.196,0.177,0.225,0.26,0.359,0.509,0.366,0.106,0.377,0.278
"P06","2",0.053,0.035,0.027,0.018,0.078,0.084,0.101,0.07,0.083,0.023
"P06","3",0.022,0.033,0.028,0.039,0.057,0.084,0.075,0.04,0.049,0.05
"P06","4",0.025,0.035,0.041,0.064,0.066,0.04,0.074,0.028,0.044,0.035
"P06","5",0.22,0.187,0.185,0.266,0.214,0.107,0.134,0.182,0.169,0.285
"P06","6",0.066,0.054,0.053,0.08,0.038,0.011,0.02,0.051,0.054,0.042
"P06","7",0.108,0.105,0.044,0.066,0.033,0.042,0.029,0.066,0.009,0.045
"P06","8",0.047,0.085,0.062,0.013,0.024,0.02,0.032,0.073,0.013,0.028
"P06","9",0.263,0.289,0.335,0.194,0.131,0.103,0.169,0.384,0.202,0.214
"P07","1",0.319,0.233,0.292,0.389,0.421,0.75,0.489,0.193,0.673,0.33
"P07","2",0.041,0.035,0.015,0.023,0.04,0.023,0.031,0.03,0.037,0.028
"P07","3",0.035,0.036,0.021,0.024,0.025,0.046,0.05,0.032,0.056,0.034
"P07","4",0.035,0.022,0.043,0.027,0.035,0.014,0.015,0.011,0.006,0.015
"P07","5",0.128,0.145,0.078,0.146,0.118,0.06,0.03,0.138,0.118,0.143
"P07","6",0.022,0.027,0.016,0.039,0.016,0.001,0.04,0.04,0.013,0.033
"P07","7",0.039,0.048,0.03,0.021,0.009,0.007,0.022,0.048,0,0.023
"P07","8",0.026,0.049,0.04,0.024,0.017,0.007,0.023,0.058,0.003,0.019
"P07","9",0.355,0.405,0.465,0.307,0.319,0.092,0.3,0.45,0.094,0.375
"P09","Del Frente de Todos y el peronismo",0.065,0.03,0.123,0.095,0.736,0.882,0.761,0.03,0.291,0.232
"P09","De Juntos por el cambio",0.724,0.755,0.608,0.413,0.034,0.023,0.021,0.061,0.01,0.067
"P09","De los Liberales libertarios",0.05,0.134,0.067,0.133,0.027,0.019,0.027,0.784,0.011,0.053
"P09","De la Izquierda",0.019,0.009,0.023,0.073,0.029,0.021,0.014,0.028,0.641,0.058
"P09","No sabe",0.142,0.072,0.179,0.286,0.174,0.055,0.177,0.097,0.047,0.59
"P10","A Alberto Fernández",0.3,0.338,0.17,0.396,0.139,0.055,0.137,0.199,0.177,0.337
"P10","A Sergio Massa",0.343,0.037,0.283,0.143,0.497,0.075,0.162,0.236,0.015,0.081
"P10","A algún candidato del peronismo",0.357,0.276,0.239,0.346,0.104,0.122,0.33,0.565,0.558,0.211
"P10","A algún candidato del kirchnerismo",0,0.349,0.308,0.115,0.26,0.748,0.371,0,0.25,0.371
"P11","A Alberto Fernández",0.25,0.216,0.408,0.127,0.06,0.012,0.137,0,0.157,0.275
"P11","A Sergio Massa",0.343,0.048,0,0.196,0.373,0.023,0.064,0.395,0,0.034
"P11","A algún candidato del peronismo",0.38,0.412,0.239,0.323,0.079,0.061,0.191,0.379,0.476,0.134
"P11","A Cristina Fernández de Kirchner",0.027,0.324,0.353,0.354,0.488,0.904,0.608,0.226,0.367,0.557
"P12","A Horacio Rodriguez Larreta",0.832,0.069,0.325,0.375,0.464,0.16,0.057,0.276,0,0.299
"P12","A Patricia Bullrich",0.106,0.906,0.491,0.096,0.207,0.163,0.246,0.636,0.341,0.333
"P12","A Facundo Manes",0.009,0.009,0.143,0.347,0.239,0.616,0.697,0.06,0,0.101
"P12","A Gerardo Morales",0.053,0.016,0.041,0.182,0.09,0.061,0,0.028,0.659,0.267
"P13","Lo votaría",0.115,0.016,0.128,0.089,0.502,0.179,0.242,0.028,0.024,0.068
"P13","Puede que lo vote",0.069,0.1,0.141,0.162,0.34,0.432,0.35,0.059,0.101,0.171
"P13","Nunca lo votaría",0.736,0.843,0.65,0.663,0.042,0.201,0.191,0.833,0.68,0.453
"P13","No sabe",0.08,0.041,0.081,0.086,0.116,0.188,0.217,0.08,0.195,0.308
"P14","Lo votaría",0.062,0.015,0.04,0.115,0.269,0.121,0.266,0.026,0.083,0.124
"P14","Puede que lo vote",0.035,0.019,0.094,0.101,0.356,0.361,0.287,0.036,0.149,0.112
"P14","Nunca lo votaría",0.854,0.947,0.821,0.745,0.26,0.325,0.318,0.888,0.7,0.462
"P14","No sabe",0.049,0.019,0.045,0.039,0.115,0.193,0.129,0.05,0.068,0.302
"P15","Lo votaría",0.636,0.167,0.281,0.144,0.057,0.023,0.031,0.03,0.044,0.029
"P15","Puede que lo vote",0.255,0.447,0.358,0.329,0.098,0.056,0.144,0.169,0.017,0.085
"P15","Nunca lo votaría",0.088,0.332,0.244,0.452,0.771,0.903,0.772,0.724,0.906,0.626
"P15","No sabe",0.021,0.054,0.117,0.075,0.074,0.018,0.053,0.077,0.033,0.26
"P16","Lo votaría",0.176,0.079,0.112,0.454,0.041,0.019,0.043,0.052,0.043,0.02
"P16","Puede que lo vote",0.315,0.285,0.337,0.295,0.175,0.071,0.165,0.167,0.078,0.126
"P16","Nunca lo votaría",0.359,0.543,0.306,0.191,0.585,0.827,0.635,0.675,0.73,0.498
"P16","No sabe",0.15,0.093,0.245,0.06,0.199,0.083,0.157,0.106,0.149,0.356
"P17","La votaría",0.226,0.765,0.363,0.176,0.021,0.021,0.04,0.152,0.06,0.03
"P17","Puede que la vote",0.311,0.12,0.323,0.29,0.069,0.011,0.045,0.295,0.063,0.084
"P17","Nunca la votaría",0.391,0.087,0.216,0.478,0.853,0.941,0.859,0.476,0.849,0.572
"P17","No sabe",0.072,0.028,0.098,0.056,0.057,0.027,0.056,0.077,0.028,0.314
"P18","Lo votaría",0.126,0.186,0.151,0.071,0.026,0.024,0.021,0.784,0.007,0.048
"P18","Puede que lo vote",0.289,0.32,0.235,0.193,0.083,0.044,0.062,0.136,0.126,0.147
"P18","Nunca lo votaría",0.523,0.42,0.461,0.669,0.836,0.926,0.821,0.058,0.855,0.542
"P18","No sabe",0.062,0.074,0.153,0.067,0.055,0.006,0.096,0.022,0.012,0.263
"P19","La votaría",0.158,0.172,0.558,0.082,0.063,0.021,0.054,0.119,0.042,0.017
"P19","Puede que la vote",0.3,0.404,0.227,0.251,0.058,0.029,0.037,0.18,0.094,0.102
"P19","Nunca la votaría",0.454,0.343,0.168,0.556,0.807,0.909,0.825,0.641,0.864,0.599
"P19","No sabe",0.088,0.081,0.047,0.111,0.072,0.041,0.084,0.06,0,0.282
"P20","Lo votaría",0.032,0.033,0.08,0.014,0.119,0.59,0.173,0.018,0.079,0.019
"P20","Puede que lo vote",0.095,0.06,0.097,0.168,0.276,0.311,0.326,0.025,0.139,0.116
"P20","Nunca lo votaría",0.777,0.854,0.642,0.731,0.443,0.089,0.344,0.84,0.677,0.482
"P20","No sabe",0.096,0.053,0.181,0.087,0.162,0.01,0.157,0.117,0.105,0.383
"P21","Lo votaría",0.026,0.012,0.083,0.072,0.178,0.251,0.551,0.02,0.028,0.03
"P21","Puede que lo vote",0.079,0.026,0.075,0.09,0.416,0.498,0.328,0.056,0.178,0.14
"P21","Nunca lo votaría",0.848,0.933,0.751,0.737,0.31,0.187,0.063,0.872,0.657,0.527
"P21","No sabe",0.047,0.029,0.091,0.101,0.096,0.064,0.058,0.052,0.137,0.303
