"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.512,0.373,0.292,0.54,0.45,0.534,0.369,0.472,0.507,0.381
"P04","Realizo changas o trabajos de vez en cuando",0.18,0.136,0.293,0.119,0.231,0.129,0.267,0.234,0.186,0.257
"P04","No tengo trabajo",0.13,0.161,0.196,0.136,0.147,0.124,0.204,0.219,0.181,0.229
"P04","Soy jubilado o pensionado",0.178,0.33,0.219,0.205,0.172,0.213,0.16,0.075,0.126,0.133
"P05","1",0.353,0.408,0.328,0.276,0.227,0.121,0.243,0.37,0.186,0.248
"P05","2",0.056,0.074,0.135,0.03,0.098,0.042,0.097,0.087,0.01,0.079
"P05","3",0.044,0.091,0.074,0.026,0.058,0.021,0.051,0.079,0.03,0.045
"P05","4",0.087,0.111,0.083,0.151,0.056,0.039,0.018,0.057,0.042,0.063
"P05","5",0.238,0.185,0.193,0.338,0.193,0.119,0.139,0.192,0.128,0.263
"P05","6",0.043,0.029,0.03,0.054,0.07,0.06,0.063,0.048,0.007,0.055
"P05","7",0.028,0.028,0.015,0.067,0.074,0.192,0.076,0.025,0.039,0.044
"P05","8",0.014,0.019,0.011,0.026,0.042,0.127,0.046,0.034,0.138,0.063
"P05","9",0.137,0.055,0.131,0.032,0.182,0.279,0.267,0.108,0.42,0.14
"P06","1",0.184,0.174,0.188,0.193,0.353,0.479,0.42,0.126,0.293,0.287
"P06","2",0.055,0.034,0.047,0.02,0.067,0.089,0.081,0.062,0.138,0.024
"P06","3",0.033,0.035,0.054,0.024,0.066,0.077,0.043,0.03,0.015,0.072
"P06","4",0.023,0.034,0.02,0.089,0.071,0.055,0.036,0.034,0.051,0.04
"P06","5",0.21,0.173,0.172,0.309,0.24,0.126,0.133,0.182,0.23,0.266
"P06","6",0.072,0.046,0.093,0.083,0.035,0.012,0.019,0.047,0.067,0.04
"P06","7",0.103,0.104,0.045,0.087,0.022,0.044,0.038,0.073,0.015,0.038
"P06","8",0.034,0.083,0.071,0.023,0.029,0.025,0.002,0.076,0.015,0.041
"P06","9",0.286,0.317,0.31,0.172,0.117,0.093,0.228,0.37,0.176,0.192
"P07","1",0.306,0.225,0.239,0.317,0.44,0.726,0.419,0.218,0.566,0.362
"P07","2",0.043,0.034,0.016,0.02,0.043,0.021,0.042,0.032,0.052,0.018
