"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.43,0.461,0.513,0.532,0.387
"P04","Realizo changas o trabajos de vez en cuando",0.132,0.153,0.199,0.226,0.191
"P04","No tengo trabajo",0.156,0.142,0.201,0.14,0.196
"P04","Soy jubilado o pensionado",0.282,0.244,0.087,0.102,0.226
"P05","1",0.381,0.185,0.385,0.201,0.276
"P05","2",0.055,0.069,0.103,0.062,0.063
"P05","3",0.055,0.049,0.1,0.028,0.055
"P05","4",0.1,0.07,0.073,0.009,0.089
"P05","5",0.233,0.164,0.183,0.11,0.198
"P05","6",0.045,0.076,0.029,0.016,0.044
"P05","7",0.035,0.143,0.019,0.136,0.053
"P05","8",0.021,0.061,0.027,0.151,0.065
"P05","9",0.075,0.183,0.081,0.287,0.157
"P06","1",0.221,0.379,0.135,0.258,0.338
"P06","2",0.034,0.085,0.031,0.148,0.038
"P06","3",0.028,0.073,0.058,0.096,0.053
"P06","4",0.04,0.081,0.034,0.038,0.066
"P06","5",0.215,0.166,0.16,0.169,0.211
"P06","6",0.06,0.025,0.064,0.013,0.023
"P06","7",0.094,0.04,0.069,0.022,0.062
"P06","8",0.063,0.034,0.112,0.101,0.031
"P06","9",0.245,0.117,0.337,0.155,0.178
"P07","1",0.264,0.528,0.207,0.604,0.413
"P07","2",0.034,0.042,0.019,0.031,0.02
"P07","3",0.044,0.042,0.046,0.07,0.032
"P07","4",0.036,0.031,0.011,0.011,0.019
"P07","5",0.141,0.076,0.135,0.084,0.102
"P07","6",0.022,0.021,0.042,0.025,0.028
"P07","7",0.044,0.014,0.064,0.009,0.021
"P07","8",0.036,0.021,0.062,0.03,0.031
"P07","9",0.379,0.225,0.414,0.136,0.334
"P09","Del Frente de Todos y el peronismo",0.192,0.72,0.046,0.415,0.379
"P09","De Juntos por el cambio",0.695,0.155,0.229,0.113,0.274
"P09","De los Liberales libertarios",0.036,0.022,0.636,0.043,0.066
"P09","De la Izquierda",0,0.007,0.007,0.351,0.017
"P09","No sabe",0.077,0.096,0.082,0.078,0.264
"P10","A Alberto Fernández",0.204,0.073,0.173,0.027,0.184
"P10","A Sergio Massa",0.304,0.264,0.337,0.065,0.102
"P10","A algún candidato del peronismo",0.18,0.167,0.425,0.187,0.185
"P10","A algún candidato del kirchnerismo",0.312,0.496,0.065,0.721,0.529
"P11","A Alberto Fernández",0.165,0.05,0.173,0.016,0.135
"P11","A Sergio Massa",0.079,0.156,0.508,0.045,0.073
"P11","A algún candidato del peronismo",0.156,0.113,0.142,0.208,0.077
"P11","A Cristina Fernández de Kirchner",0.6,0.681,0.177,0.731,0.715
"P12","A Horacio Rodriguez Larreta",0.366,0.239,0.137,0.467,0.092
"P12","A Patricia Bullrich",0.554,0.454,0.843,0.315,0.806
"P12","A Facundo Manes",0.025,0.155,0.018,0.192,0.051
"P12","A Gerardo Morales",0.055,0.152,0.002,0.026,0.051
"P13","Lo votaría",0.094,0.317,0.022,0.05,0.066
"P13","Puede que lo vote",0.106,0.444,0.102,0.279,0.202
"P13","Nunca lo votaría",0.743,0.157,0.83,0.489,0.524
"P13","No sabe",0.057,0.082,0.046,0.182,0.208
"P14","Lo votaría",0.08,0.206,0.01,0.084,0.068
"P14","Puede que lo vote",0.087,0.355,0.035,0.246,0.114
"P14","Nunca lo votaría",0.809,0.332,0.914,0.621,0.645
"P14","No sabe",0.024,0.107,0.041,0.049,0.173
"P15","Lo votaría",0.36,0.078,0.034,0.072,0.027
"P15","Puede que lo vote",0.395,0.152,0.245,0.108,0.182
"P15","Nunca lo votaría",0.208,0.746,0.666,0.787,0.685
"P15","No sabe",0.037,0.024,0.055,0.033,0.106
"P16","Lo votaría",0.141,0.063,0.056,0.062,0.027
"P16","Puede que lo vote",0.349,0.205,0.181,0.149,0.145
"P16","Nunca lo votaría",0.404,0.598,0.681,0.658,0.662
"P16","No sabe",0.106,0.134,0.082,0.131,0.166
"P17","La votaría",0.474,0.125,0.359,0.048,0.234
"P17","Puede que la vote",0.211,0.038,0.282,0.165,0.077
"P17","Nunca la votaría",0.28,0.798,0.329,0.764,0.58
"P17","No sabe",0.035,0.039,0.03,0.023,0.109
"P18","Lo votaría",0.064,0.056,0.661,0.018,0.05
"P18","Puede que lo vote",0.263,0.071,0.25,0.146,0.151
"P18","Nunca lo votaría",0.6,0.843,0.069,0.823,0.691
"P18","No sabe",0.073,0.03,0.02,0.013,0.108
"P19","La votaría",0.245,0.074,0.142,0.052,0.044
"P19","Puede que la vote",0.309,0.107,0.263,0.121,0.143
"P19","Nunca la votaría",0.397,0.783,0.55,0.801,0.685
"P19","No sabe",0.049,0.036,0.045,0.026,0.128
"P20","Lo votaría",0.105,0.258,0.03,0.181,0.169
"P20","Puede que lo vote",0.091,0.315,0.052,0.317,0.158
"P20","Nunca lo votaría",0.737,0.344,0.867,0.377,0.534
"P20","No sabe",0.067,0.083,0.051,0.125,0.139
"P21","Lo votaría",0.084,0.262,0.03,0.079,0.099
"P21","Puede que lo vote",0.084,0.412,0.038,0.36,0.201
"P21","Nunca lo votaría",0.799,0.254,0.912,0.476,0.576
"P21","No sabe",0.033,0.072,0.02,0.085,0.124
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.218,0.03,0.007,0.059,0.014
"P22","Patricia Bullrich por Juntos por el Cambio",0.469,0.106,0.279,0.025,0.275
"P22","Facundo Manes por Juntos por el Cambio",0.084,0.041,0.032,0.068,0.046
"P22","Alberto Fernández por el Frente de Todos",0.031,0.098,0.01,0.075,0.07
"P22","Sergio Massa por el Frente de Todos",0.028,0.252,0.015,0.034,0.047
"P22","Wado de Pedro por el Frente de Todos",0.076,0.254,0.01,0.285,0.191
"P22","Daniel Scioli por el Frente de Todos",0.04,0.175,0.017,0.071,0.084
"P22","Javier Milei por los liberales libertarios",0.01,0.007,0.614,0.008,0.049
"P22","Al candidato del Frente de Izquierda",0.012,0.005,0,0.297,0
"P22","No sabe",0.032,0.032,0.016,0.078,0.224
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.228,0.028,0.01,0.031,0.015
"P23","Patricia Bullrich por Juntos por el Cambio",0.405,0.097,0.256,0.021,0.28
"P23","María Eugenia Vidal por Juntos por el Cambio",0.11,0.034,0.024,0.048,0.038
"P23","Facundo Manes por Juntos por el Cambio",0.065,0.043,0.02,0.062,0.04
"P23","Sergio Massa por el Frente de Todos",0.037,0.327,0.015,0.034,0.055
"P23","Wado de Pedro por el Frente de Todos",0.067,0.274,0.012,0.289,0.19
"P23","Daniel Scioli por el Frente de Todos",0.047,0.161,0.004,0.083,0.133
"P23","Javier Milei por los liberales libertarios",0.003,0.013,0.647,0.011,0.031
"P23","Al candidato del Frente de Izquierda",0.021,0.002,0.001,0.325,0.002
"P23","No sabe",0.017,0.021,0.011,0.096,0.216
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.21,0.029,0.007,0.036,0.012
"P24","Patricia Bullrich por Juntos por el Cambio",0.419,0.104,0.268,0.019,0.287
"P24","María Eugenia Vidal por Juntos por el Cambio",0.112,0.027,0.026,0.062,0.015
"P24","Facundo Manes por Juntos por el Cambio",0.066,0.039,0.019,0.063,0.057
"P24","Sergio Massa por el Frente de Todos",0.053,0.315,0.008,0.046,0.058
"P24","Wado de Pedro por el Frente de Todos",0.063,0.312,0.01,0.323,0.225
"P24","Alberto Fernández por el Frente de Todos",0.042,0.135,0.021,0.04,0.076
"P24","Javier Milei por los liberales libertarios",0.016,0.011,0.628,0.016,0.034
"P24","Al candidato del Frente de Izquierda",0.009,0,0,0.299,0.002
"P24","No sabe",0.01,0.028,0.013,0.096,0.234
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.221,0.04,0.015,0.096,0.015
"P25","Patricia Bullrich por Juntos por el Cambio",0.392,0.077,0.218,0.043,0.23
"P25","Facundo Manes por Juntos por el Cambio",0.135,0.047,0.068,0.042,0.114
