"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.32,0.298,0.288,0.275
"P05","2",0.061,0.141,0.077,0.042
"P05","3",0.042,0.053,0.119,0.036
"P05","4",0.063,0.054,0.037,0.152
"P05","5",0.21,0.17,0.194,0.185
"P05","6",0.05,0.031,0.034,0.044
"P05","7",0.064,0.048,0.036,0.064
"P05","8",0.045,0.04,0.032,0.043
"P05","9",0.145,0.165,0.183,0.159
"P06","1",0.248,0.309,0.28,0.313
"P06","2",0.06,0.072,0.043,0.044
"P06","3",0.046,0.039,0.055,0.035
"P06","4",0.049,0.032,0.029,0.041
"P06","5",0.201,0.176,0.186,0.173
"P06","6",0.044,0.05,0.025,0.048
"P06","7",0.073,0.04,0.046,0.06
"P06","8",0.055,0.038,0.046,0.049
"P06","9",0.224,0.244,0.29,0.237
"P07","1",0.391,0.297,0.331,0.368
"P07","2",0.034,0.036,0.039,0.021
"P07","3",0.041,0.035,0.024,0.016
"P07","4",0.02,0.023,0.014,0.03
"P07","5",0.139,0.114,0.078,0.097
"P07","6",0.025,0.019,0.025,0.032
"P07","7",0.036,0.024,0.025,0.028
"P07","8",0.03,0.034,0.032,0.031
"P07","9",0.284,0.418,0.432,0.377
"P09","Del Frente de Todos y el peronismo",0.329,0.263,0.228,0.307
"P09","De Juntos por el cambio",0.274,0.238,0.252,0.43
"P09","De los Liberales libertarios",0.219,0.227,0.249,0.093
"P09","De la Izquierda",0.032,0.058,0.054,0.026
"P09","No sabe",0.146,0.214,0.217,0.144
"P10","A Alberto Fernández",0.091,0.22,0.277,0.166
"P10","A Sergio Massa",0.207,0.186,0.21,0.207
"P10","A algún candidato del peronismo",0.204,0.24,0.131,0.182
"P10","A algún candidato del kirchnerismo",0.498,0.354,0.382,0.445
"P11","A Alberto Fernández",0.056,0.225,0.23,0.09
"P11","A Sergio Massa",0.143,0.155,0.116,0.105
"P11","A algún candidato del peronismo",0.131,0.15,0.166,0.119
"P11","A Cristina Fernández de Kirchner",0.67,0.47,0.488,0.686
"P12","A Horacio Rodriguez Larreta",0.28,0.438,0.289,0.22
"P12","A Patricia Bullrich",0.602,0.46,0.642,0.701
"P12","A Facundo Manes",0.076,0.066,0.03,0.034
"P12","A Gerardo Morales",0.042,0.036,0.039,0.045
"P13","Lo votaría",0.132,0.147,0.1,0.148
"P13","Puede que lo vote",0.207,0.186,0.158,0.164
"P13","Nunca lo votaría",0.546,0.531,0.599,0.568
"P13","No sabe",0.115,0.136,0.143,0.12
"P14","Lo votaría",0.089,0.124,0.133,0.091
"P14","Puede que lo vote",0.162,0.126,0.117,0.117
"P14","Nunca lo votaría",0.656,0.633,0.642,0.692
"P14","No sabe",0.093,0.117,0.108,0.1
"P15","Lo votaría",0.11,0.113,0.124,0.186
"P15","Puede que lo vote",0.196,0.205,0.223,0.253
"P15","Nunca lo votaría",0.635,0.569,0.551,0.481
"P15","No sabe",0.059,0.113,0.102,0.08
"P16","Lo votaría",0.086,0.069,0.069,0.085
"P16","Puede que lo vote",0.191,0.182,0.18,0.249
"P16","Nunca lo votaría",0.609,0.555,0.58,0.502
"P16","No sabe",0.114,0.194,0.171,0.164
"P17","La votaría",0.212,0.207,0.227,0.39
"P17","Puede que la vote",0.165,0.17,0.162,0.136
"P17","Nunca la votaría",0.561,0.492,0.503,0.419
"P17","No sabe",0.062,0.131,0.108,0.055
"P18","Lo votaría",0.226,0.29,0.288,0.116
"P18","Puede que lo vote",0.179,0.186,0.165,0.159
"P18","Nunca lo votaría",0.547,0.406,0.433,0.648
"P18","No sabe",0.048,0.118,0.114,0.077
"P19","La votaría",0.101,0.141,0.118,0.156
"P19","Puede que la vote",0.185,0.172,0.189,0.216
"P19","Nunca la votaría",0.65,0.556,0.579,0.514
"P19","No sabe",0.064,0.131,0.114,0.114
"P20","Lo votaría",0.141,0.075,0.07,0.136
"P20","Puede que lo vote",0.154,0.128,0.097,0.145
"P20","Nunca lo votaría",0.618,0.614,0.655,0.611
"P20","No sabe",0.087,0.183,0.178,0.108
"P21","Lo votaría",0.122,0.112,0.072,0.114
"P21","Puede que lo vote",0.192,0.154,0.137,0.162
"P21","Nunca lo votaría",0.616,0.621,0.672,0.657
"P21","No sabe",0.07,0.113,0.119,0.067
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.084,0.063,0.089
"P22","Patricia Bullrich por Juntos por el Cambio",0.2,0.178,0.211,0.389
"P22","Facundo Manes por Juntos por el Cambio",0.06,0.032,0.031,0.052
"P22","Alberto Fernández por el Frente de Todos",0.046,0.083,0.091,0.043
"P22","Sergio Massa por el Frente de Todos",0.074,0.098,0.067,0.076
"P22","Wado de Pedro por el Frente de Todos",0.139,0.07,0.089,0.119
"P22","Daniel Scioli por el Frente de Todos",0.074,0.087,0.043,0.065
