"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.321,0.291,0.283,0.324
"P05","2",0.037,0.105,0.056,0.054
"P05","3",0.056,0.042,0.129,0.039
"P05","4",0.062,0.044,0.059,0.1
"P05","5",0.194,0.243,0.21,0.161
"P05","6",0.044,0.037,0.047,0.034
"P05","7",0.081,0.036,0.022,0.047
"P05","8",0.051,0.043,0.03,0.059
"P05","9",0.154,0.159,0.164,0.182
"P06","1",0.262,0.26,0.293,0.319
"P06","2",0.053,0.047,0.061,0.054
"P06","3",0.04,0.023,0.026,0.029
"P06","4",0.057,0.053,0.027,0.037
"P06","5",0.191,0.241,0.244,0.167
"P06","6",0.039,0.035,0.05,0.05
"P06","7",0.063,0.031,0.03,0.054
"P06","8",0.067,0.04,0.039,0.047
"P06","9",0.228,0.27,0.23,0.243
"P07","1",0.423,0.318,0.369,0.352
"P07","2",0.047,0.033,0.031,0.024
"P07","3",0.035,0.027,0.016,0.031
"P07","4",0.025,0.015,0.023,0.016
"P07","5",0.116,0.109,0.087,0.1
"P07","6",0.018,0.012,0.02,0.019
"P07","7",0.045,0.033,0.026,0.033
"P07","8",0.039,0.034,0.035,0.028
"P07","9",0.252,0.419,0.393,0.397
"P09","Del Frente de Todos y el peronismo",0.35,0.269,0.242,0.317
"P09","De Cambiemos",0.286,0.221,0.221,0.422
"P09","De los Liberales libertarios",0.171,0.204,0.179,0.071
"P09","De la Izquierda",0.028,0.041,0.04,0.028
"P09","No sabe",0.165,0.265,0.318,0.162
"P10","A Alberto Fernández",0.156,0.238,0.273,0.234
"P10","A Sergio Massa",0.206,0.199,0.248,0.21
"P10","A algún candidato del peronismo",0.189,0.209,0.137,0.11
"P10","A algún candidato del kirchnerismo",0.449,0.354,0.342,0.446
"P11","A Alberto Fernández",0.121,0.194,0.248,0.14
"P11","A Sergio Massa",0.155,0.114,0.154,0.152
"P11","A algún candidato del peronismo",0.115,0.098,0.091,0.063
"P11","A Cristina Fernández de Kirchner",0.609,0.594,0.507,0.645
"P12","A Horacio Rodriguez Larreta",0.253,0.196,0.315,0.166
"P12","A Mauricio Macri",0.348,0.456,0.298,0.358
"P12","A Patricia Bullrich",0.294,0.265,0.266,0.386
"P12","A Facundo Manes",0.085,0.066,0.074,0.072
"P12","A Gerardo Morales",0.02,0.017,0.047,0.018
"P13","Seguro lo votaria",0.215,0.295,0.229,0.206
"P13","Quizás lo votaría",0.3,0.357,0.269,0.272
"P13","Nunca lo votaría",0.485,0.348,0.502,0.522
"P14","Lo votaría",0.197,0.19,0.159,0.32
"P14","Puede que lo vote",0.188,0.156,0.201,0.155
"P14","Nunca lo votaría",0.538,0.515,0.503,0.434
"P14","No sabe",0.077,0.139,0.137,0.091
"P15","Lo votaría",0.141,0.123,0.151,0.176
"P15","Puede que lo vote",0.223,0.196,0.171,0.162
"P15","Nunca lo votaría",0.549,0.556,0.563,0.574
"P15","No sabe",0.087,0.125,0.115,0.088
"P16","Lo votaría",0.101,0.109,0.14,0.144
"P16","Puede que lo vote",0.172,0.182,0.19,0.135
"P16","Nunca lo votaría",0.646,0.618,0.586,0.662
