"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.465,0.407,0.437,0.35,0.314
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.164,0.272,0.265,0.266
"P04","No tengo trabajo",0.143,0.14,0.203,0.22,0.271
"P04","Soy jubilado o pensionado",0.204,0.289,0.088,0.165,0.149
"P05","1",0.226,0.413,0.369,0.131,0.217
"P05","2",0.057,0.057,0.079,0.045,0.045
"P05","3",0.032,0.087,0.11,0.003,0.048
"P05","4",0.04,0.103,0.065,0.049,0.06
"P05","5",0.127,0.182,0.194,0.192,0.362
"P05","6",0.06,0.031,0.031,0.039,0.05
"P05","7",0.11,0.028,0.027,0.083,0.042
"P05","8",0.077,0.022,0.026,0.049,0.036
"P05","9",0.271,0.077,0.099,0.409,0.14
"P06","1",0.464,0.191,0.106,0.271,0.234
"P06","2",0.075,0.037,0.033,0.132,0.03
"P06","3",0.043,0.024,0.029,0.048,0.031
"P06","4",0.055,0.026,0.027,0.061,0.072
"P06","5",0.158,0.194,0.195,0.238,0.308
"P06","6",0.021,0.062,0.043,0.087,0.043
"P06","7",0.033,0.085,0.062,0.014,0.025
"P06","8",0.032,0.074,0.112,0.012,0.021
"P06","9",0.119,0.307,0.393,0.137,0.236
"P07","1",0.591,0.25,0.212,0.536,0.368
"P07","2",0.036,0.044,0.03,0.077,0.021
"P07","3",0.024,0.03,0.031,0.051,0.029
"P07","4",0.019,0.016,0.035,0.024,0.021
"P07","5",0.065,0.147,0.121,0.016,0.102
"P07","6",0.009,0.02,0.032,0.014,0.019
"P07","7",0.026,0.055,0.045,0.033,0.026
"P07","8",0.013,0.044,0.067,0.032,0.024
"P07","9",0.217,0.394,0.427,0.217,0.39
"P14","Lo votaría",0.033,0.569,0.129,0.059,0.083
"P14","Puede que lo vote",0.04,0.257,0.331,0.051,0.166
"P14","Nunca lo votaría",0.877,0.151,0.433,0.642,0.49
"P14","No sabe",0.05,0.023,0.107,0.248,0.261
"P15","Lo votaría",0.339,0.059,0.057,0.026,0.073
"P15","Puede que lo vote",0.361,0.077,0.074,0.287,0.197
"P15","Nunca lo votaría",0.2,0.839,0.827,0.523,0.492
"P15","No sabe",0.1,0.025,0.042,0.164,0.238
"P16","Lo votaría",0.31,0.028,0.014,0.008,0.064
"P16","Puede que lo vote",0.391,0.028,0.025,0.3,0.136
"P16","Nunca lo votaría",0.21,0.93,0.941,0.615,0.6
"P16","No sabe",0.089,0.014,0.02,0.077,0.2
"P17","La votaría",0.778,0.034,0.032,0.185,0.143
"P17","Puede que la vote",0.1,0.025,0.02,0.194,0.115
"P17","Nunca la votaría",0.09,0.936,0.933,0.56,0.596
"P17","No sabe",0.032,0.005,0.015,0.061,0.146
"P18","Lo votaría",0.052,0.33,0.069,0.068,0.091
"P18","Puede que lo vote",0.07,0.399,0.272,0.146,0.237
"P18","Nunca lo votaría",0.84,0.233,0.61,0.736,0.409
"P18","No sabe",0.038,0.038,0.049,0.05,0.263
"P19","Lo votaría",0.023,0.163,0.077,0.039,0.075
"P19","Puede que lo vote",0.106,0.403,0.28,0.236,0.208
"P19","Nunca lo votaría",0.76,0.371,0.574,0.578,0.41
"P19","No sabe",0.111,0.063,0.069,0.147,0.307
"P20","La votaría",0.023,0.557,0.299,0.091,0.069
"P20","Puede que la vote",0.035,0.288,0.342,0.064,0.165
"P20","Nunca la votaría",0.922,0.13,0.316,0.765,0.573
"P20","No sabe",0.02,0.025,0.043,0.08,0.193
"P21","Lo votaría",0.024,0.091,0.728,0.159,0.121
"P21","Puede que lo vote",0.05,0.278,0.182,0.054,0.143
"P21","Nunca lo votaría",0.895,0.579,0.064,0.711,0.503
