"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.446,0.422,0.466,0.296,0.335
"P04","Realizo changas o trabajos de vez en cuando",0.173,0.148,0.252,0.304,0.242
"P04","No tengo trabajo",0.157,0.147,0.201,0.286,0.183
"P04","Soy jubilado o pensionado",0.224,0.283,0.081,0.114,0.24
"P05","1",0.253,0.298,0.399,0.145,0.279
"P05","2",0.041,0.077,0.072,0.056,0.057
"P05","3",0.029,0.067,0.114,0.04,0.069
"P05","4",0.067,0.083,0.06,0.054,0.057
"P05","5",0.172,0.193,0.183,0.138,0.226
"P05","6",0.059,0.057,0.033,0.028,0.037
"P05","7",0.106,0.049,0.025,0.102,0.059
"P05","8",0.068,0.039,0.028,0.05,0.052
"P05","9",0.205,0.137,0.086,0.387,0.164
"P06","1",0.426,0.227,0.152,0.318,0.248
"P06","2",0.056,0.053,0.036,0.094,0.052
"P06","3",0.045,0.032,0.02,0.09,0.021
"P06","4",0.052,0.046,0.026,0.082,0.042
"P06","5",0.172,0.221,0.163,0.244,0.249
"P06","6",0.032,0.049,0.038,0.053,0.056
"P06","7",0.04,0.058,0.069,0.002,0.059
"P06","8",0.027,0.063,0.108,0.003,0.043
"P06","9",0.15,0.251,0.388,0.114,0.23
"P07","1",0.54,0.358,0.229,0.581,0.349
"P07","2",0.026,0.043,0.033,0.085,0.02
"P07","3",0.033,0.026,0.03,0.02,0.03
"P07","4",0.014,0.021,0.033,0.012,0.021
"P07","5",0.079,0.11,0.104,0.088,0.112
"P07","6",0.016,0.02,0.022,0,0.026
"P07","7",0.026,0.041,0.058,0.011,0.035
"P07","8",0.022,0.03,0.067,0,0.037
"P07","9",0.244,0.351,0.424,0.203,0.37
"P09","Del Frente de Todos y el peronismo",0.638,0.3,0.01,0.173,0.276
"P09","De Cambiemos",0.207,0.544,0.174,0.028,0.288
"P09","De los Liberales libertarios",0.023,0.029,0.666,0.079,0.051
"P09","De la Izquierda",0.01,0.01,0.012,0.462,0.021
"P09","No sabe",0.122,0.117,0.138,0.258,0.364
"P10","A Alberto Fernández",0.175,0.146,0.216,0.065,0.308
"P10","A Sergio Massa",0.23,0.244,0.076,0.094,0.042
"P10","A algún candidato del peronismo",0.146,0.129,0.402,0.326,0.212
"P10","A algún candidato del kirchnerismo",0.449,0.481,0.306,0.515,0.438
"P11","A Alberto Fernández",0.125,0.095,0.217,0.065,0.243
"P11","A Sergio Massa",0.17,0.169,0,0.094,0.024
"P11","A algún candidato del peronismo",0.071,0.095,0.402,0.201,0.124
"P11","A Cristina Fernández de Kirchner",0.634,0.641,0.381,0.64,0.609
"P12","A Horacio Rodriguez Larreta",0.274,0.258,0.135,0,0.145
"P12","A Mauricio Macri",0.33,0.353,0.402,0,0.374
"P12","A Patricia Bullrich",0.278,0.307,0.397,0.103,0.398
"P12","A Facundo Manes",0.085,0.069,0.056,0.897,0.064
"P12","A Gerardo Morales",0.033,0.013,0.01,0,0.019
"P13","Seguro lo votaria",0.177,0.194,0.39,0,0.115
"P13","Quizás lo votaría",0.259,0.276,0.484,0,0.269
"P13","Nunca lo votaría",0.564,0.53,0.126,1,0.616
"P14","Lo votaría",0.118,0.358,0.213,0.026,0.201
"P14","Puede que lo vote",0.115,0.193,0.307,0.05,0.153
"P14","Nunca lo votaría",0.707,0.389,0.354,0.697,0.551
"P14","No sabe",0.06,0.06,0.126,0.227,0.095
"P15","Lo votaría",0.29,0.164,0.048,0.043,0.068
"P15","Puede que lo vote",0.327,0.148,0.087,0.28,0.194
"P15","Nunca lo votaría",0.306,0.626,0.82,0.52,0.604
"P15","No sabe",0.077,0.062,0.045,0.157,0.134
"P16","Lo votaría",0.202,0.112,0.011,0.059,0.138
"P16","Puede que lo vote",0.345,0.143,0.027,0.229,0.136
"P16","Nunca lo votaría",0.38,0.703,0.925,0.535,0.635
"P16","No sabe",0.073,0.042,0.037,0.177,0.091
"P17","La votaría",0.554,0.247,0.015,0.244,0.327
"P17","Puede que la vote",0.1,0.067,0.02,0.201,0.067
