"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Facundo Manes","Positiva",0.263,0.278,0.248,0.184,0.239,0.297,0.35,0.253,0.26,0.278,0.236,0.32,0.152,0.389,0.408
"Facundo Manes","Neutra",0.337,0.338,0.335,0.265,0.356,0.349,0.349,0.328,0.361,0.309,0.352,0.304,0.364,0.298,0.326
"Facundo Manes","Negativa",0.344,0.341,0.349,0.505,0.351,0.297,0.234,0.324,0.335,0.384,0.354,0.325,0.418,0.288,0.235
"Facundo Manes","No sabe",0.056,0.043,0.068,0.046,0.054,0.057,0.067,0.095,0.044,0.029,0.058,0.051,0.066,0.025,0.031
"Patricia Bullrich","Positiva",0.419,0.432,0.405,0.375,0.355,0.452,0.562,0.393,0.425,0.439,0.419,0.416,0.13,0.737,0.404
"Patricia Bullrich","Neutra",0.132,0.147,0.117,0.174,0.152,0.101,0.086,0.154,0.12,0.124,0.126,0.145,0.101,0.13,0.254
"Patricia Bullrich","Negativa",0.431,0.407,0.456,0.432,0.467,0.438,0.341,0.426,0.441,0.423,0.442,0.41,0.755,0.126,0.342
"Patricia Bullrich","No sabe",0.018,0.014,0.022,0.019,0.026,0.009,0.011,0.027,0.014,0.014,0.013,0.029,0.014,0.007,0
"Gerardo Morales","Positiva",0.17,0.186,0.154,0.106,0.124,0.211,0.28,0.181,0.164,0.166,0.154,0.203,0.067,0.302,0.142
"Gerardo Morales","Neutra",0.325,0.303,0.346,0.283,0.366,0.293,0.317,0.359,0.334,0.271,0.326,0.321,0.258,0.361,0.477
"Gerardo Morales","Negativa",0.433,0.45,0.417,0.522,0.432,0.431,0.35,0.369,0.437,0.5,0.449,0.4,0.602,0.293,0.328
"Gerardo Morales","No sabe",0.072,0.061,0.083,0.089,0.078,0.065,0.053,0.091,0.065,0.063,0.071,0.076,0.073,0.044,0.053
"Horacio Rodriguez Larreta","Positiva",0.323,0.286,0.36,0.214,0.294,0.353,0.463,0.291,0.326,0.359,0.319,0.333,0.113,0.586,0.313
