"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.432,0.415,0.467,0.348,0.344
"P04","Realizo changas o trabajos de vez en cuando",0.17,0.181,0.245,0.241,0.194
"P04","No tengo trabajo",0.148,0.177,0.2,0.337,0.176
"P04","Soy jubilado o pensionado",0.25,0.227,0.088,0.074,0.286
"P05","1",0.27,0.251,0.42,0.071,0.314
"P05","2",0.058,0.069,0.056,0.023,0.066
"P05","3",0.055,0.045,0.114,0.004,0.075
"P05","4",0.063,0.068,0.071,0.05,0.066
"P05","5",0.148,0.199,0.164,0.231,0.27
"P05","6",0.06,0.052,0.026,0.03,0.046
"P05","7",0.11,0.065,0.015,0.113,0.033
"P05","8",0.065,0.043,0.038,0.051,0.034
"P05","9",0.171,0.208,0.096,0.427,0.096
"P06","1",0.369,0.334,0.138,0.267,0.187
"P06","2",0.063,0.049,0.035,0.115,0.056
"P06","3",0.043,0.034,0.029,0.045,0.02
"P06","4",0.042,0.049,0.029,0.064,0.042
"P06","5",0.157,0.214,0.143,0.306,0.311
"P06","6",0.04,0.036,0.039,0.076,0.049
"P06","7",0.045,0.042,0.074,0,0.075
"P06","8",0.052,0.046,0.107,0,0.041
"P06","9",0.189,0.196,0.406,0.127,0.219
"P07","1",0.484,0.451,0.216,0.634,0.249
"P07","2",0.035,0.031,0.035,0.113,0.021
"P07","3",0.038,0.024,0.023,0.008,0.03
"P07","4",0.016,0.02,0.038,0.018,0.011
"P07","5",0.087,0.092,0.093,0.05,0.143
"P07","6",0.019,0.016,0.024,0,0.031
"P07","7",0.034,0.027,0.057,0.008,0.046
"P07","8",0.031,0.019,0.07,0.007,0.045
"P07","9",0.256,0.32,0.444,0.162,0.424
"P09","Del Frente de Todos y el peronismo",0.494,0.504,0.019,0.039,0.14
"P09","De Cambiemos",0.329,0.33,0.17,0.017,0.384
"P09","De los Liberales libertarios",0.041,0.026,0.673,0.081,0.05
"P09","De la Izquierda",0.009,0.01,0.011,0.576,0.02
"P09","No sabe",0.127,0.13,0.127,0.287,0.406
"P10","A Alberto Fernández",0.211,0.133,0.371,0.424,0.405
"P10","A Sergio Massa",0.19,0.206,0.064,0,0.215
"P10","A algún candidato del peronismo",0.14,0.145,0.391,0,0.26
"P10","A algún candidato del kirchnerismo",0.459,0.516,0.174,0.576,0.12
"P11","A Alberto Fernández",0.136,0.101,0.239,0.424,0.347
"P11","A Sergio Massa",0.133,0.138,0.236,0,0.254
"P11","A algún candidato del peronismo",0.058,0.094,0.309,0,0.231
"P11","A Cristina Fernández de Kirchner",0.673,0.667,0.216,0.576,0.168
"P12","A Horacio Rodriguez Larreta",0.297,0.232,0.077,0.247,0.126
"P12","A Mauricio Macri",0.263,0.427,0.372,0,0.403
"P12","A Patricia Bullrich",0.312,0.268,0.485,0.272,0.403
"P12","A Facundo Manes",0.103,0.052,0.056,0.481,0.064
"P12","A Gerardo Morales",0.025,0.021,0.01,0,0.004
"P13","Seguro lo votaria",0.195,0.203,0.313,0.272,0.126
"P13","Quizás lo votaría",0.241,0.306,0.534,0,0.273
"P13","Nunca lo votaría",0.564,0.491,0.153,0.728,0.601
"P14","Lo votaría",0.204,0.224,0.211,0.028,0.284
"P14","Puede que lo vote",0.131,0.15,0.309,0.023,0.184
"P14","Nunca lo votaría",0.607,0.573,0.359,0.588,0.407
"P14","No sabe",0.058,0.053,0.121,0.361,0.125
"P15","Lo votaría",0.221,0.218,0.039,0.02,0.066
"P15","Puede que lo vote",0.265,0.237,0.074,0.264,0.134
"P15","Nunca lo votaría",0.42,0.482,0.845,0.483,0.683
"P15","No sabe",0.094,0.063,0.042,0.233,0.117
"P16","Lo votaría",0.176,0.173,0.014,0.084,0.061
"P16","Puede que lo vote",0.262,0.234,0.032,0.195,0.09
"P16","Nunca lo votaría",0.502,0.525,0.925,0.56,0.758
"P16","No sabe",0.06,0.068,0.029,0.161,0.091
"P17","La votaría",0.497,0.452,0.009,0.147,0.051
"P17","Puede que la vote",0.084,0.086,0.017,0.225,0.07
"P17","Nunca la votaría",0.396,0.436,0.959,0.551,0.801
"P17","No sabe",0.023,0.026,0.015,0.077,0.078
"P18","Lo votaría",0.206,0.21,0.066,0.009,0.053
"P18","Puede que lo vote",0.201,0.223,0.294,0.128,0.299
"P18","Nunca lo votaría",0.545,0.519,0.581,0.757,0.478
"P18","No sabe",0.048,0.048,0.059,0.106,0.17
"P19","Lo votaría",0.086,0.11,0.067,0.031,0.077
"P19","Puede que lo vote",0.216,0.251,0.289,0.131,0.284
"P19","Nunca lo votaría",0.591,0.531,0.571,0.687,0.447
"P19","No sabe",0.107,0.108,0.073,0.151,0.192
"P20","La votaría",0.215,0.213,0.335,0.019,0.318
"P20","Puede que la vote",0.109,0.176,0.343,0.018,0.193
"P20","Nunca la votaría",0.638,0.581,0.278,0.869,0.403
"P20","No sabe",0.038,0.03,0.044,0.094,0.086
"P21","Lo votaría",0.061,0.044,0.691,0.123,0.04
"P21","Puede que lo vote",0.119,0.141,0.214,0.073,0.144
"P21","Nunca lo votaría",0.764,0.764,0.056,0.68,0.671
"P21","No sabe",0.056,0.051,0.039,0.124,0.145
"P22","La votaría",0.111,0.128,0.112,0.023,0.104
"P22","Puede que la vote",0.157,0.174,0.272,0.079,0.264
"P22","Nunca la votaría",0.644,0.631,0.54,0.75,0.506
"P22","No sabe",0.088,0.067,0.076,0.148,0.126
"P23","Lo votaría",0.139,0.124,0.01,0.014,0.061
"P23","Puede que lo vote",0.303,0.317,0.044,0.047,0.116
"P23","Nunca lo votaría",0.494,0.51,0.924,0.845,0.749
"P23","No sabe",0.064,0.049,0.022,0.094,0.074
"P24","Lo votaría",0.054,0.054,0.009,0,0.038
"P24","Puede que lo vote",0.166,0.197,0.111,0.089,0.111
"P24","Nunca lo votaría",0.654,0.637,0.787,0.764,0.65
"P24","No sabe",0.126,0.112,0.093,0.147,0.201
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.212,0.222,0.125,0.032,0.324
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.144,0.172,0.031,0.017,0.036
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.077,0.066,0.008,0.051,0.07
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.52,0.487,0.005,0.218,0.065
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.01,0.011,0.778,0.081,0.023
"P25","Otros candidatos",0.037,0.042,0.053,0.601,0.482
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.586,0.55,0.005,0.228,0.084
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.301,0.339,0.131,0.012,0.358
"P29","Javier Milei – José Luis Espert por los liberales",0.027,0.033,0.815,0.078,0.044
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0.013,0.01,0.502,0.005
"P29","Otro candidato",0.077,0.065,0.039,0.18,0.509
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.347,0.399,0.045,0.032,0.125
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.412,0.376,0.014,0.072,0.095
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.028,0.045,0.892,0.181,0.05
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.027,0.019,0.008,0.68,0.015
"P31","Otro candidato",0.186,0.161,0.041,0.035,0.715
