"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.373,0.505,0.561,0.487
"P04","Realizo changas o trabajos de vez en cuando",0.229,0.143,0.183,0.182
"P04","No tengo trabajo",0.217,0.144,0.127,0.115
"P04","Soy jubilado o pensionado",0.181,0.208,0.129,0.216
"P05","1",0.362,0.303,0.3,0.135
"P05","2",0.053,0.044,0.047,0.053
"P05","3",0.008,0.038,0.106,0.019
"P05","4",0.03,0.037,0.041,0.041
"P05","5",0.073,0.156,0.173,0.127
"P05","6",0.013,0.065,0.048,0.08
"P05","7",0.063,0.127,0.05,0.143
"P05","8",0.072,0.034,0.041,0.1
"P05","9",0.326,0.196,0.194,0.302
"P06","1",0.432,0.448,0.361,0.504
"P06","2",0.106,0.038,0.048,0.074
"P06","3",0.002,0.053,0.061,0.056
"P06","4",0.043,0.061,0.036,0.065
"P06","5",0.159,0.215,0.226,0.137
"P06","6",0.016,0.025,0.008,0.023
"P06","7",0.015,0.051,0.055,0.022
"P06","8",0.023,0.017,0.045,0.036
"P06","9",0.204,0.092,0.16,0.083
"P07","1",0.524,0.559,0.444,0.684
"P07","2",0.024,0.035,0.016,0.037
"P07","3",0.027,0.036,0.01,0.022
"P07","4",0.011,0.024,0,0.024
"P07","5",0.051,0.031,0.107,0.063
"P07","6",0.012,0.008,0.016,0.005
"P07","7",0,0.031,0.068,0.023
"P07","8",0.004,0.024,0.028,0.011
"P07","9",0.347,0.252,0.311,0.131
"P10","A Alberto Fernández",0.852,0.083,0.085,0.079
"P10","A Sergio Massa",0.033,0.819,0.078,0.128
"P10","A algún candidato del peronismo",0.083,0.053,0.742,0.126
"P10","A algún candidato del kirchnerismo",0.032,0.045,0.095,0.667
"P14","Lo votaría",0.082,0.004,0.135,0.009
"P14","Puede que lo vote",0.045,0.158,0.045,0.006
"P14","Nunca lo votaría",0.853,0.825,0.797,0.915
"P14","No sabe",0.02,0.013,0.023,0.07
"P15","Lo votaría",0.36,0.685,0.311,0.242
"P15","Puede que lo vote",0.329,0.2,0.273,0.434
"P15","Nunca lo votaría",0.234,0.106,0.356,0.193
"P15","No sabe",0.077,0.009,0.06,0.131
"P16","Lo votaría",0.846,0.274,0.136,0.187
"P16","Puede que lo vote",0.128,0.419,0.309,0.476
"P16","Nunca lo votaría",0.011,0.234,0.449,0.228
"P16","No sabe",0.015,0.073,0.106,0.109
"P17","La votaría",0.726,0.499,0.374,0.929
"P17","Puede que la vote",0.125,0.246,0.182,0.046
"P17","Nunca la votaría",0.114,0.182,0.331,0.018
"P17","No sabe",0.035,0.073,0.113,0.007
