"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P04","Tengo trabajo estable",0.439,0.469,0.428,0.416,0.378,0.435
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.162,0.183,0.193,0.212,0.277
"P04","No tengo trabajo",0.185,0.137,0.177,0.149,0.226,0.077
"P04","Soy jubilado o pensionado",0.201,0.232,0.212,0.242,0.184,0.211
"P05","1",0.239,0.145,0.266,0.384,0.401,0.359
"P05","2",0.056,0.073,0.056,0.055,0.062,0.142
"P05","3",0.02,0.034,0.101,0.068,0.115,0.008
"P05","4",0.049,0.076,0.075,0.095,0.066,0.032
"P05","5",0.168,0.157,0.224,0.176,0.165,0.286
"P05","6",0.054,0.079,0.048,0.044,0.026,0.049
"P05","7",0.107,0.108,0.078,0.044,0.009,0.05
"P05","8",0.086,0.084,0.039,0.043,0.02,0.032
"P05","9",0.221,0.244,0.113,0.091,0.136,0.042
"P06","1",0.394,0.434,0.23,0.207,0.164,0.259
"P06","2",0.068,0.087,0.042,0.042,0.047,0.009
"P06","3",0.041,0.069,0.034,0.024,0.008,0.029
"P06","4",0.045,0.051,0.053,0.027,0.036,0.048
"P06","5",0.231,0.155,0.229,0.172,0.157,0.391
"P06","6",0.018,0.025,0.074,0.056,0.035,0.037
"P06","7",0.027,0.037,0.066,0.06,0.083,0.058
"P06","8",0.039,0.033,0.065,0.095,0.076,0.05
"P06","9",0.137,0.109,0.207,0.317,0.394,0.119
"P07","1",0.554,0.566,0.371,0.302,0.231,0.249
"P07","2",0.024,0.039,0.039,0.026,0.032,0
"P07","3",0.034,0.044,0.035,0.036,0.009,0.036
"P07","4",0.007,0.04,0.017,0.031,0.021,0.008
"P07","5",0.088,0.063,0.108,0.106,0.115,0.257
"P07","6",0.011,0.017,0.021,0.031,0.029,0.051
"P07","7",0.021,0.028,0.04,0.046,0.048,0.073
"P07","8",0.023,0.02,0.053,0.05,0.047,0.025
"P07","9",0.238,0.183,0.316,0.372,0.468,0.301
"P09","Del Frente de Todos y el peronismo",0.718,0.727,0.236,0.084,0.032,0.116
"P09","De Cambiemos",0.069,0.099,0.332,0.46,0.503,0.16
"P09","De los Liberales libertarios",0.07,0.073,0.157,0.228,0.324,0.343
"P09","De la Izquierda",0.009,0.014,0.037,0.055,0.021,0.014
"P09","No sabe",0.134,0.087,0.238,0.173,0.12,0.367
"P10","A Alberto Fernández",0.179,0.14,0.202,0.126,0.158,0.724
"P10","A Sergio Massa",0.366,0.132,0.035,0.129,0.095,0.201
"P10","A algún candidato del peronismo",0.089,0.165,0.242,0.191,0.374,0.075
"P10","A algún candidato del kirchnerismo",0.366,0.563,0.521,0.554,0.373,0
"P11","A Alberto Fernández",0.155,0.07,0.156,0.076,0.122,0.724
"P11","A Sergio Massa",0.274,0.108,0.012,0.012,0.095,0.201
"P11","A algún candidato del peronismo",0.051,0.059,0.149,0.193,0.368,0
"P11","A Cristina Fernández de Kirchner",0.52,0.763,0.683,0.719,0.415,0.075
"P12","A Horacio Rodriguez Larreta",0.593,0.285,0.221,0.241,0.137,0.274
"P12","A Mauricio Macri",0.069,0.338,0.36,0.299,0.447,0.223
"P12","A Patricia Bullrich",0.055,0.193,0.308,0.421,0.346,0.424
"P12","A Facundo Manes",0.242,0.107,0.088,0.021,0.063,0.079
"P12","A Gerardo Morales",0.041,0.077,0.023,0.018,0.007,0
"P13","Seguro lo votaria",0.342,0.191,0.187,0.205,0.191,0.37
"P13","Quizás lo votaría",0.14,0.371,0.326,0.289,0.284,0.203
"P13","Nunca lo votaría",0.518,0.438,0.487,0.506,0.525,0.427
"P14","Lo votaría",0.033,0.051,0.23,0.332,0.422,0.12
"P14","Puede que lo vote",0.074,0.09,0.202,0.29,0.258,0.192
"P14","Nunca lo votaría",0.825,0.785,0.475,0.261,0.25,0.475
"P14","No sabe",0.068,0.074,0.093,0.117,0.07,0.213
"P15","Lo votaría",0.522,0.228,0.063,0.013,0.047,0.07
"P15","Puede que lo vote",0.301,0.417,0.204,0.069,0.029,0.073
"P15","Nunca lo votaría",0.124,0.254,0.618,0.86,0.899,0.641
"P15","No sabe",0.053,0.101,0.115,0.058,0.025,0.216
"P16","Lo votaría",0.322,0.157,0.07,0.022,0.02,0.17
"P16","Puede que lo vote",0.309,0.417,0.156,0.044,0.014,0.085
"P16","Nunca lo votaría",0.31,0.307,0.713,0.908,0.951,0.582
"P16","No sabe",0.059,0.119,0.061,0.026,0.015,0.163
"P17","La votaría",0.615,0.632,0.233,0.104,0.031,0.122
"P17","Puede que la vote",0.143,0.109,0.084,0.029,0.01,0.035
"P17","Nunca la votaría",0.206,0.23,0.647,0.858,0.946,0.696
"P17","No sabe",0.036,0.029,0.036,0.009,0.013,0.147
"P18","Lo votaría",0.122,0.059,0.182,0.24,0.17,0.073
"P18","Puede que lo vote",0.074,0.154,0.282,0.362,0.325,0.253
"P18","Nunca lo votaría",0.743,0.758,0.446,0.335,0.446,0.388
"P18","No sabe",0.061,0.029,0.09,0.063,0.059,0.286
"P19","Lo votaría",0.058,0.04,0.123,0.074,0.117,0.128
"P19","Puede que lo vote",0.151,0.163,0.296,0.429,0.27,0.271
"P19","Nunca lo votaría",0.677,0.703,0.46,0.406,0.541,0.363
"P19","No sabe",0.114,0.094,0.121,0.091,0.072,0.238
"P20","La votaría",0.061,0.071,0.286,0.339,0.479,0.194
"P20","Puede que la vote",0.058,0.085,0.188,0.287,0.295,0.325
"P20","Nunca la votaría",0.853,0.828,0.485,0.317,0.2,0.312
"P20","No sabe",0.028,0.016,0.041,0.057,0.026,0.169
"P21","Lo votaría",0.094,0.082,0.17,0.222,0.354,0.315
"P21","Puede que lo vote",0.065,0.079,0.155,0.257,0.204,0.201
"P21","Nunca lo votaría",0.799,0.814,0.584,0.46,0.403,0.331
"P21","No sabe",0.042,0.025,0.091,0.061,0.039,0.153
"P22","La votaría",0.052,0.023,0.121,0.208,0.191,0.084
"P22","Puede que la vote",0.04,0.087,0.23,0.357,0.308,0.228
"P22","Nunca la votaría",0.822,0.854,0.559,0.35,0.448,0.487
"P22","No sabe",0.086,0.036,0.09,0.085,0.053,0.201
"P23","Lo votaría",0.263,0.14,0.036,0.013,0.038,0.145
"P23","Puede que lo vote",0.352,0.481,0.202,0.096,0.034,0.116
"P23","Nunca lo votaría",0.299,0.329,0.7,0.847,0.918,0.597
"P23","No sabe",0.086,0.05,0.062,0.044,0.01,0.142
"P24","Lo votaría",0.046,0.029,0.046,0.027,0.046,0.059
"P24","Puede que lo vote",0.096,0.138,0.169,0.233,0.159,0.178
"P24","Nunca lo votaría",0.723,0.751,0.627,0.614,0.739,0.527
"P24","No sabe",0.135,0.082,0.158,0.126,0.056,0.236
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.033,0.049,0.212,0.332,0.41,0.157
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.048,0.064,0.152,0.175,0.082,0.135
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.119,0.048,0.051,0.017,0.005,0.107
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.684,0.691,0.273,0.084,0.027,0.088
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.045,0.063,0.166,0.243,0.35,0.282
"P25","Otros candidatos",0.071,0.085,0.146,0.149,0.126,0.231
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.774,0.746,0.302,0.095,0.022,0.136
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.046,0.081,0.3,0.475,0.476,0.262
"P29","Javier Milei – José Luis Espert por los liberales",0.067,0.08,0.196,0.263,0.375,0.327
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.015,0.033,0.033,0.025,0.006
"P29","Otro candidato",0.098,0.078,0.169,0.134,0.102,0.269
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.141,0.144,0.306,0.353,0.32,0.157
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.541,0.493,0.199,0.09,0.032,0.157
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.073,0.076,0.226,0.314,0.418,0.303
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.024,0.046,0.047,0.044,0.017,0.013
"P31","Otro candidato",0.221,0.241,0.222,0.199,0.213,0.37
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.759,0.667,0.184,0.06,0.015,0.139
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.082,0.109,0.342,0.499,0.503,0.199
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.046,0.048,0.174,0.242,0.344,0.301
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.021,0.027,0.053,0.038,0.017,0.013
"P33","Otro candidato",0.092,0.149,0.247,0.161,0.121,0.348
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.56,0.477,0.236,0.179,0.107,0.147
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.262,0.292,0.242,0.279,0.246,0.183
"P35","Javier Milei – José Luis Espert por los liberales",0.065,0.068,0.22,0.332,0.416,0.311
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.034,0.048,0.037,0.017,0.013
"P35","Otro candidato",0.107,0.129,0.254,0.173,0.214,0.346
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.457,0.452,0.329,0.229,0.153,0.2
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.414,0.368,0.269,0.26,0.206,0.116
"P37","Javier Milei – José Luis Espert por los liberales",0.049,0.087,0.203,0.331,0.397,0.234
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.015,0.041,0.037,0.018,0.072
"P37","Otro candidato",0.075,0.078,0.158,0.143,0.226,0.378
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.764,0.709,0.302,0.124,0.043,0.179
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.11,0.133,0.407,0.627,0.667,0.314
"P38","No sabe",0.126,0.158,0.291,0.249,0.29,0.507
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.669,0.601,0.224,0.075,0.031,0.16
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.141,0.136,0.421,0.6,0.577,0.254
"P39","No sabe",0.19,0.263,0.355,0.325,0.392,0.586
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.804,0.679,0.217,0.07,0.024,0.078
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.084,0.123,0.438,0.677,0.712,0.34
"P40","No sabe",0.112,0.198,0.345,0.253,0.264,0.582
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.795,0.76,0.298,0.127,0.03,0.131
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.107,0.14,0.418,0.63,0.582,0.335
"P41","No sabe",0.098,0.1,0.284,0.243,0.388,0.534
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.835,0.732,0.233,0.065,0.011,0.081
