"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P04","Tengo trabajo estable",0.358,0.424,0.255,0.446,0.455,0.404
"P04","Realizo changas o trabajos de vez en cuando",0.19,0.131,0.212,0.212,0.283,0.216
"P04","No tengo trabajo",0.126,0.191,0.274,0.153,0.203,0.2
"P04","Soy jubilado o pensionado",0.326,0.254,0.259,0.189,0.059,0.18
"P05","1",0.413,0.326,0.351,0.179,0.389,0.238
"P05","2",0.071,0.058,0.061,0.047,0.07,0.057
"P05","3",0.081,0.079,0.013,0.037,0.112,0.039
"P05","4",0.088,0.113,0.019,0.049,0.059,0.066
"P05","5",0.18,0.245,0.169,0.141,0.207,0.33
"P05","6",0.032,0.05,0.016,0.067,0.021,0.056
"P05","7",0.032,0.032,0.082,0.114,0.019,0.054
"P05","8",0.018,0.022,0.048,0.082,0.036,0.027
"P05","9",0.085,0.075,0.241,0.284,0.087,0.133
"P06","1",0.179,0.164,0.398,0.464,0.122,0.218
"P06","2",0.043,0.017,0.092,0.07,0.033,0.047
"P06","3",0.016,0.038,0.017,0.05,0.022,0.03
"P06","4",0.032,0.042,0.031,0.057,0.028,0.06
"P06","5",0.154,0.276,0.194,0.164,0.213,0.336
"P06","6",0.04,0.085,0.038,0.022,0.039,0.071
"P06","7",0.087,0.073,0.02,0.019,0.064,0.041
"P06","8",0.075,0.076,0.039,0.021,0.099,0.038
"P06","9",0.374,0.229,0.171,0.133,0.38,0.159
"P07","1",0.254,0.284,0.443,0.615,0.202,0.365
"P07","2",0.028,0.051,0.027,0.028,0.039,0.042
"P07","3",0.019,0.046,0.028,0.029,0.03,0.028
"P07","4",0.021,0.02,0.021,0.013,0.033,0.016
"P07","5",0.144,0.123,0.054,0.055,0.117,0.124
"P07","6",0.017,0.023,0,0.01,0.023,0.033
"P07","7",0.057,0.046,0.041,0.018,0.052,0.03
"P07","8",0.036,0.05,0,0.013,0.068,0.049
"P07","9",0.424,0.357,0.386,0.219,0.436,0.313
"P09","Del Frente de Todos y el peronismo",0.031,0.039,0.714,0.793,0.014,0.08
"P09","De Cambiemos",0.832,0.618,0.032,0.04,0.068,0.219
"P09","De los Liberales libertarios",0.049,0.076,0.011,0.016,0.769,0.07
"P09","De la Izquierda",0.009,0.018,0.012,0.022,0.016,0.123
"P09","No sabe",0.079,0.249,0.231,0.129,0.133,0.508
"P10","A Alberto Fernández",0.179,0,0.65,0.131,0.178,0.12
"P10","A Sergio Massa",0.228,0.281,0.179,0.204,0,0.359
"P10","A algún candidato del peronismo",0.428,0.565,0.083,0.148,0.438,0.416
"P10","A algún candidato del kirchnerismo",0.165,0.154,0.088,0.517,0.384,0.105
"P11","A Alberto Fernández",0.016,0.077,0.556,0.085,0,0.14
"P11","A Sergio Massa",0.228,0.381,0.195,0.127,0.178,0.366
"P11","A algún candidato del peronismo",0.587,0.433,0.09,0.063,0.438,0.305
"P11","A Cristina Fernández de Kirchner",0.169,0.109,0.159,0.725,0.384,0.189
"P12","A Horacio Rodriguez Larreta",0.099,0.587,0.531,0.238,0.005,0.208
"P12","A Mauricio Macri",0.535,0.085,0,0.359,0.211,0.136
"P12","A Patricia Bullrich",0.336,0.206,0.144,0.053,0.67,0.457
"P12","A Facundo Manes",0.028,0.086,0,0.269,0.085,0.184
"P12","A Gerardo Morales",0.002,0.036,0.325,0.081,0.029,0.015
"P13","Seguro lo votaria",0.179,0.312,0.378,0.096,0.414,0.117
"P13","Quizás lo votaría",0.308,0.251,0.144,0.291,0.574,0.295
"P13","Nunca lo votaría",0.513,0.437,0.478,0.613,0.012,0.588
"P14","Lo votaría",0.757,0.202,0.036,0.019,0.105,0.067
"P14","Puede que lo vote",0.18,0.365,0.111,0.03,0.323,0.217
"P14","Nunca lo votaría",0.038,0.342,0.803,0.877,0.427,0.514
"P14","No sabe",0.025,0.091,0.05,0.074,0.145,0.202
"P15","Lo votaría",0.069,0.08,0.362,0.306,0.037,0.036
"P15","Puede que lo vote",0.046,0.122,0.198,0.373,0.076,0.206
"P15","Nunca lo votaría",0.852,0.714,0.34,0.21,0.825,0.565
"P15","No sabe",0.033,0.084,0.1,0.111,0.062,0.193
"P16","Lo votaría",0.007,0.026,0.733,0.218,0.01,0.026
"P16","Puede que lo vote",0.02,0.045,0.173,0.425,0.029,0.106
"P16","Nunca lo votaría",0.941,0.894,0.064,0.248,0.93,0.723
"P16","No sabe",0.032,0.035,0.03,0.109,0.031,0.145
"P17","La votaría",0.009,0.025,0.57,0.787,0.02,0.048
"P17","Puede que la vote",0.012,0.034,0.12,0.13,0.015,0.096
"P17","Nunca la votaría",0.961,0.918,0.252,0.046,0.935,0.749
"P17","No sabe",0.018,0.023,0.058,0.037,0.03,0.107
"P18","Lo votaría",0.271,0.502,0.075,0.061,0.048,0.041
"P18","Puede que lo vote",0.459,0.359,0.106,0.053,0.246,0.28
"P18","Nunca lo votaría",0.213,0.106,0.716,0.83,0.648,0.469
"P18","No sabe",0.057,0.033,0.103,0.056,0.058,0.21
"P19","Lo votaría",0.156,0.22,0.022,0.015,0.057,0.091
"P19","Puede que lo vote",0.349,0.481,0.085,0.104,0.279,0.271
"P19","Nunca lo votaría",0.411,0.185,0.679,0.772,0.578,0.407
"P19","No sabe",0.084,0.114,0.214,0.109,0.086,0.231
"P20","La votaría",0.666,0.271,0.021,0.015,0.256,0.167
"P20","Puede que la vote",0.227,0.355,0.061,0.028,0.345,0.202
"P20","Nunca la votaría",0.077,0.308,0.814,0.938,0.337,0.492
"P20","No sabe",0.03,0.066,0.104,0.019,0.062,0.139
"P21","Lo votaría",0.113,0.098,0.03,0.031,0.755,0.053
"P21","Puede que lo vote",0.281,0.235,0.1,0.05,0.166,0.178
"P21","Nunca lo votaría",0.546,0.553,0.754,0.874,0.049,0.609
"P21","No sabe",0.06,0.114,0.116,0.045,0.03,0.16
"P22","La votaría",0.322,0.181,0.03,0.016,0.087,0.04
"P22","Puede que la vote",0.373,0.329,0.04,0.028,0.257,0.233
"P22","Nunca la votaría",0.229,0.359,0.744,0.9,0.576,0.575
"P22","No sabe",0.076,0.131,0.186,0.056,0.08,0.152
"P23","Lo votaría",0.038,0.036,0.281,0.175,0.012,0.016
"P23","Puede que lo vote",0.03,0.083,0.276,0.484,0.057,0.114
"P23","Nunca lo votaría",0.892,0.845,0.311,0.275,0.888,0.752
"P23","No sabe",0.04,0.036,0.132,0.066,0.043,0.118
"P24","Lo votaría",0.056,0.113,0.014,0.021,0.015,0.038
"P24","Puede que lo vote",0.246,0.29,0.073,0.093,0.101,0.127
"P24","Nunca lo votaría",0.608,0.428,0.631,0.776,0.775,0.61
"P24","No sabe",0.09,0.169,0.282,0.11,0.109,0.225
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.006,0.044,0.736,0.934,0.01,0.062
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.929,0.515,0.043,0.016,0.025,0.11
"P29","Javier Milei – José Luis Espert por los liberales",0.039,0.102,0.045,0.02,0.931,0.075
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.043,0.018,0.017,0.01,0.107
"P29","Otro candidato",0.022,0.296,0.158,0.013,0.024,0.646
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.547,0.762,0.1,0.091,0.026,0.118
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.07,0.069,0.793,0.561,0.006,0.044
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.138,0.061,0.013,0.052,0.936,0.109
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.009,0.017,0.009,0.053,0.001,0.145
"P31","Otro candidato",0.236,0.091,0.085,0.243,0.031,0.584
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.036,0.122,0.56,0.717,0.011,0.119
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.838,0.565,0.045,0.029,0.136,0.237
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.05,0.089,0.018,0.024,0.824,0.064
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.007,0.02,0.031,0.045,0.008,0.134
"P33","Otro candidato",0.069,0.204,0.346,0.185,0.021,0.446
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.187,0.25,0.422,0.536,0.019,0.124
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.443,0.578,0.156,0.223,0.021,0.126
"P35","Javier Milei – José Luis Espert por los liberales",0.148,0.092,0.021,0.009,0.942,0.093
