"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.435,0.387,0.443,0.482,0.369
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.155,0.289,0.216,0.221
"P04","No tengo trabajo",0.169,0.145,0.192,0.208,0.197
"P04","Soy jubilado o pensionado",0.2,0.313,0.076,0.094,0.213
"P05","1",0.195,0.412,0.4,0.179,0.238
"P05","2",0.056,0.065,0.076,0.015,0.052
"P05","3",0.036,0.088,0.098,0.011,0.056
"P05","4",0.044,0.093,0.065,0.06,0.077
"P05","5",0.134,0.186,0.193,0.186,0.348
"P05","6",0.063,0.034,0.019,0.044,0.066
"P05","7",0.114,0.034,0.017,0.112,0.043
"P05","8",0.078,0.02,0.041,0.034,0.023
"P05","9",0.28,0.068,0.091,0.359,0.097
"P06","1",0.46,0.17,0.135,0.43,0.189
"P06","2",0.075,0.036,0.033,0.038,0.043
"P06","3",0.048,0.021,0.015,0.135,0.02
"P06","4",0.05,0.033,0.029,0.049,0.061
"P06","5",0.166,0.188,0.202,0.243,0.319
"P06","6",0.022,0.053,0.036,0.072,0.082
"P06","7",0.022,0.088,0.064,0.005,0.044
"P06","8",0.023,0.081,0.099,0,0.042
"P06","9",0.134,0.33,0.387,0.028,0.2
"P07","1",0.607,0.234,0.2,0.702,0.349
"P07","2",0.031,0.038,0.036,0.022,0.04
"P07","3",0.028,0.028,0.028,0.014,0.035
"P07","4",0.016,0.021,0.031,0.009,0.019
"P07","5",0.057,0.137,0.114,0.069,0.113
"P07","6",0.009,0.022,0.029,0,0.026
"P07","7",0.021,0.059,0.048,0.015,0.032
"P07","8",0.012,0.045,0.066,0,0.043
"P07","9",0.219,0.416,0.448,0.169,0.343
"P09","Del Frente de Todos y el peronismo",0.797,0.046,0.023,0.104,0.11
"P09","De Cambiemos",0.039,0.819,0.103,0.083,0.241
"P09","De los Liberales libertarios",0.015,0.05,0.696,0.155,0.066
"P09","De la Izquierda",0.011,0.01,0.026,0.453,0.04
"P09","No sabe",0.138,0.075,0.152,0.205,0.543
"P10","A Alberto Fernández",0.176,0.141,0.385,0.138,0.41
"P10","A Sergio Massa",0.189,0.267,0.141,0.456,0.269
"P10","A algún candidato del peronismo",0.144,0.398,0.283,0.303,0.268
"P10","A algún candidato del kirchnerismo",0.491,0.194,0.191,0.103,0.053
"P11","A Alberto Fernández",0.123,0.107,0.331,0.143,0.368
"P11","A Sergio Massa",0.129,0.188,0.224,0.425,0.315
"P11","A algún candidato del peronismo",0.069,0.511,0.227,0.141,0.231
"P11","A Cristina Fernández de Kirchner",0.679,0.194,0.218,0.291,0.086
"P12","A Horacio Rodriguez Larreta",0.257,0.19,0.238,0.552,0.364
"P12","A Mauricio Macri",0.316,0.424,0.183,0.111,0.121
"P12","A Patricia Bullrich",0.079,0.34,0.464,0.099,0.303
"P12","A Facundo Manes",0.26,0.038,0.098,0.178,0.175
"P12","A Gerardo Morales",0.088,0.008,0.017,0.06,0.037
"P13","Seguro lo votaria",0.121,0.199,0.469,0,0.09
"P13","Quizás lo votaría",0.317,0.298,0.447,0.21,0.237
"P13","Nunca lo votaría",0.562,0.503,0.084,0.79,0.673
"P14","Lo votaría",0.017,0.636,0.128,0.008,0.054
"P14","Puede que lo vote",0.032,0.277,0.321,0.093,0.189
"P14","Nunca lo votaría",0.882,0.06,0.421,0.728,0.57
"P14","No sabe",0.069,0.027,0.13,0.171,0.187
"P15","Lo votaría",0.311,0.067,0.043,0.118,0.066
"P15","Puede que lo vote",0.36,0.059,0.098,0.162,0.188
"P15","Nunca lo votaría",0.218,0.848,0.806,0.63,0.545
"P15","No sabe",0.111,0.026,0.053,0.09,0.201
"P16","Lo votaría",0.285,0.013,0.015,0.078,0.07
"P16","Puede que lo vote",0.391,0.032,0.031,0.128,0.102
"P16","Nunca lo votaría",0.226,0.936,0.916,0.647,0.707
"P16","No sabe",0.098,0.019,0.038,0.147,0.121
"P17","La votaría",0.781,0.013,0.027,0.066,0.062
"P17","Puede que la vote",0.127,0.016,0.021,0.247,0.064
"P17","Nunca la votaría",0.06,0.961,0.929,0.602,0.759
"P17","No sabe",0.032,0.01,0.023,0.085,0.115
"P18","Lo votaría",0.061,0.332,0.081,0.076,0.122
"P18","Puede que lo vote",0.055,0.437,0.281,0.113,0.285
"P18","Nunca lo votaría",0.825,0.181,0.585,0.702,0.419
"P18","No sabe",0.059,0.05,0.053,0.109,0.174
"P19","Lo votaría",0.016,0.161,0.076,0.041,0.14
"P19","Puede que lo vote",0.097,0.407,0.287,0.184,0.289
"P19","Nunca lo votaría",0.76,0.353,0.553,0.645,0.356
"P19","No sabe",0.127,0.079,0.084,0.13,0.215
"P20","La votaría",0.013,0.591,0.263,0.036,0.163
"P20","Puede que la vote",0.029,0.281,0.345,0.072,0.215
"P20","Nunca la votaría",0.921,0.1,0.342,0.806,0.514
"P20","No sabe",0.037,0.028,0.05,0.086,0.108
"P21","Lo votaría",0.019,0.098,0.713,0.06,0.062
"P21","Puede que lo vote",0.049,0.278,0.179,0.171,0.158
"P21","Nunca lo votaría",0.874,0.568,0.069,0.641,0.638
"P21","No sabe",0.058,0.056,0.039,0.128,0.142
"P22","La votaría",0.01,0.305,0.099,0.004,0.053
"P22","Puede que la vote",0.027,0.39,0.249,0.115,0.216
"P22","Nunca la votaría",0.888,0.233,0.567,0.745,0.592
"P22","No sabe",0.075,0.072,0.085,0.136,0.139
"P23","Lo votaría",0.196,0.034,0.017,0.016,0.041
"P23","Puede que lo vote",0.465,0.046,0.068,0.174,0.111
"P23","Nunca lo votaría",0.265,0.89,0.878,0.704,0.764
"P23","No sabe",0.074,0.03,0.037,0.106,0.084
"P24","Lo votaría",0.02,0.073,0.023,0,0.049
"P24","Puede que lo vote",0.092,0.258,0.114,0.165,0.136
"P24","Nunca lo votaría",0.765,0.578,0.752,0.606,0.594
"P24","No sabe",0.123,0.091,0.111,0.229,0.221
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.003,0.699,0.039,0.028,0.032
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.013,0.201,0.052,0.158,0.218
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.114,0.008,0.012,0.035,0.06
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.84,0.019,0.031,0.195,0.029
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.005,0.017,0.815,0.062,0.031
"P25","Otros candidatos",0.025,0.056,0.051,0.522,0.63
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.1,0.607,0.056,0.052,0.242
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.6,0.085,0.012,0.078,0.072
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.034,0.11,0.902,0.076,0.047
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.041,0.005,0.003,0.67,0.045
"P31","Otro candidato",0.225,0.193,0.027,0.124,0.594
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.717,0.047,0.035,0.1,0.137
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.032,0.83,0.156,0.023,0.216
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.012,0.054,0.782,0.013,0.04
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.04,0.002,0,0.75,0.023
"P33","Otro candidato",0.199,0.067,0.027,0.114,0.584
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.527,0.208,0.037,0.18,0.157
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.225,0.491,0.045,0.06,0.201
"P35","Javier Milei – José Luis Espert por los liberales",0.004,0.127,0.876,0.072,0.068
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.041,0.002,0.003,0.642,0.035
"P35","Otro candidato",0.203,0.172,0.039,0.046,0.539
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.501,0.335,0.04,0.109,0.172
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.439,0.353,0.046,0.151,0.136
"P37","Javier Milei – José Luis Espert por los liberales",0.003,0.105,0.869,0.085,0.064
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.002,0.012,0.624,0.042
"P37","Otro candidato",0.037,0.205,0.033,0.031,0.586
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.885,0.058,0.027,0.439,0.081
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.057,0.897,0.452,0.052,0.157
"P38","No sabe",0.058,0.045,0.521,0.509,0.762
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.733,0.025,0.029,0.301,0.079
