"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.063,0.054,0.073,0.038,0.062,0.074,0.078,0.101,0.053,0.035,0.067,0.055,0.125,0.019,0.012,6
"Buena",0.154,0.129,0.177,0.093,0.151,0.177,0.19,0.165,0.143,0.158,0.155,0.151,0.288,0.059,0.026,6
"Ni buena ni mala",0.168,0.159,0.177,0.196,0.191,0.15,0.113,0.176,0.177,0.145,0.158,0.189,0.26,0.067,0.15,6
"Mala",0.125,0.132,0.119,0.127,0.112,0.128,0.15,0.125,0.121,0.133,0.129,0.117,0.155,0.085,0.208,6
"Muy mala",0.475,0.51,0.44,0.524,0.473,0.462,0.444,0.411,0.496,0.516,0.475,0.475,0.157,0.763,0.604,6
"No sabe",0.015,0.016,0.014,0.022,0.011,0.009,0.025,0.022,0.01,0.013,0.016,0.013,0.015,0.007,0,6
"Positiva",0.217,0.183,0.25,0.131,0.213,0.251,0.268,0.266,0.196,0.193,0.222,0.206,0.413,0.078,0.038,4
"Neutra",0.168,0.159,0.177,0.196,0.191,0.15,0.113,0.176,0.177,0.145,0.158,0.189,0.26,0.067,0.15,4
"Negativa",0.6,0.642,0.559,0.651,0.585,0.59,0.594,0.536,0.617,0.649,0.604,0.592,0.312,0.848,0.812,4
"No sabe",0.015,0.016,0.014,0.022,0.011,0.009,0.025,0.022,0.01,0.013,0.016,0.013,0.015,0.007,0,4
