"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.401,0.412,0.436,0.362,0.421
"P04","Realizo changas o trabajos de vez en cuando",0.145,0.213,0.277,0.259,0.18
"P04","No tengo trabajo",0.155,0.168,0.192,0.277,0.168
"P04","Soy jubilado o pensionado",0.299,0.207,0.095,0.102,0.231
"P05","1",0.383,0.231,0.381,0.133,0.235
"P05","2",0.07,0.065,0.065,0.042,0.046
"P05","3",0.079,0.027,0.093,0.066,0.062
"P05","4",0.097,0.045,0.067,0.041,0.065
"P05","5",0.207,0.143,0.191,0.141,0.241
"P05","6",0.045,0.054,0.027,0.024,0.059
"P05","7",0.019,0.119,0.022,0.137,0.078
"P05","8",0.023,0.075,0.038,0.062,0.046
"P05","9",0.077,0.241,0.116,0.354,0.168
"P06","1",0.207,0.47,0.154,0.428,0.224
"P06","2",0.032,0.09,0.031,0.065,0.046
"P06","3",0.03,0.039,0.013,0.103,0.033
"P06","4",0.044,0.053,0.023,0.065,0.048
"P06","5",0.206,0.149,0.203,0.197,0.26
"P06","6",0.061,0.015,0.032,0.056,0.067
"P06","7",0.076,0.022,0.067,0.009,0.05
"P06","8",0.078,0.028,0.093,0,0.04
"P06","9",0.266,0.134,0.384,0.077,0.232
"P07","1",0.292,0.571,0.244,0.678,0.389
"P07","2",0.035,0.042,0.032,0.035,0.027
"P07","3",0.045,0.023,0.022,0.014,0.029
"P07","4",0.019,0.023,0.03,0.003,0.015
"P07","5",0.118,0.063,0.104,0.066,0.121
"P07","6",0.023,0.008,0.026,0,0.022
"P07","7",0.05,0.021,0.052,0.01,0.034
"P07","8",0.045,0.012,0.055,0,0.042
"P07","9",0.373,0.237,0.435,0.194,0.321
"P09","Del Frente de Todos y el peronismo",0.127,0.79,0.034,0.272,0.302
"P09","De Cambiemos",0.693,0.074,0.155,0.061,0.284
"P09","De los Liberales libertarios",0.039,0.014,0.633,0.07,0.055
"P09","De la Izquierda",0.003,0.016,0.017,0.389,0.023
"P09","No sabe",0.138,0.106,0.161,0.208,0.336
"P10","A Alberto Fernández",0.242,0.238,0.106,0.051,0.067
"P10","A Sergio Massa",0.273,0.193,0.302,0.164,0.183
"P10","A algún candidato del peronismo",0.183,0.13,0.411,0.276,0.183
"P10","A algún candidato del kirchnerismo",0.302,0.439,0.181,0.509,0.567
"P11","A Alberto Fernández",0.103,0.184,0.22,0.029,0.037
"P11","A Sergio Massa",0.178,0.135,0.282,0.154,0.147
"P11","A algún candidato del peronismo",0.207,0.062,0.128,0.128,0.108
"P11","A Cristina Fernández de Kirchner",0.512,0.619,0.37,0.689,0.708
"P12","A Horacio Rodriguez Larreta",0.283,0.151,0.1,0.314,0.131
"P12","A Mauricio Macri",0.336,0.459,0.374,0.13,0.389
"P12","A Patricia Bullrich",0.294,0.246,0.462,0.11,0.413
"P12","A Facundo Manes",0.068,0.097,0.049,0.446,0.064
"P12","A Gerardo Morales",0.019,0.047,0.015,0,0.003
"P13","Seguro lo votaria",0.192,0.133,0.44,0.296,0.117
"P13","Quizás lo votaría",0.285,0.406,0.446,0.076,0.248
"P13","Nunca lo votaría",0.523,0.461,0.114,0.628,0.635
"P14","Lo votaría",0.451,0.056,0.189,0.023,0.186
"P14","Puede que lo vote",0.246,0.061,0.298,0.067,0.154
"P14","Nunca lo votaría",0.248,0.828,0.398,0.771,0.535
"P14","No sabe",0.055,0.055,0.115,0.139,0.125
"P15","Lo votaría",0.096,0.328,0.051,0.112,0.111
