"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.337,0.32,0.354,0.303,0.342,0.358,0.331,0.381,0.301,0.342,0.343,0.325,0.674,0.069,0.107
"Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.359,0.364,0.354,0.265,0.349,0.375,0.46,0.294,0.382,0.4,0.347,0.384,0.095,0.688,0.4
"No sabe",0.304,0.316,0.292,0.432,0.309,0.267,0.209,0.325,0.317,0.258,0.31,0.291,0.231,0.243,0.493
