"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.427,0.434,0.4
"P04","Realizo changas o trabajos de vez en cuando",0.198,0.164,0.216
"P04","No tengo trabajo",0.172,0.156,0.205
"P04","Soy jubilado o pensionado",0.203,0.246,0.179
"P05","1",0.197,0.373,0.298
"P05","2",0.056,0.066,0.06
"P05","3",0.028,0.093,0.079
"P05","4",0.036,0.103,0.055
"P05","5",0.145,0.2,0.206
"P05","6",0.055,0.038,0.051
"P05","7",0.125,0.027,0.058
"P05","8",0.094,0.026,0.034
"P05","9",0.264,0.074,0.159
"P06","1",0.494,0.167,0.217
"P06","2",0.083,0.044,0.038
"P06","3",0.046,0.02,0.043
"P06","4",0.042,0.041,0.04
"P06","5",0.173,0.19,0.228
"P06","6",0.022,0.06,0.038
"P06","7",0.022,0.081,0.055
"P06","8",0.025,0.088,0.058
"P06","9",0.093,0.309,0.283
"P07","1",0.62,0.255,0.319
"P07","2",0.024,0.04,0.031
"P07","3",0.022,0.035,0.03
"P07","4",0.013,0.021,0.027
"P07","5",0.054,0.123,0.113
"P07","6",0.007,0.026,0.03
"P07","7",0.024,0.056,0.03
"P07","8",0.012,0.055,0.045
"P07","9",0.224,0.389,0.375
"P09","Del Frente de Todos y el peronismo",0.829,0.047,0.193
"P09","De Cambiemos",0.046,0.618,0.168
"P09","De los Liberales libertarios",0.017,0.193,0.304
"P09","De la Izquierda",0.02,0.017,0.046
"P09","No sabe",0.088,0.125,0.289
"P10","A Alberto Fernández",0.202,0.117,0.111
"P10","A Sergio Massa",0.194,0.36,0.188
"P10","A algún candidato del peronismo",0.126,0.344,0.225
"P10","A algún candidato del kirchnerismo",0.478,0.179,0.476
"P11","A Alberto Fernández",0.158,0.038,0.043
"P11","A Sergio Massa",0.131,0.289,0.18
"P11","A algún candidato del peronismo",0.043,0.431,0.172
"P11","A Cristina Fernández de Kirchner",0.668,0.242,0.605
"P12","A Horacio Rodriguez Larreta",0.345,0.225,0.124
"P12","A Mauricio Macri",0.244,0.357,0.405
"P12","A Patricia Bullrich",0.159,0.34,0.369
"P12","A Facundo Manes",0.147,0.063,0.095
"P12","A Gerardo Morales",0.105,0.015,0.007
"P13","Seguro lo votaria",0.319,0.198,0.169
"P13","Quizás lo votaría",0.202,0.311,0.296
"P13","Nunca lo votaría",0.479,0.491,0.535
"P14","Lo votaría",0.032,0.454,0.136
"P14","Puede que lo vote",0.042,0.288,0.186
"P14","Nunca lo votaría",0.873,0.198,0.529
"P14","No sabe",0.053,0.06,0.149
"P15","Lo votaría",0.33,0.071,0.088
"P15","Puede que lo vote",0.382,0.071,0.165
"P15","Nunca lo votaría",0.197,0.818,0.643
"P15","No sabe",0.091,0.04,0.104
"P16","Lo votaría",0.347,0.005,0.034
"P16","Puede que lo vote",0.433,0.023,0.117
"P16","Nunca lo votaría",0.15,0.961,0.748
"P16","No sabe",0.07,0.011,0.101
"P17","La votaría",0.773,0.016,0.193
"P17","Puede que la vote",0.123,0.027,0.076
"P17","Nunca la votaría",0.084,0.948,0.667
