"var","categoria","Color","Olor","Gusto","Presión"
"aysa_2","A la empresa Aysa en forma directa",0.837,0.928,0.878,0.853
"aysa_2","Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa Aysa",0.044,0.019,0.002,0.023
"aysa_2","Es una red desvinculada de la empresa Aysa",0.067,0.045,0.064,0.016
"aysa_2","No sabe",0.052,0.008,0.056,0.108
"aysa_5","No",0.337,0.319,0.255,0.344
"aysa_5","Si. A la empresa AySA en forma directa",0.618,0.58,0.581,0.402
"aysa_5","Si. Al Country, barrio, consorcio donde vivo y está conectada a la de la empresa AySA",0.014,0.065,0.021,0.041
"aysa_5","Si. Es una red desvinculada de la empresa AySA",0.018,0.019,0.084,0.015
"aysa_5","No sabe",0.013,0.017,0.059,0.198
"aysa_6","Si desmejoró",0.523,0.514,0.452,0.473
"aysa_6","No desmejoró",0.477,0.486,0.548,0.527
"aysa_7","Tapa rota",0.693,0.516,0.457,0.071
"aysa_7","Boca de acceso rota",0.116,0.143,0.153,0.031
"aysa_7","Filtraciones en el sótano",0.002,0.002,0.042,0.028
"aysa_7","Olor químico en la cloaca",0.119,0.13,0.212,0.162
"aysa_7","Taponamiento",0.066,0.114,0.033,0.084
"aysa_7","Otro",0.004,0.095,0.103,0.624
"P33","Gran excedente habitual",0.001,0.005,0.001,0.001
"P33","Gran excedente excepcional",0.001,0.002,0.002,0.01
"P33","Pequeño excedente habitual",0.03,0.02,0.054,0.06
"P33","Pequeño excedente excepcional",0.057,0.032,0.02,0.051
"P33","Alcanza gastos familia",0.098,0.105,0.129,0.168
"P33","No alcanza gastos familia",0.085,0.117,0.139,0.139
"P33","Solo NBFamiliares",0.325,0.314,0.347,0.29
"P33","No alcanza NBFamiliares",0.402,0.378,0.292,0.28
"P33","No sabe",0.001,0.027,0.016,0.001
"P45","Muy buena",0.028,0.052,0.052,0.003
"P45","Buena",0.053,0.019,0.024,0.164
"P45","Ni buena ni mala",0.148,0.089,0.122,0.152
"P45","Mala",0.219,0.153,0.262,0.173
"P45","Muy mala",0.552,0.683,0.54,0.508
"P45","No sabe",0,0.004,0,0
"P48","Muy buena",0.07,0.137,0.074,0.033
"P48","Buena",0.221,0.147,0.133,0.139
"P48","Ni buena ni mala",0.333,0.294,0.322,0.361
"P48","Mala",0.178,0.246,0.24,0.216
"P48","Muy mala",0.193,0.173,0.227,0.243
"P48","No sabe",0.005,0.003,0.004,0.008
"P51","Muy buena",0.097,0.116,0.139,0.1
"P51","Buena",0.115,0.074,0.123,0.112
"P51","Ni buena ni mala",0.133,0.116,0.104,0.119
"P51","Mala",0.15,0.142,0.112,0.193
"P51","Muy mala",0.503,0.552,0.521,0.457
"P51","No sabe",0.002,0,0.001,0.019
"P56","Muy buena",0.016,0.062,0.029,0.055
"P56","Buena",0.056,0.059,0.059,0.061
"P56","Ni buena ni mala",0.298,0.298,0.279,0.156
"P56","Mala",0.149,0.123,0.156,0.241
"P56","Muy mala",0.444,0.425,0.43,0.376
"P56","No sabe",0.037,0.033,0.047,0.111
