"clase","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si desmejoró",0.325,0.317,0.342,0.302,0.348,0.361,0.288,0.326,0.36,0.415,0.369,0.229,0.194,0.45,0.437
"No desmejoró",0.675,0.683,0.658,0.698,0.652,0.639,0.712,0.674,0.64,0.585,0.631,0.771,0.806,0.55,0.563
