"clase","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si",0.815,0.77,0.919,0.808,0.821,0.817,0.807,0.809,0.837,0.731,0.795,0.902,0.8,0.818,0.851
"No",0.185,0.23,0.081,0.192,0.179,0.183,0.193,0.191,0.163,0.269,0.205,0.098,0.2,0.182,0.149
