"clase","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si desmejoró",0.415,0.412,0.423,0.419,0.411,0.391,0.445,0.419,0.379,0.393,0.467,0.372,0.314,0.505,0.466
"No desmejoró",0.585,0.588,0.577,0.581,0.589,0.609,0.555,0.581,0.621,0.607,0.533,0.628,0.686,0.495,0.534
