"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy seguro",0.11,0.131,0.09,0.095,0.119,0.1,0.12,0.135,0.086,0.117,0.085,0.097,0.077,0.092,0.024,0.121,0.166,0.098,0.082,0.243
"Algo seguro",0.277,0.275,0.278,0.218,0.286,0.268,0.337,0.321,0.277,0.229,0.302,0.262,0.213,0.251,0.216,0.283,0.258,0.419,0.37,0.233
"Seguro",0.132,0.155,0.11,0.142,0.116,0.138,0.146,0.098,0.144,0.15,0.168,0.119,0.128,0.122,0.105,0.11,0.146,0.128,0.108,0.182
"Algo inseguro",0.23,0.212,0.247,0.249,0.207,0.246,0.238,0.182,0.249,0.254,0.227,0.229,0.251,0.224,0.318,0.233,0.246,0.197,0.208,0.208
"Inseguro",0.167,0.149,0.185,0.222,0.165,0.169,0.106,0.156,0.167,0.181,0.155,0.191,0.207,0.191,0.194,0.163,0.139,0.114,0.171,0.096
"Muy inseguro",0.084,0.078,0.09,0.074,0.107,0.079,0.053,0.108,0.077,0.069,0.063,0.102,0.124,0.12,0.143,0.09,0.045,0.044,0.061,0.038
