"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Del Frente de Todos y el peronismo",0.236,0.236,0.235,0.194,0.257,0.245,0.238,0.245,0.212,0.257,0.234,0.237,0.633,0.093,0.092,0.296,0.145,0.036,0.067,0.379
"De Cambiemos",0.359,0.321,0.395,0.335,0.302,0.399,0.479,0.349,0.358,0.371,0.342,0.373,0.138,0.534,0.248,0.333,0.623,0.514,0.242,0.057
"De los Liberales libertarios",0.168,0.237,0.105,0.22,0.202,0.12,0.07,0.139,0.196,0.161,0.176,0.162,0.047,0.208,0.216,0.135,0.17,0.305,0.312,0.092
"De la Izquierda",0.032,0.029,0.036,0.042,0.033,0.025,0.027,0.017,0.038,0.04,0.039,0.027,0.037,0.019,0.036,0.016,0.008,0.025,0.157,0.233
"Otros",0.073,0.072,0.073,0.064,0.081,0.078,0.06,0.075,0.074,0.07,0.074,0.072,0.059,0.044,0.235,0.079,0.018,0.051,0.165,0.157
"No sabe",0.132,0.105,0.156,0.145,0.125,0.133,0.126,0.175,0.122,0.101,0.135,0.129,0.086,0.102,0.173,0.141,0.036,0.069,0.057,0.082
