"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","Otros","No sabe"
"P11","A Juntos por el Cambio",0.108,0.618,0.242,0.035,0.068,0.062
"P11","Al Frente de Todos",0.38,0.097,0.03,0.173,0.062,0.046
"P11","A Hacemos por Córdoba",0.347,0.176,0.237,0.055,0.293,0.169
"P11","A los liberales libertarios de Milei",0.062,0.042,0.41,0.224,0.072,0.105
"P11","A Encuentro Vecinal Córdoba",0.008,0.015,0.018,0.084,0.176,0.008
"P11","Al Frente de Izquierda",0.03,0.004,0.007,0.347,0.068,0.146
"P11","No sabe",0.065,0.048,0.056,0.082,0.261,0.464
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.064,0.607,0.355,0.09,0.103,0.1
"P13","A Martín Llaryora por Hacemos por Córdoba",0.481,0.235,0.167,0.185,0.384,0.298
"P13","Al candidato del Frente de Todos",0.346,0.014,0.009,0.118,0.067,0.027
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.014,0.032,0.381,0.081,0.085,0.058
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.004,0.017,0.029,0.071,0.107,0.031
"P13","Al candidato del Frente de Izquierda",0.026,0.006,0.006,0.347,0.055,0.009
"P13","Votaría en blanco",0.022,0.032,0.014,0.048,0.063,0.094
"P13","No sabe",0.043,0.057,0.039,0.06,0.136,0.383
"P15","A Luis Juez por Juntos por el Cambio",0.099,0.574,0.305,0.069,0.174,0.191
"P15","A Martín Llaryora por Hacemos por Córdoba",0.47,0.279,0.208,0.167,0.415,0.296
"P15","Al candidato del Frente de Todos",0.331,0.013,0.005,0.192,0.047,0.021
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.014,0.033,0.398,0.081,0.049,0.055
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.004,0.027,0.029,0.08,0.093,0.02
"P15","Al candidato del Frente de Izquierda",0.029,0.008,0.013,0.348,0.052,0.011
"P15","Votaría en blanco",0.021,0.019,0.013,0.022,0.063,0.072
"P15","No sabe",0.032,0.047,0.029,0.041,0.107,0.334
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.1,0.646,0.369,0.216,0.182,0.182
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.428,0.233,0.14,0.073,0.348,0.278
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.351,0.012,0.004,0.095,0.052,0.035
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.01,0.034,0.373,0.069,0.06,0.069
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.019,0.024,0.089,0.098,0.011
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.034,0.006,0.006,0.4,0.06,0.011
"P17","Votaría en blanco",0.025,0.011,0.026,0.016,0.067,0.093
"P17","No sabe",0.044,0.039,0.058,0.042,0.133,0.321
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.067,0.635,0.363,0.145,0.19,0.184
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.46,0.207,0.141,0.095,0.373,0.282
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.358,0.009,0.01,0.116,0.048,0.028
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.014,0.029,0.392,0.068,0.061,0.08
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.023,0.029,0.133,0.089,0.014
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.03,0.008,0.005,0.379,0.047,0.024
"P18","Votaría en blanco",0.016,0.034,0.017,0.028,0.047,0.107
"P18","No sabe",0.047,0.055,0.043,0.036,0.145,0.281
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.069,0.674,0.357,0.154,0.175,0.19
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.494,0.184,0.136,0.137,0.389,0.27
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.327,0.011,0.003,0.097,0.049,0.032
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.015,0.035,0.419,0.075,0.052,0.064
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.019,0.025,0.102,0.105,0.008
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.026,0.006,0,0.399,0.069,0.024
"P19","Votaría en blanco",0.024,0.024,0.028,0.019,0.047,0.115
"P19","No sabe",0.037,0.047,0.032,0.017,0.114,0.297
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.074,0.646,0.339,0.121,0.177,0.194
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.521,0.187,0.147,0.148,0.377,0.279
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.31,0.008,0.004,0.103,0.054,0.032
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.018,0.029,0.44,0.076,0.058,0.079
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.006,0.022,0.022,0.115,0.076,0.01
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.02,0.004,0.001,0.375,0.054,0.014
"P20","Votaría en blanco",0.02,0.045,0.013,0.026,0.063,0.088
"P20","No sabe",0.031,0.059,0.034,0.036,0.141,0.304
"P21","Lo votaría",0.094,0.522,0.329,0.132,0.142,0.17
"P21","Puede que lo vote",0.147,0.291,0.311,0.191,0.21,0.27
"P21","Nunca lo votaría",0.753,0.17,0.328,0.637,0.604,0.479
"P21","No sabe",0.006,0.017,0.032,0.04,0.044,0.081
"P22","Lo votaría",0.452,0.254,0.21,0.14,0.345,0.248
"P22","Puede que lo vote",0.239,0.174,0.228,0.104,0.235,0.304
"P22","Nunca lo votaría",0.303,0.562,0.552,0.722,0.4,0.373
"P22","No sabe",0.006,0.01,0.01,0.034,0.02,0.075
"P23","Lo votaría",0.123,0.509,0.257,0.139,0.176,0.195
"P23","Puede que lo vote",0.1,0.232,0.275,0.083,0.195,0.187
"P23","Nunca lo votaría",0.762,0.243,0.437,0.744,0.599,0.537
"P23","No sabe",0.015,0.016,0.031,0.034,0.03,0.081
"P24","Lo votaría",0.226,0.102,0.077,0.162,0.089,0.036
"P24","Puede que lo vote",0.287,0.127,0.114,0.166,0.156,0.148
"P24","Nunca lo votaría",0.487,0.764,0.801,0.659,0.742,0.786
"P24","No sabe",0,0.007,0.008,0.013,0.013,0.03
"P25","Muy buena",0.065,0.418,0.248,0.069,0.117,0.126
"P25","Buena",0.099,0.238,0.195,0.24,0.204,0.16
"P25","Ni buena ni mala",0.292,0.263,0.347,0.246,0.428,0.457
"P25","Mala",0.204,0.043,0.092,0.236,0.122,0.059
"P25","Muy mala",0.288,0.015,0.083,0.174,0.08,0.103
"P25","No sabe",0.052,0.023,0.035,0.035,0.049,0.095
"P26","Muy buena",0.059,0.388,0.217,0.118,0.116,0.116
"P26","Buena",0.073,0.319,0.221,0.16,0.099,0.2
"P26","Ni buena ni mala",0.137,0.143,0.285,0.07,0.275,0.263
"P26","Mala",0.232,0.092,0.14,0.224,0.22,0.195
"P26","Muy mala",0.475,0.047,0.121,0.423,0.263,0.175
"P26","No sabe",0.024,0.011,0.016,0.005,0.027,0.051
"P27","Muy buena",0.355,0.194,0.134,0.11,0.332,0.176
"P27","Buena",0.238,0.153,0.17,0.107,0.173,0.262
"P27","Ni buena ni mala",0.19,0.31,0.28,0.19,0.261,0.245
"P27","Mala",0.102,0.216,0.218,0.145,0.09,0.142
"P27","Muy mala",0.094,0.117,0.181,0.434,0.125,0.114
"P27","No sabe",0.021,0.01,0.017,0.014,0.019,0.061
"P28","Muy buena",0.071,0.14,0.129,0.104,0.222,0.07
"P28","Buena",0.1,0.139,0.138,0.096,0.16,0.123
"P28","Ni buena ni mala",0.372,0.425,0.314,0.206,0.294,0.406
"P28","Mala",0.132,0.08,0.139,0.159,0.164,0.06
"P28","Muy mala",0.19,0.069,0.127,0.298,0.032,0.112
"P28","No sabe",0.135,0.147,0.153,0.137,0.128,0.229
"P29","Muy buena",0.129,0.033,0.031,0.051,0.078,0.063
"P29","Buena",0.314,0.03,0.014,0.117,0.08,0.061
"P29","Ni buena ni mala",0.261,0.113,0.067,0.155,0.22,0.242
"P29","Mala",0.153,0.181,0.154,0.21,0.245,0.22
"P29","Muy mala",0.115,0.609,0.681,0.453,0.321,0.353
"P29","No sabe",0.028,0.034,0.053,0.014,0.056,0.061
"P30","Muy buena",0.542,0.02,0.007,0.214,0.067,0.06
"P30","Buena",0.185,0.021,0.01,0.067,0.086,0.078
"P30","Ni buena ni mala",0.107,0.037,0.024,0.101,0.147,0.178
"P30","Mala",0.052,0.17,0.097,0.129,0.239,0.187
"P30","Muy mala",0.095,0.743,0.853,0.484,0.442,0.471
"P30","No sabe",0.019,0.009,0.009,0.005,0.019,0.026
"P31","Muy buena",0.099,0.37,0.126,0.108,0.077,0.072
"P31","Buena",0.05,0.246,0.238,0.041,0.088,0.117
"P31","Ni buena ni mala",0.064,0.163,0.196,0.12,0.159,0.263
"P31","Mala",0.179,0.083,0.162,0.104,0.309,0.236
"P31","Muy mala",0.592,0.134,0.266,0.622,0.355,0.28
"P31","No sabe",0.016,0.004,0.012,0.005,0.012,0.032
"P32","Muy buena",0.017,0.247,0.076,0.014,0.095,0.08
"P32","Buena",0.075,0.327,0.167,0.066,0.143,0.18
"P32","Ni buena ni mala",0.161,0.259,0.309,0.182,0.321,0.355
"P32","Mala",0.233,0.089,0.184,0.177,0.204,0.154
"P32","Muy mala",0.483,0.062,0.244,0.536,0.191,0.174
"P32","No sabe",0.031,0.016,0.02,0.025,0.046,0.057
"P33","Muy buena",0.14,0.055,0.018,0.04,0.063,0.072
"P33","Buena",0.335,0.076,0.032,0.079,0.16,0.069
"P33","Ni buena ni mala",0.304,0.11,0.078,0.208,0.247,0.29
"P33","Mala",0.119,0.219,0.172,0.171,0.248,0.245
"P33","Muy mala",0.092,0.524,0.677,0.496,0.23,0.242
"P33","No sabe",0.01,0.016,0.023,0.006,0.052,0.082
"P34","Muy buena",0.067,0.467,0.288,0.072,0.1,0.081
"P34","Buena",0.052,0.204,0.271,0.122,0.115,0.158
"P34","Ni buena ni mala",0.113,0.122,0.136,0.118,0.292,0.314
"P34","Mala",0.173,0.085,0.117,0.109,0.234,0.165
"P34","Muy mala",0.592,0.102,0.182,0.558,0.225,0.236
"P34","No sabe",0.003,0.02,0.006,0.021,0.034,0.046
"P35","Muy buena",0.244,0.218,0.194,0.091,0.327,0.251
"P35","Buena",0.194,0.198,0.253,0.083,0.131,0.241
"P35","Ni buena ni mala",0.171,0.254,0.215,0.107,0.212,0.244
"P35","Mala",0.162,0.179,0.154,0.174,0.115,0.123
"P35","Muy mala",0.225,0.134,0.167,0.524,0.197,0.109
"P35","No sabe",0.004,0.017,0.017,0.021,0.018,0.032
"P36","Muy buena",0.066,0.114,0.569,0.1,0.083,0.106
"P36","Buena",0.048,0.145,0.21,0.065,0.144,0.123
"P36","Ni buena ni mala",0.157,0.368,0.144,0.149,0.237,0.336
"P36","Mala",0.136,0.204,0.034,0.058,0.152,0.195
"P36","Muy mala",0.576,0.137,0.027,0.617,0.305,0.179
"P36","No sabe",0.017,0.032,0.016,0.011,0.079,0.061
"P37","Muy buena",0.032,0.153,0.146,0.108,0.075,0.049
"P37","Buena",0.05,0.279,0.169,0.11,0.119,0.151
"P37","Ni buena ni mala",0.318,0.351,0.277,0.328,0.386,0.376
"P37","Mala",0.245,0.112,0.112,0.037,0.11,0.159
"P37","Muy mala",0.299,0.061,0.24,0.353,0.183,0.132
"P37","No sabe",0.056,0.044,0.056,0.064,0.127,0.133
"P38","Muy buena",0.026,0.101,0.05,0.025,0.039,0.048
"P38","Buena",0.041,0.225,0.08,0.103,0.093,0.085
"P38","Ni buena ni mala",0.281,0.382,0.326,0.241,0.374,0.33
"P38","Mala",0.18,0.1,0.145,0.065,0.139,0.129
"P38","Muy mala",0.381,0.087,0.237,0.412,0.129,0.157
"P38","No sabe",0.091,0.105,0.162,0.154,0.226,0.251
"P39","Muy buena",0.039,0.122,0.094,0.084,0.107,0.052
"P39","Buena",0.066,0.214,0.109,0.107,0.159,0.107
"P39","Ni buena ni mala",0.398,0.369,0.335,0.3,0.264,0.416
"P39","Mala",0.159,0.122,0.152,0.078,0.167,0.1
"P39","Muy mala",0.214,0.083,0.172,0.351,0.086,0.129
"P39","No sabe",0.124,0.09,0.138,0.08,0.217,0.196
