"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P09","A Alberto Fernández",0.458,0.084,0.025,0.028
"P09","A Sergio Massa",0.097,0.521,0.036,0.007
"P09","A algún candidato del peronismo",0.106,0.105,0.722,0.012
"P09","A Cristina Fernández de Kirchner",0.339,0.29,0.217,0.953
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.15,0.048,0.108,0.003
"P13","A Martín Llaryora por Hacemos por Córdoba",0.49,0.604,0.628,0.322
"P13","Al candidato del Frente de Todos",0.178,0.299,0.168,0.563
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.026,0.003,0.03,0.001
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.002,0.005,0.005,0.001
"P13","Al candidato del Frente de Izquierda",0.057,0.012,0.005,0.038
"P13","Votaría en blanco",0.025,0.012,0.017,0.026
"P13","No sabe",0.072,0.017,0.039,0.046
"P15","A Luis Juez por Juntos por el Cambio",0.157,0.136,0.181,0.009
"P15","A Martín Llaryora por Hacemos por Córdoba",0.469,0.52,0.62,0.339
"P15","Al candidato del Frente de Todos",0.209,0.293,0.121,0.545
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.021,0.01,0.03,0.002
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0,0.005,0.007,0.002
"P15","Al candidato del Frente de Izquierda",0.052,0.014,0.009,0.042
"P15","Votaría en blanco",0.026,0.011,0.008,0.028
"P15","No sabe",0.066,0.011,0.024,0.033
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.179,0.124,0.168,0.006
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.453,0.441,0.56,0.324
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.187,0.299,0.181,0.56
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.019,0.013,0.018,0
