"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.538,0.71,0.635,0.652,0.709
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.349,0.242,0.309,0.209,0.122
"P12","No sabe",0.113,0.048,0.056,0.139,0.169
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.479,0.635,0.653,0.472,0.601
"P13","A Martín Llaryora por Hacemos por Córdoba",0.352,0.221,0.199,0.346,0.187
"P13","Al candidato del Frente de Todos",0.003,0.013,0.015,0.034,0.025
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.024,0.047,0.03,0.021,0.008
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.012,0.006,0.022,0.059,0.01
"P13","Al candidato del Frente de Izquierda",0.012,0,0.001,0.012,0.084
"P13","Votaría en blanco",0.068,0.031,0.017,0.012,0.026
"P13","No sabe",0.05,0.047,0.063,0.044,0.059
"P15","A Luis Juez por Juntos por el Cambio",0.437,0.577,0.624,0.478,0.549
"P15","A Martín Llaryora por Hacemos por Córdoba",0.404,0.282,0.246,0.343,0.202
"P15","Al candidato del Frente de Todos",0.009,0.006,0.009,0.036,0.071
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.03,0.046,0.032,0.017,0.009
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.029,0.012,0.032,0.058,0.011
"P15","Al candidato del Frente de Izquierda",0.018,0.002,0.001,0.004,0.085
"P15","Votaría en blanco",0.025,0.021,0.008,0.048,0.033
"P15","No sabe",0.048,0.054,0.048,0.016,0.04
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.572,0.628,0.693,0.512,0.674
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.308,0.229,0.213,0.356,0.057
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.002,0.015,0.002,0.036,0.092
