"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.53,0.561,0.449,0.358,0.417,0.322,0.138,0.27
"P05","Bastante",0.32,0.19,0.36,0.307,0.292,0.381,0.26,0.246
"P05","Poco",0.107,0.135,0.145,0.275,0.194,0.044,0.371,0.179
"P05","Nada",0.035,0.114,0.037,0.056,0.094,0.194,0.231,0.235
"P05","No sabe",0.008,0,0.009,0.004,0.003,0.059,0,0.07
"P06","Siempre",0.268,0.239,0.268,0.208,0.257,0.319,0.21,0.146
"P06","Casi siempre",0.434,0.388,0.435,0.381,0.282,0.372,0.276,0.269
"P06","Casi nunca",0.201,0.16,0.198,0.314,0.297,0.226,0.28,0.305
"P06","Nunca, pero esta es una excepción",0.097,0.213,0.099,0.097,0.164,0.083,0.234,0.28
"P08","Unión por la Patria y el peronismo",0.755,0.472,0.112,0.128,0.033,0.256,0.04,0.154
"P08","Juntos por el Cambio",0.125,0.283,0.781,0.609,0.051,0.045,0.059,0.048
"P08","De los Liberales libertarios",0.028,0.058,0.042,0.094,0.717,0.027,0.036,0.044
"P08","De la Izquierda",0.025,0.015,0.014,0.046,0.038,0.355,0.01,0.038
"P08","No sabe",0.067,0.172,0.051,0.123,0.161,0.317,0.855,0.716
"P09","A Sergio Massa",0.313,0.238,0.226,0.183,0.106,0.534,0.877,0.337
"P09","A Daniel Scioli",0.042,0.049,0.214,0.082,0.487,0.428,0,0.009
"P09","A algún candidato del peronismo",0.117,0.207,0.332,0.432,0.046,0,0.123,0.484
"P09","Wado de Pedro",0.528,0.506,0.228,0.303,0.361,0.038,0,0.17
"P10","A Horacio Rodriguez Larreta",0.099,0.418,0.034,0.601,0,0,0.07,0.122
"P10","A Patricia Bullrich",0.696,0.553,0.856,0.228,0.885,1,0.44,0.653
"P10","A Facundo Manes",0.18,0.009,0.054,0.065,0,0,0.33,0.075
"P10","A Gerardo Morales",0.025,0.02,0.056,0.106,0.115,0,0.16,0.15
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.635,0.221,0.072,0.064,0.051,0.042,0.11,0.1
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.098,0.345,0.046,0.02,0.001,0,0,0.032
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.095,0.137,0.779,0.12,0.055,0.01,0.021,0.041
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.041,0.083,0.061,0.673,0.026,0.041,0.01,0.038
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.085,0.014,0.072,0.811,0.019,0.114,0.104
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.008,0.003,0,0.015,0.48,0,0.008
"P11","En blanco",0.011,0.093,0.017,0.005,0,0,0.534,0.046
"P11","No sabe",0.09,0.028,0.008,0.046,0.041,0.408,0.211,0.631
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.667,0.205,0.155,0.028,0.02,0.06,0.081,0.089
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.055,0.414,0.015,0.076,0.008,0,0,0.036
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.126,0.121,0.739,0.067,0.034,0.14,0.027,0.018
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.024,0.089,0.05,0.729,0.003,0,0.025,0.013
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.048,0.012,0.088,0.913,0.019,0.013,0.022
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.008,0.002,0,0.005,0.493,0.026,0
"P13","En blanco",0.008,0.073,0.02,0,0,0.15,0.638,0.03
"P13","No sabe",0.099,0.042,0.007,0.012,0.017,0.138,0.19,0.792
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.655,0.241,0.127,0.043,0.001,0.278,0.153,0.138
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.069,0.208,0.079,0.086,0.029,0.013,0.023,0.012
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.115,0.109,0.751,0.038,0.06,0,0.021,0.08
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.006,0.163,0.029,0.674,0.004,0.013,0.005,0.002
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.041,0.005,0.083,0.903,0.246,0,0.026
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.018,0.004,0.033,0.001,0.45,0.077,0
"P17","En blanco",0.019,0.105,0,0.007,0,0,0.638,0.07
"P17","No sabe",0.096,0.115,0.005,0.036,0.002,0,0.083,0.672
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.67,0.318,0.153,0.053,0.009,0.077,0.077,0.106
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.06,0.171,0.024,0.097,0.006,0.093,0.041,0.018
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.109,0.056,0.748,0.06,0.05,0.051,0.01,0.027
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.195,0.051,0.704,0.046,0.188,0.005,0.026
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.079,0.02,0.066,0.852,0.015,0.097,0.035
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.037,0.002,0,0.006,0.447,0.058,0.076
"P19","En blanco",0.023,0.113,0,0,0.004,0,0.559,0.024
"P19","No sabe",0.088,0.031,0.002,0.02,0.027,0.129,0.153,0.688
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.752,0.333,0.106,0.066,0.028,0.229,0.017,0.054
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.058,0.206,0.078,0.147,0.003,0,0.05,0.079
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.121,0.101,0.723,0.051,0.072,0.021,0.022,0.03
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.009,0.174,0.061,0.668,0.008,0.118,0,0.013
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.023,0.073,0.017,0.023,0.864,0.021,0.109,0.037
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.011,0.003,0.006,0.011,0.444,0.109,0.054
"P21","En blanco",0.006,0.08,0,0.014,0.014,0,0.615,0.059
"P21","No sabe",0.029,0.022,0.012,0.025,0,0.167,0.078,0.674
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.738,0.438,0.068,0.063,0.016,0.196,0.225,0.183
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.081,0.119,0.853,0.463,0.05,0.145,0.086,0.109
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.037,0.204,0.058,0.191,0.773,0.217,0,0.08
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.005,0.001,0.037,0.002,0.332,0,0.011
"P22","En blanco",0.025,0.162,0.004,0.062,0.14,0,0.464,0.033
"P22","No sabe",0.086,0.072,0.016,0.184,0.019,0.11,0.225,0.584
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.755,0.432,0.094,0.033,0.033,0.349,0.237,0.134
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.094,0.178,0.534,0.774,0.031,0.026,0.122,0.059
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.111,0.129,0.091,0.798,0.246,0,0.109
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.038,0.004,0.037,0.001,0.299,0,0.016
"P23","En blanco",0.01,0.175,0.072,0.034,0.134,0,0.449,0.036
"P23","No sabe",0.092,0.066,0.167,0.031,0.003,0.08,0.192,0.646
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.809,0.468,0.132,0.058,0.011,0.146,0.152,0.154
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.1,0.142,0.78,0.53,0.049,0.14,0.094,0.095
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.173,0.047,0.085,0.784,0.053,0,0.017
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.023,0.012,0.116,0.014,0.59,0,0.014
"P24","En blanco",0.005,0.144,0.01,0.113,0.129,0,0.613,0.023
"P24","No sabe",0.062,0.05,0.019,0.098,0.013,0.071,0.141,0.697
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.784,0.509,0.165,0.04,0.027,0.017,0.156,0.135
