"var","categoria","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P05","Mucho",0.52,0.391,0.396,0.554,0.537
"P05","Bastante",0.311,0.413,0.311,0.242,0.242
"P05","Poco",0.146,0.165,0.185,0.06,0.113
"P05","Nada",0.023,0.031,0.101,0.054,0.108
"P05","No sabe",0,0,0.007,0.09,0
"P06","Siempre",0.279,0.312,0.31,0.264,0.349
"P06","Casi siempre",0.416,0.409,0.294,0.407,0.333
"P06","Casi nunca",0.14,0.208,0.279,0.171,0.206
"P06","Nunca, pero esta es una excepción",0.165,0.071,0.117,0.158,0.112
"P08","Unión por la Patria y el peronismo",0.846,0.065,0.063,0.359,0.143
"P08","Juntos por el Cambio",0.072,0.824,0.09,0,0.244
"P08","De los Liberales libertarios",0.01,0.069,0.744,0,0.267
"P08","De la Izquierda",0.001,0.003,0,0.437,0.071
"P08","No sabe",0.071,0.039,0.103,0.204,0.275
"P09","A Sergio Massa",0.361,0.139,0.526,0,0.077
"P09","A Daniel Scioli",0.069,0.328,0.474,0,0.019
"P09","A algún candidato del peronismo",0.082,0.516,0,0,0.152
"P09","Wado de Pedro",0.488,0.017,0,1,0.752
"P10","A Horacio Rodriguez Larreta",0.125,0.123,0,0,0
"P10","A Patricia Bullrich",0.424,0.798,1,0,0.959
"P10","A Facundo Manes",0.374,0.032,0,0,0
"P10","A Gerardo Morales",0.077,0.047,0,0,0.041
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.644,0.042,0.14,0.09,0.072
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.105,0.023,0,0.23,0.038
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.107,0.667,0.116,0.044,0.143
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.061,0.167,0,0.09,0.023
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.046,0.735,0.067,0.408
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.006,0,0.353,0
"P11","En blanco",0.008,0.017,0.007,0,0.135
"P11","No sabe",0.05,0.032,0.002,0.126,0.181
