"var","categoria","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P05","Mucho",0.571,0.366,0.373,0.234,0.498
"P05","Bastante",0.288,0.408,0.359,0.489,0.205
"P05","Poco",0.113,0.192,0.17,0.142,0.151
"P05","Nada",0.028,0.034,0.078,0.135,0.146
"P05","No sabe",0,0,0.02,0,0
"P06","Siempre",0.303,0.249,0.356,0.081,0.393
"P06","Casi siempre",0.451,0.418,0.252,0.429,0.239
"P06","Casi nunca",0.142,0.215,0.278,0.34,0.211
"P06","Nunca, pero esta es una excepción",0.104,0.118,0.114,0.15,0.157
"P08","Unión por la Patria y el peronismo",0.844,0.12,0.023,0,0.062
"P08","Juntos por el Cambio",0.064,0.798,0.149,0,0.236
"P08","De los Liberales libertarios",0.004,0.045,0.75,0.316,0.211
"P08","De la Izquierda",0.015,0.003,0,0.333,0.097
"P08","No sabe",0.073,0.034,0.078,0.351,0.394
"P09","A Sergio Massa",0.334,0.113,0.096,0,0.227
"P09","A Daniel Scioli",0.044,0.409,0.904,0,0.064
"P09","A algún candidato del peronismo",0.076,0.431,0,0,0.525
"P09","Wado de Pedro",0.546,0.047,0,0,0.184
"P10","A Horacio Rodriguez Larreta",0.271,0.126,0,0,0
"P10","A Patricia Bullrich",0.192,0.815,0.878,0,0.94
"P10","A Facundo Manes",0.449,0.02,0,0,0
"P10","A Gerardo Morales",0.088,0.039,0.122,0,0.06
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.685,0.006,0.092,0,0.049
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.135,0.019,0,0,0.02
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.032,0.72,0.132,0.139,0.15
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.046,0.18,0.003,0.112,0.049
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.021,0.757,0.382,0.364
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.003,0,0.211,0
"P11","En blanco",0.018,0.019,0,0.089,0.143
"P11","No sabe",0.046,0.032,0.016,0.067,0.225
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.729,0.154,0.024,0,0.1
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.113,0.016,0.01,0,0.045
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.057,0.622,0.12,0.139,0.136
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.01,0.167,0.02,0.045,0.062
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.023,0.785,0.382,0.261
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0,0.013,0.278,0
"P13","En blanco",0.001,0.003,0.013,0.089,0.222
"P13","No sabe",0.064,0.015,0.015,0.067,0.174
