"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.577,0.419,0.371,0.367,0.395,0.374
"P05","Bastante",0.295,0.38,0.312,0.347,0.229,0.319
"P05","Poco",0.096,0.166,0.219,0,0.123,0.17
"P05","Nada",0.017,0.035,0.092,0.176,0.253,0.096
"P05","No sabe",0.015,0,0.006,0.11,0,0.041
"P06","Siempre",0.306,0.287,0.352,0.077,0.277,0.249
"P06","Casi siempre",0.464,0.413,0.249,0.407,0.257,0.41
"P06","Casi nunca",0.145,0.198,0.248,0.23,0.299,0.184
"P06","Nunca, pero esta es una excepción",0.085,0.102,0.151,0.286,0.167,0.157
"P08","Unión por la Patria y el peronismo",0.828,0.093,0.029,0.117,0.153,0.159
"P08","Juntos por el Cambio",0.085,0.817,0.145,0.104,0.085,0.168
"P08","De los Liberales libertarios",0.018,0.042,0.675,0.182,0.361,0.15
"P08","De la Izquierda",0.025,0.003,0.032,0.315,0,0.021
"P08","No sabe",0.044,0.045,0.119,0.282,0.401,0.502
"P09","A Sergio Massa",0.331,0.149,0,0.398,0.574,0.717
"P09","A Daniel Scioli",0.036,0.407,0.768,0,0,0.025
"P09","A algún candidato del peronismo",0.075,0.37,0.232,0.254,0.343,0.22
"P09","Wado de Pedro",0.558,0.074,0,0.348,0.083,0.038
"P10","A Horacio Rodriguez Larreta",0.027,0.114,0.199,1,0,0.12
"P10","A Patricia Bullrich",0.255,0.826,0.72,0,1,0.485
"P10","A Facundo Manes",0.576,0.016,0,0,0,0.088
"P10","A Gerardo Morales",0.142,0.044,0.081,0,0,0.307
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.649,0.027,0.113,0.213,0.161,0.157
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.114,0.026,0,0.03,0.023,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.043,0.74,0.061,0.194,0.069,0.034
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.055,0.17,0.024,0.225,0.046,0.087
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.005,0.733,0,0.418,0.125
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.002,0.004,0.249,0,0.013
"P11","En blanco",0.012,0.013,0.011,0,0.215,0.017
"P11","No sabe",0.087,0.017,0.054,0.089,0.068,0.567
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.713,0.115,0.045,0.257,0.092,0.122
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.097,0.018,0,0.072,0.052,0.017
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.056,0.648,0.102,0.084,0.057,0.063
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.022,0.176,0.035,0.058,0.032,0.1
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.023,0.761,0.182,0.362,0.071
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0,0.01,0.3,0.044,0.015
"P13","En blanco",0.006,0.004,0.023,0,0.291,0.043
