"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.531,0.418,0.494,0.364,0.42,0.457,0.214,0.356
"P05","Bastante",0.296,0.252,0.366,0.248,0.296,0.321,0.274,0.277
"P05","Poco",0.091,0.314,0.113,0.316,0.185,0.164,0.19,0.147
"P05","Nada",0.063,0.016,0.021,0.072,0.088,0.058,0.322,0.197
"P05","No sabe",0.019,0,0.006,0,0.011,0,0,0.023
"P06","Siempre",0.291,0.213,0.275,0.191,0.269,0.389,0.177,0.188
"P06","Casi siempre",0.442,0.321,0.449,0.369,0.301,0.384,0.154,0.359
"P06","Casi nunca",0.174,0.1,0.199,0.362,0.277,0.203,0.332,0.206
"P06","Nunca, pero esta es una excepción",0.093,0.366,0.077,0.078,0.153,0.024,0.337,0.247
"P08","Unión por la Patria y el peronismo",0.728,0.468,0.089,0.101,0.028,0.241,0.145,0.358
"P08","Juntos por el Cambio",0.144,0.285,0.775,0.724,0.035,0.082,0.068,0.064
"P08","De los Liberales libertarios",0.022,0.112,0.05,0.055,0.732,0.008,0.02,0.03
"P08","De la Izquierda",0.026,0.035,0.018,0.023,0.049,0.482,0.003,0.014
"P08","No sabe",0.08,0.1,0.068,0.097,0.156,0.187,0.764,0.534
"P09","A Sergio Massa",0.401,0.204,0.272,0.203,0.228,0.166,0,0.117
"P09","A Daniel Scioli",0.03,0.303,0.075,0.056,0.558,0,0,0
"P09","A algún candidato del peronismo",0.113,0.236,0.329,0.602,0.214,0,0.176,0.204
"P09","Wado de Pedro",0.456,0.257,0.324,0.139,0,0.834,0.824,0.679
"P10","A Horacio Rodriguez Larreta",0.076,0.197,0.045,0.546,0.08,0,0.48,0.236
"P10","A Patricia Bullrich",0.61,0.511,0.896,0.293,0.693,1,0.269,0.566
"P10","A Facundo Manes",0.235,0.131,0.025,0.102,0,0,0.251,0.069
"P10","A Gerardo Morales",0.079,0.161,0.034,0.059,0.227,0,0,0.129
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.674,0.238,0.07,0.076,0.064,0.091,0.145,0.103
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.09,0.116,0.037,0.054,0.006,0.089,0.031,0.094
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.124,0.305,0.738,0.162,0.047,0,0.01,0.055
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.047,0.167,0.066,0.67,0.037,0,0.022,0.025
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.106,0.047,0.014,0.742,0.065,0.088,0.101
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.021,0.003,0,0.017,0.463,0.003,0.005
"P11","En blanco",0.006,0.014,0.006,0,0,0.256,0.396,0.056
"P11","No sabe",0.039,0.033,0.033,0.024,0.087,0.036,0.305,0.561
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.677,0.399,0.118,0.027,0.004,0.136,0.107,0.16
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.081,0.113,0.014,0.05,0.017,0.089,0.02,0.061
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.137,0.17,0.728,0.11,0.05,0,0.021,0.025
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.005,0.111,0.057,0.779,0.014,0.016,0.048,0.033
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.097,0.036,0.022,0.879,0.065,0,0
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.011,0.008,0,0.001,0.468,0.033,0
"P13","En blanco",0.023,0.059,0.002,0.002,0.006,0.069,0.531,0.027
"P13","No sabe",0.051,0.04,0.037,0.01,0.029,0.157,0.24,0.694
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.696,0.273,0.109,0.022,0.026,0.25,0.118,0.247
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.045,0.145,0.018,0.096,0.009,0.041,0.115,0.052
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.149,0.344,0.786,0.107,0.007,0.056,0,0.015
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.113,0.012,0.757,0.034,0.141,0.015,0.03
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.091,0.045,0.011,0.893,0.008,0,0.004
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.003,0,0.003,0.019,0.356,0,0
"P15","En blanco",0.024,0.014,0.003,0.002,0,0.148,0.595,0.032
"P15","No sabe",0.052,0.017,0.027,0.002,0.012,0,0.157,0.62
