"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P05","Mucho",0.41,0.446,0.294,0.261
"P05","Bastante",0.249,0.395,0.161,0.296
"P05","Poco",0.291,0.129,0.436,0.337
"P05","Nada",0.045,0.029,0.005,0.096
"P05","No sabe",0.005,0.001,0.104,0.01
"P06","Siempre",0.128,0.262,0.144,0.212
"P06","Casi siempre",0.39,0.465,0.356,0.342
"P06","Casi nunca",0.32,0.215,0.395,0.433
"P06","Nunca, pero esta es una excepción",0.162,0.058,0.105,0.013
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.148,0.019,0.368,0.145
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.002,0.056,0.039,0.114
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.23,0.771,0.191,0.247
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.595,0.094,0.287,0.324
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.038,0,0.098
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.003,0,0
"P11","En blanco",0,0.007,0.014,0
"P11","No sabe",0.01,0.012,0.101,0.072
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.105,0.098,0.344,0.083
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.036,0.028,0.021,0.253
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.178,0.735,0.291,0.3
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.667,0.086,0.243,0.286
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.03,0.039,0.052
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.002,0,0
"P13","En blanco",0,0.008,0.031,0
"P13","No sabe",0.008,0.013,0.031,0.026
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.066,0.098,0.274,0.039
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.116,0.033,0.005,0.013
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.138,0.75,0.507,0.551
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.667,0.054,0.167,0.282
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.047,0,0.069
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.003,0,0
"P15","En blanco",0.003,0.004,0.033,0.017
"P15","No sabe",0.01,0.011,0.014,0.029
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.052,0.085,0.358,0.146
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.065,0.034,0.096,0.143
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.19,0.764,0.234,0.387
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.621,0.068,0.258,0.18
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.023,0,0.101
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.009,0,0
"P17","En blanco",0.03,0.003,0.035,0
"P17","No sabe",0.029,0.014,0.019,0.043
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.101,0.072,0.213,0.093
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.104,0.019,0.024,0.087
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.09,0.805,0.24,0.34
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.607,0.066,0.382,0.333
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.04,0.019,0.105,0.103
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.003,0,0.019
"P19","En blanco",0.03,0.003,0.036,0
"P19","No sabe",0.028,0.013,0,0.025
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.073,0.108,0.266,0.068
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.097,0.042,0.036,0.139
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.129,0.728,0.384,0.218
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.678,0.082,0.314,0.427
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.023,0,0.094
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.003,0,0
"P21","En blanco",0,0.007,0,0
"P21","No sabe",0.023,0.007,0,0.054
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.096,0.039,0.541,0.065
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.565,0.848,0.174,0.325
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.224,0.089,0.153,0.217
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0,0,0
"P22","En blanco",0.018,0.01,0,0
"P22","No sabe",0.064,0.014,0.132,0.393
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.076,0.063,0.706,0.17
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.861,0.569,0.257,0.668
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.124,0,0.108
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.002,0,0
"P23","En blanco",0,0.074,0,0.022
"P23","No sabe",0.047,0.168,0.037,0.032
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.045,0.062,0.522,0.166
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.555,0.832,0.331,0.583
