"var","categoria","Si","No"
"P05","Mucho",0.461,0.432
"P05","Bastante",0.355,0.352
"P05","Poco",0.166,0.138
"P05","Nada",0.015,0.072
"P05","No sabe",0.003,0.006
"P06","Siempre",0.359,0.239
"P06","Casi siempre",0.41,0.378
"P06","Casi nunca",0.122,0.285
"P06","Nunca, pero esta es una excepción",0.109,0.098
"P08","Unión por la Patria y el peronismo",0.385,0.27
"P08","Juntos por el Cambio",0.367,0.382
"P08","De los Liberales libertarios",0.163,0.222
"P08","De la Izquierda",0.027,0.019
"P08","No sabe",0.058,0.107
"P09","A Sergio Massa",0.291,0.34
"P09","A Daniel Scioli",0.164,0.063
"P09","A algún candidato del peronismo",0.099,0.094
"P09","Wado de Pedro",0.446,0.503
"P10","A Horacio Rodriguez Larreta",0.06,0.188
"P10","A Patricia Bullrich",0.851,0.717
"P10","A Facundo Manes",0.047,0.034
"P10","A Gerardo Morales",0.042,0.061
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.231,0.232
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.084,0.027
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.347,0.293
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.089,0.091
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.186,0.248
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.015
"P11","En blanco",0.012,0.03
"P11","No sabe",0.042,0.064
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.343,0.264
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.072,0.025
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.298,0.28
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.046,0.107
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.183,0.224
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.02
