"var","categoria","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.553,0.419,0.382,0.537,0.45,0.438
"P05","Bastante",0.275,0.39,0.334,0.364,0.186,0.296
"P05","Poco",0.131,0.146,0.196,0.036,0.124,0.182
"P05","Nada",0.022,0.039,0.079,0.063,0.24,0.084
"P05","No sabe",0.019,0.006,0.009,0,0,0
"P06","Siempre",0.3,0.302,0.336,0.396,0.294,0.2
"P06","Casi siempre",0.422,0.454,0.276,0.277,0.225,0.388
"P06","Casi nunca",0.129,0.204,0.25,0.122,0.295,0.296
"P06","Nunca, pero esta es una excepción",0.149,0.04,0.138,0.205,0.186,0.116
"P08","Unión por la Patria y el peronismo",0.813,0.051,0.042,0.23,0.132,0.346
"P08","Juntos por el Cambio",0.099,0.836,0.123,0.279,0.157,0.177
"P08","De los Liberales libertarios",0.011,0.058,0.724,0,0.306,0.049
"P08","De la Izquierda",0.022,0,0.031,0.235,0,0.026
"P08","No sabe",0.055,0.055,0.08,0.256,0.405,0.402
"P09","A Sergio Massa",0.365,0.207,0,0.162,0.117,0.272
"P09","A Daniel Scioli",0.077,0.092,0.72,0,0,0.009
"P09","A algún candidato del peronismo",0.089,0.446,0.28,0.071,0.62,0.13
"P09","Wado de Pedro",0.469,0.255,0,0.767,0.263,0.589
"P10","A Horacio Rodriguez Larreta",0.055,0.086,0.243,0.753,0.166,0.203
"P10","A Patricia Bullrich",0.485,0.832,0.757,0,0.621,0.381
"P10","A Facundo Manes",0.337,0.027,0,0,0.213,0.084
"P10","A Gerardo Morales",0.123,0.055,0,0.247,0,0.332
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.638,0.034,0.105,0.235,0.092,0.176
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.099,0.024,0,0.106,0.022,0.098
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.105,0.708,0.105,0.008,0.118,0.069
