"var","categoria","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P05","Mucho",0.58,0.364,0.358,0.283,0.498
"P05","Bastante",0.299,0.416,0.344,0.271,0.2
"P05","Poco",0.106,0.191,0.201,0.167,0.137
"P05","Nada",0.015,0.029,0.076,0.279,0.165
"P05","No sabe",0,0,0.021,0,0
"P06","Siempre",0.299,0.266,0.343,0.094,0.389
"P06","Casi siempre",0.452,0.421,0.234,0.407,0.224
"P06","Casi nunca",0.165,0.183,0.298,0.309,0.208
"P06","Nunca, pero esta es una excepción",0.084,0.13,0.125,0.19,0.179
"P08","Unión por la Patria y el peronismo",0.842,0.117,0.023,0.1,0.071
"P08","Juntos por el Cambio",0.061,0.815,0.109,0.177,0.145
"P08","De los Liberales libertarios",0.018,0.031,0.77,0,0.315
"P08","De la Izquierda",0.013,0.003,0.002,0.405,0.089
"P08","No sabe",0.066,0.034,0.096,0.318,0.38
"P09","A Sergio Massa",0.329,0.099,0.078,0,0.264
"P09","A Daniel Scioli",0.052,0.417,0.922,0,0.039
"P09","A algún candidato del peronismo",0.075,0.466,0,0,0.213
"P09","Wado de Pedro",0.544,0.018,0,1,0.484
"P10","A Horacio Rodriguez Larreta",0.128,0.115,0.015,0.313,0.028
"P10","A Patricia Bullrich",0.132,0.832,0.774,0.687,0.972
"P10","A Facundo Manes",0.661,0.018,0,0,0
"P10","A Gerardo Morales",0.079,0.035,0.211,0,0
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.655,0.038,0.081,0.049,0.102
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.139,0.018,0,0,0.018
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.035,0.741,0.083,0.284,0.023
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.054,0.139,0.031,0.198,0.062
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.021,0.765,0.079,0.465
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.002,0,0.26,0
"P11","En blanco",0.014,0.017,0,0,0.161
"P11","No sabe",0.055,0.024,0.04,0.13,0.169
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.746,0.152,0.013,0.049,0.108
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.12,0.014,0,0.051,0.033
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.037,0.637,0.109,0.284,0.051
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.007,0.134,0.048,0.119,0.077
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.038,0.781,0.079,0.388
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0,0.013,0.339,0
"P13","En blanco",0.001,0.002,0.015,0,0.22
"P13","No sabe",0.069,0.023,0.021,0.079,0.123
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.744,0.059,0.062,0.119,0.054
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.09,0.028,0.012,0.052,0.129
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.087,0.729,0.091,0.218,0.039
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.138,0.022,0.184,0.053
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.019,0.788,0.098,0.434
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.001,0.017,0.25,0.043
"P15","En blanco",0.005,0.003,0,0,0.121
"P15","No sabe",0.029,0.023,0.008,0.079,0.127
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.676,0.064,0.003,0.098,0.121
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.068,0.133,0.01,0.022,0.02
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.07,0.617,0.088,0.092,0.185
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.001,0.134,0.031,0.31,0.065
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.025,0.856,0.098,0.373
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0.008,0,0.252,0
"P17","En blanco",0.015,0.002,0,0.049,0.194
"P17","No sabe",0.11,0.017,0.012,0.079,0.042
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.73,0.151,0.002,0.127,0.029
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.056,0.017,0.026,0,0.032
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.056,0.612,0.082,0.284,0.12
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.021,0.181,0.022,0.119,0.075
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.022,0.854,0.098,0.382
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.003,0.002,0.293,0
"P19","En blanco",0.026,0,0,0,0.194
"P19","No sabe",0.059,0.014,0.012,0.079,0.168
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.791,0.044,0,0.22,0.116
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.062,0.121,0.003,0.051,0.077
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.079,0.64,0.083,0.284,0.02
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.155,0.046,0.119,0.071
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.02,0.851,0.098,0.355
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.004,0,0.149,0
"P21","En blanco",0.013,0.002,0.015,0,0.2
"P21","No sabe",0.031,0.014,0.002,0.079,0.161
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.819,0.006,0.002,0.226,0.075
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.017,0.884,0.104,0.172,0.071
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.084,0.814,0.144,0.379
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.045,0,0.002,0.379,0
"P22","En blanco",0.02,0.003,0.067,0,0.322
"P22","No sabe",0.069,0.023,0.011,0.079,0.153
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.869,0.009,0.014,0.175,0.148
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.693,0.067,0.198,0.12
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.125,0.864,0.144,0.336
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.002,0,0.312,0
"P23","En blanco",0.015,0.038,0.045,0.092,0.302
"P23","No sabe",0.061,0.133,0.01,0.079,0.094
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.869,0.098,0.005,0.049,0.075
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.044,0.797,0.093,0.205,0.082
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.062,0.824,0.079,0.263
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.008,0.002,0.51,0.043
"P24","En blanco",0.002,0.007,0.04,0.092,0.383
"P24","No sabe",0.052,0.028,0.036,0.065,0.154
