"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.307,0.3,0.315,0.136,0.36,0.292,0.361,0.279,0.296,0.353,0.627,0.048,0.123
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.359,0.355,0.363,0.367,0.286,0.41,0.424,0.363,0.352,0.366,0.155,0.65,0.436
"Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.187,0.223,0.152,0.22,0.265,0.143,0.074,0.161,0.223,0.157,0.107,0.196,0.242
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.022,0.014,0.009,0.025,0.018,0.012,0.019,0.012,0.026,0.009,0.016,0
"En blanco",0.063,0.054,0.071,0.179,0.031,0.051,0.045,0.08,0.053,0.06,0.051,0.037,0.096
"No sabe",0.066,0.046,0.085,0.089,0.033,0.086,0.084,0.098,0.064,0.038,0.051,0.053,0.103
