"var","categoria","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.561,0.415,0.405,0.383,0.46,0.361
"P05","Bastante",0.275,0.385,0.288,0.374,0.212,0.461
"P05","Poco",0.13,0.154,0.217,0.102,0.137,0.102
"P05","Nada",0.02,0.046,0.072,0.141,0.17,0.076
"P05","No sabe",0.014,0,0.018,0,0.021,0
"P06","Siempre",0.3,0.269,0.323,0.471,0.338,0.265
"P06","Casi siempre",0.429,0.44,0.29,0.296,0.247,0.458
"P06","Casi nunca",0.123,0.241,0.276,0.146,0.223,0.18
"P06","Nunca, pero esta es una excepción",0.148,0.05,0.111,0.087,0.192,0.097
"P08","Unión por la Patria y el peronismo",0.818,0.065,0.029,0.205,0.125,0.201
"P08","Juntos por el Cambio",0.098,0.807,0.226,0,0.357,0.403
"P08","De los Liberales libertarios",0.024,0.06,0.618,0.082,0.225,0.075
"P08","De la Izquierda",0.003,0.016,0.033,0.467,0.003,0
"P08","No sabe",0.057,0.052,0.094,0.246,0.29,0.321
"P09","A Sergio Massa",0.352,0.101,0.102,0.21,0.213,0.341
"P09","A Daniel Scioli",0.079,0.098,0.463,0,0.024,0.011
"P09","A algún candidato del peronismo",0.087,0.468,0.138,0.127,0.469,0.138
"P09","Wado de Pedro",0.482,0.333,0.297,0.663,0.294,0.51
"P10","A Horacio Rodriguez Larreta",0.012,0.132,0.124,0,0.243,0.039
"P10","A Patricia Bullrich",0.417,0.762,0.819,0,0.736,0.856
"P10","A Facundo Manes",0.445,0.031,0.005,0,0,0.019
"P10","A Gerardo Morales",0.126,0.075,0.052,0,0.021,0.086
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.656,0.054,0.057,0.09,0.086,0.112
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.106,0.039,0,0.028,0.016,0.027
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.104,0.611,0.218,0,0.279,0.352
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.053,0.226,0.016,0.062,0.108,0.06
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.017,0.663,0.082,0.262,0.085
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.003,0.004,0.434,0,0.007
"P11","En blanco",0.01,0.021,0.007,0.052,0.161,0.002
"P11","No sabe",0.051,0.029,0.035,0.252,0.088,0.355
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.781,0.049,0.047,0.11,0.069,0.069
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.091,0.036,0,0.068,0.026,0.021
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.059,0.612,0.185,0,0.263,0.328
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.008,0.239,0.052,0,0.111,0.051
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.036,0.68,0,0.25,0.06
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0,0.009,0.476,0.03,0.01
"P13","En blanco",0,0.009,0.007,0.166,0.217,0.01
"P13","No sabe",0.04,0.019,0.02,0.18,0.034,0.451
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.697,0.107,0.037,0.17,0.048,0.167
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.081,0.045,0.023,0.068,0.085,0.003
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.16,0.595,0.182,0.028,0.285,0.378
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.01,0.204,0.044,0,0.123,0.026
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.026,0.7,0.098,0.225,0.064
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.001,0.002,0.538,0.021,0.008
"P15","En blanco",0.013,0.012,0.007,0,0.188,0.01
"P15","No sabe",0.023,0.01,0.005,0.098,0.025,0.344
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.7,0.062,0.015,0.244,0.047,0.077
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.122,0.082,0.009,0.048,0.024,0.049
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.056,0.577,0.209,0.048,0.266,0.448
