"var","categoria","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.524,0.547,0.46,0.376,0.422,0.637,0.33,0.345
"P05","Bastante",0.302,0.3,0.385,0.302,0.273,0.175,0.096,0.302
"P05","Poco",0.116,0.095,0.111,0.295,0.211,0.13,0.187,0.154
"P05","Nada",0.032,0.025,0.043,0.023,0.09,0.049,0.387,0.179
"P05","No sabe",0.026,0.033,0.001,0.004,0.004,0.009,0,0.02
"P06","Siempre",0.286,0.256,0.301,0.179,0.307,0.27,0.237,0.184
"P06","Casi siempre",0.442,0.467,0.441,0.334,0.246,0.449,0.142,0.32
"P06","Casi nunca",0.137,0.137,0.21,0.317,0.281,0.083,0.277,0.283
"P06","Nunca, pero esta es una excepción",0.135,0.14,0.048,0.17,0.166,0.198,0.344,0.213
"P08","Unión por la Patria y el peronismo",0.766,0.458,0.072,0.137,0.026,0.311,0.24,0.314
"P08","Juntos por el Cambio",0.118,0.234,0.826,0.614,0.049,0.047,0.081,0.054
"P08","De los Liberales libertarios",0.019,0.138,0.028,0.081,0.766,0.076,0.027,0.062
"P08","De la Izquierda",0.014,0.016,0.029,0.014,0.042,0.317,0.006,0.01
"P08","No sabe",0.083,0.154,0.045,0.154,0.117,0.249,0.646,0.56
"P09","A Sergio Massa",0.334,0.243,0.401,0.418,0.139,0.321,0.335,0.331
"P09","A Daniel Scioli",0.054,0.197,0.032,0.049,0.72,0,0,0
"P09","A algún candidato del peronismo",0.131,0.184,0.386,0.364,0.141,0.256,0.318,0.102
"P09","Wado de Pedro",0.481,0.376,0.181,0.169,0,0.423,0.347,0.567
"P10","A Horacio Rodriguez Larreta",0.152,0.393,0.018,0.457,0.161,0,0.444,0.259
"P10","A Patricia Bullrich",0.618,0.413,0.925,0.281,0.429,0.632,0.279,0.64
"P10","A Facundo Manes",0.167,0.047,0.026,0.15,0.223,0,0.277,0
"P10","A Gerardo Morales",0.063,0.147,0.031,0.112,0.187,0.368,0,0.101
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.639,0.251,0.045,0.118,0.094,0.094,0.272,0.136
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.084,0.187,0.04,0.062,0,0.015,0.028,0.083
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.142,0.122,0.775,0.188,0.039,0.031,0.007,0.022
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.061,0.196,0.06,0.498,0.046,0,0.023,0.014
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.048,0.048,0.09,0.723,0.064,0.044,0.147
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.031,0.006,0.002,0.021,0.401,0,0.006
"P11","En blanco",0.011,0.038,0.01,0,0.017,0.09,0.387,0.03
"P11","No sabe",0.04,0.127,0.016,0.042,0.06,0.305,0.239,0.562
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.723,0.331,0.116,0.069,0.023,0.105,0.108,0.124
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.075,0.165,0.014,0.071,0.007,0.081,0.056,0.034
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.126,0.044,0.748,0.177,0.043,0.031,0.027,0.019
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.182,0.061,0.568,0.016,0.021,0.05,0.023
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.027,0.043,0.1,0.855,0.011,0.022,0.05
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.019,0.004,0,0.007,0.443,0.006,0
"P13","En blanco",0.003,0.131,0,0.003,0,0.016,0.519,0.075
"P13","No sabe",0.037,0.101,0.014,0.012,0.049,0.292,0.212,0.675
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.687,0.347,0.104,0.046,0.029,0.132,0.177,0.232
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.06,0.183,0.01,0.091,0.019,0.08,0.163,0.015
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.178,0.163,0.818,0.147,0.03,0.031,0,0.006
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.017,0.181,0.019,0.575,0.029,0,0,0.017
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.026,0.036,0.088,0.86,0.055,0.022,0.054
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.033,0.003,0.029,0.001,0.32,0,0.021
"P15","En blanco",0.01,0.031,0.001,0.002,0.017,0.09,0.577,0.053
"P15","No sabe",0.036,0.036,0.009,0.022,0.015,0.292,0.061,0.602
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.701,0.129,0.125,0.044,0.008,0.101,0.123,0.111
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.075,0.409,0.032,0.169,0.005,0.011,0.006,0.02
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.136,0.083,0.801,0.089,0.035,0.042,0.014,0.064
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.005,0.19,0.022,0.58,0.011,0.021,0,0.005
