"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.601,0.398,0.383,0.448,0.466,0.433
"P05","Bastante",0.266,0.338,0.361,0.334,0.236,0.384
"P05","Poco",0.081,0.224,0.174,0.062,0.1,0.119
"P05","Nada",0.033,0.034,0.075,0.139,0.198,0.064
"P05","No sabe",0.019,0.006,0.007,0.017,0,0
"P06","Siempre",0.326,0.241,0.347,0.207,0.381,0.235
"P06","Casi siempre",0.438,0.418,0.283,0.585,0.284,0.394
"P06","Casi nunca",0.155,0.227,0.218,0.099,0.219,0.223
"P06","Nunca, pero esta es una excepción",0.081,0.114,0.152,0.109,0.116,0.148
"P08","Unión por la Patria y el peronismo",0.784,0.088,0.063,0.516,0.147,0.286
"P08","Juntos por el Cambio",0.119,0.794,0.171,0.087,0.296,0.392
"P08","De los Liberales libertarios",0.01,0.028,0.623,0,0.297,0.041
"P08","De la Izquierda",0.012,0.014,0.029,0.38,0,0.013
"P08","No sabe",0.075,0.076,0.114,0.017,0.26,0.268
"P09","A Sergio Massa",0.406,0.182,0.096,0.096,0.145,0.121
"P09","A Daniel Scioli",0.046,0.318,0.415,0,0,0.069
"P09","A algún candidato del peronismo",0.081,0.379,0.359,0.148,0.349,0.152
"P09","Wado de Pedro",0.467,0.121,0.13,0.756,0.506,0.658
"P10","A Horacio Rodriguez Larreta",0.083,0.178,0,0.556,0,0.042
"P10","A Patricia Bullrich",0.414,0.714,0.923,0.444,0.973,0.924
"P10","A Facundo Manes",0.395,0.027,0,0,0,0.017
"P10","A Gerardo Morales",0.108,0.081,0.077,0,0.027,0.017
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.744,0.026,0.098,0.094,0.008,0.069
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.09,0.03,0.008,0.237,0.038,0.069
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.046,0.634,0.206,0.091,0.358,0.322
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.044,0.241,0.015,0.041,0.034,0.084
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.025,0.615,0.017,0.323,0.026
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.002,0.003,0.401,0,0.006
"P11","En blanco",0.001,0.011,0.006,0.03,0.181,0.045
"P11","No sabe",0.036,0.031,0.049,0.089,0.058,0.379
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.759,0.076,0.067,0.186,0.044,0.167
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.089,0.023,0,0.282,0.026,0.021
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.07,0.576,0.162,0.046,0.337,0.317
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.004,0.263,0.033,0.041,0.056,0.054
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.022,0.671,0,0.313,0.009
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0,0.008,0.38,0,0.027
"P13","En blanco",0.014,0.009,0.013,0,0.204,0.006
"P13","No sabe",0.045,0.031,0.046,0.065,0.02,0.399
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.738,0.098,0.045,0.292,0.038,0.202
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.07,0.031,0.025,0.117,0.114,0.024
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.098,0.6,0.189,0.075,0.304,0.392
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.009,0.226,0.035,0.193,0.037,0.019
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.019,0.659,0.017,0.317,0.004
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.001,0.014,0.241,0,0.007
"P15","En blanco",0.021,0.011,0,0,0.158,0.038
"P15","No sabe",0.029,0.014,0.033,0.065,0.032,0.314
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.769,0.048,0.031,0.017,0.026,0.084
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.063,0.089,0.05,0.066,0.032,0.07
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.076,0.581,0.146,0.096,0.313,0.385
