"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.213,0.193,0.232,0.179,0.213,0.25,0.21,0.232,0.212,0.195,0.412,0.075,0.131,0.177,0.206,0.256,0.241
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.089,0.089,0.089,0.075,0.116,0.074,0.065,0.078,0.078,0.116,0.164,0.033,0.07,0.095,0.074,0.062,0.094
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.254,0.227,0.188,0.213,0.282,0.319,0.24,0.232,0.25,0.094,0.401,0.232,0.228,0.223,0.207,0.261
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.131,0.125,0.138,0.101,0.136,0.129,0.166,0.127,0.125,0.145,0.078,0.199,0.15,0.131,0.121,0.163,0.132
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.167,0.198,0.137,0.272,0.164,0.115,0.101,0.157,0.183,0.155,0.098,0.209,0.207,0.177,0.215,0.119,0.145
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.018,0.027,0.031,0.026,0.013,0.016,0.011,0.025,0.031,0.027,0.004,0.041,0.029,0.006,0.033,0.022
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.018,0.036,0.037,0.03,0.024,0.014,0.029,0.032,0.02,0.02,0.022,0.044,0.049,0.02,0.023,0.013
"Otros",0.026,0.029,0.024,0.023,0.032,0.024,0.02,0.024,0.027,0.028,0.034,0.013,0.043,0.024,0.023,0.055,0.026
"En blanco",0.031,0.029,0.033,0.035,0.027,0.035,0.029,0.026,0.038,0.027,0.027,0.018,0.031,0.033,0.048,0.028,0.023
"No sabe",0.052,0.047,0.057,0.059,0.043,0.054,0.06,0.076,0.048,0.033,0.046,0.026,0.051,0.057,0.064,0.054,0.043
