"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.381,0.312,0.501,0.334
"P05","Bastante",0.362,0.341,0.329,0.292
"P05","Poco",0.207,0.298,0.135,0.277
"P05","Nada",0.036,0.039,0.031,0.08
"P05","No sabe",0.014,0.01,0.004,0.017
"P06","Siempre",0.268,0.247,0.286,0.257
"P06","Casi siempre",0.43,0.385,0.465,0.405
"P06","Casi nunca",0.223,0.267,0.191,0.225
"P06","Nunca, pero esta es una excepción",0.079,0.101,0.058,0.113
"P08","Unión por la Patria",0.144,0.147,0.649,0.425
"P08","Juntos por el Cambio",0.72,0.165,0.156,0.167
"P08","Liberales",0.066,0.532,0.019,0.021
"P08","Izquierda",0.012,0.022,0.07,0.027
"P08","Otro",0.018,0.066,0.046,0.093
"P08","No sabe",0.04,0.068,0.06,0.267
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.089,0.052,0.546,0.387
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.021,0.013,0.219,0.119
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.629,0.123,0.028,0.069
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.164,0.07,0.032,0.084
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.691,0.032,0.062
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.004,0.046,0.023
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.013,0.031,0.049
"P09","Otros",0.015,0.01,0.026,0.057
"P09","En blanco",0.004,0.006,0.031,0.014
"P09","No sabe",0.011,0.018,0.009,0.136
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.104,0.078,0.442,0.346
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.034,0.048,0.228,0.121
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.426,0.341,0.04,0.081
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.221,0.118,0.069,0.086
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.152,0.346,0.054,0.053
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.006,0.047,0.031
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.024,0.022,0.055
"P18","Otros",0.015,0.016,0.038,0.039
"P18","En blanco",0.009,0.015,0.047,0.023
