"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Unión por la Patria",0.264,0.277,0.252,0.22,0.268,0.298,0.273,0.247,0.244,0.309,0.462,0.154,0.147,0.255,0.204,0.277,0.293
"Juntos por el Cambio",0.333,0.31,0.354,0.248,0.285,0.398,0.484,0.293,0.338,0.37,0.216,0.559,0.259,0.346,0.322,0.343,0.325
"Liberales",0.152,0.195,0.112,0.22,0.178,0.1,0.063,0.155,0.155,0.146,0.079,0.175,0.27,0.154,0.16,0.135,0.151
"Izquierda",0.035,0.038,0.032,0.055,0.038,0.021,0.019,0.028,0.034,0.044,0.035,0.015,0.031,0.031,0.05,0.018,0.035
"Otro",0.06,0.063,0.057,0.07,0.067,0.047,0.044,0.072,0.062,0.043,0.057,0.033,0.11,0.06,0.078,0.049,0.053
"No sabe",0.156,0.117,0.193,0.187,0.164,0.136,0.117,0.205,0.167,0.088,0.151,0.064,0.183,0.154,0.186,0.178,0.143
