"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.723,0.782,0.679,0.615,0.75,0.82,0.723,0.745,0.701,0.735
"A veces",0.212,0.189,0.229,0.272,0.199,0.14,0.215,0.195,0.218,0.219
"No",0.065,0.029,0.092,0.113,0.051,0.04,0.062,0.06,0.081,0.046
