"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.677,0.701,0.657,0.584,0.687,0.735,0.673,0.61,0.618,0.813
"No",0.323,0.299,0.343,0.416,0.313,0.265,0.327,0.39,0.382,0.187
