"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Sputnik V",0.309,0.369,0.26,0.149,0.315,0.426,0.418,0.36,0.268,0.309
"Sinopharm",0.305,0.239,0.358,0.529,0.28,0.256,0.239,0.274,0.35,0.281
"AstraZeneca",0.333,0.331,0.335,0.243,0.357,0.263,0.25,0.279,0.346,0.368
"Johnson",0.004,0.004,0.004,0,0.004,0.011,0.013,0.008,0.003,0.003
"Phizer",0.011,0.009,0.012,0.032,0.009,0,0,0.033,0,0.003
"Moderna",0.008,0.009,0.008,0.032,0.002,0.036,0,0.007,0.01,0.007
"Otra",0.03,0.039,0.023,0.015,0.033,0.008,0.08,0.039,0.023,0.029
