"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.93,0.912,0.944,0.924,0.936,0.971,0.715,0.89,0.952,0.938
"No",0.07,0.088,0.056,0.076,0.064,0.029,0.285,0.11,0.048,0.062
