"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si, las conozco",0.816,0.831,0.804,0.716,0.851,0.878,0.699,0.837,0.777,0.858
"No, no las conozco",0.09,0.081,0.098,0.181,0.058,0.069,0.083,0.108,0.097,0.057
"Algunas",0.094,0.088,0.098,0.103,0.091,0.053,0.218,0.055,0.126,0.085
