"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.336,0.353,0.322,0.301,0.328,0.414,0.455,0.327,0.271,0.422
"No",0.664,0.647,0.678,0.699,0.672,0.586,0.545,0.673,0.729,0.578
