"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.532,0.552,0.517,0.421,0.541,0.65,0.47,0.541,0.479,0.591
"No",0.468,0.448,0.483,0.579,0.459,0.35,0.53,0.459,0.521,0.409
