"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.953,0.946,0.958,0.909,0.975,0.95,0.87,0.931,0.965,0.957
"No",0.047,0.054,0.042,0.091,0.025,0.05,0.13,0.069,0.035,0.043
