"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Si",0.511,0.513,0.51,0.565,0.513,0.345,0.842,0.488,0.457,0.596
"No",0.489,0.487,0.49,0.435,0.487,0.655,0.158,0.512,0.543,0.404
