"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.415,0.41,0.42,0.316,0.366,0.491,0.504,0.372,0.431,0.433,0.399,0.411,0.446,0.425,0.137,0.704,0.328
"Patricia Bullrich","Neutra",0.139,0.136,0.142,0.239,0.154,0.077,0.101,0.159,0.146,0.113,0.144,0.162,0.167,0.122,0.118,0.101,0.271
"Patricia Bullrich","Negativa",0.435,0.447,0.423,0.442,0.468,0.415,0.388,0.45,0.413,0.449,0.447,0.402,0.383,0.445,0.727,0.193,0.373
"Patricia Bullrich","No sabe",0.011,0.007,0.015,0.003,0.012,0.017,0.007,0.019,0.01,0.005,0.01,0.025,0.004,0.008,0.018,0.002,0.028
"Javier Milei","Positiva",0.356,0.428,0.284,0.456,0.382,0.294,0.289,0.357,0.396,0.306,0.374,0.445,0.347,0.309,0.14,0.448,0.381
"Javier Milei","Neutra",0.184,0.166,0.202,0.117,0.156,0.23,0.245,0.202,0.179,0.174,0.172,0.161,0.196,0.201,0.098,0.276,0.227
"Javier Milei","Negativa",0.441,0.395,0.487,0.42,0.444,0.447,0.448,0.401,0.41,0.514,0.433,0.376,0.452,0.47,0.737,0.264,0.38
"Javier Milei","No sabe",0.019,0.011,0.027,0.007,0.018,0.029,0.018,0.04,0.015,0.006,0.021,0.018,0.005,0.02,0.025,0.012,0.012
"Mauricio Macri","Positiva",0.343,0.319,0.367,0.264,0.291,0.393,0.459,0.339,0.336,0.356,0.352,0.352,0.22,0.35,0.125,0.617,0.15
"Mauricio Macri","Neutra",0.156,0.162,0.149,0.214,0.157,0.134,0.128,0.16,0.167,0.137,0.169,0.19,0.248,0.118,0.081,0.18,0.295
"Mauricio Macri","Negativa",0.494,0.512,0.477,0.515,0.547,0.463,0.407,0.493,0.49,0.501,0.472,0.455,0.503,0.526,0.791,0.201,0.549
"Mauricio Macri","No sabe",0.007,0.007,0.007,0.007,0.005,0.01,0.006,0.008,0.007,0.006,0.007,0.003,0.029,0.006,0.003,0.002,0.006
"Maria Eugenia Vidal","Positiva",0.318,0.294,0.344,0.204,0.284,0.36,0.445,0.335,0.295,0.332,0.296,0.408,0.278,0.311,0.119,0.539,0.276
"Maria Eugenia Vidal","Neutra",0.182,0.172,0.191,0.226,0.181,0.182,0.14,0.164,0.196,0.18,0.205,0.159,0.158,0.173,0.11,0.216,0.292
"Maria Eugenia Vidal","Negativa",0.488,0.524,0.452,0.567,0.517,0.446,0.41,0.482,0.495,0.484,0.486,0.411,0.562,0.508,0.758,0.243,0.398
"Maria Eugenia Vidal","No sabe",0.012,0.01,0.013,0.003,0.018,0.012,0.005,0.019,0.014,0.004,0.013,0.022,0.002,0.008,0.013,0.002,0.034
"Horacio Rodriguez Larreta","Positiva",0.298,0.269,0.326,0.164,0.248,0.335,0.477,0.325,0.283,0.295,0.281,0.346,0.284,0.297,0.082,0.516,0.322
"Horacio Rodriguez Larreta","Neutra",0.208,0.201,0.215,0.187,0.218,0.223,0.185,0.199,0.218,0.202,0.196,0.268,0.203,0.196,0.162,0.24,0.263
"Horacio Rodriguez Larreta","Negativa",0.483,0.522,0.445,0.649,0.516,0.432,0.33,0.457,0.491,0.495,0.511,0.374,0.487,0.499,0.741,0.24,0.41
"Horacio Rodriguez Larreta","No sabe",0.011,0.008,0.014,0,0.018,0.01,0.008,0.019,0.008,0.008,0.012,0.012,0.026,0.008,0.015,0.004,0.005
"CFK","Positiva",0.293,0.256,0.33,0.267,0.296,0.319,0.278,0.302,0.269,0.317,0.295,0.267,0.305,0.301,0.677,0.065,0.159
"CFK","Neutra",0.061,0.053,0.069,0.088,0.068,0.05,0.036,0.064,0.07,0.047,0.059,0.062,0.03,0.066,0.099,0.026,0.055
"CFK","Negativa",0.639,0.685,0.593,0.645,0.63,0.618,0.68,0.628,0.652,0.631,0.638,0.654,0.663,0.63,0.216,0.906,0.78
"CFK","No sabe",0.007,0.006,0.008,0,0.006,0.013,0.006,0.006,0.009,0.005,0.008,0.017,0.002,0.003,0.008,0.003,0.006
"Wado de Pedro","Positiva",0.274,0.274,0.275,0.28,0.274,0.263,0.284,0.271,0.261,0.293,0.299,0.233,0.322,0.261,0.529,0.111,0.193
