"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.524,0.447,0.4
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.173,0.306
"P04","No tengo trabajo",0.13,0.162,0.189
"P04","Soy jubilado o pensionado",0.178,0.218,0.105
"P05","1",0.175,0.368,0.355
"P05","2",0.064,0.098,0.094
"P05","3",0.033,0.087,0.059
"P05","4",0.051,0.116,0.071
"P05","5",0.154,0.197,0.189
"P05","6",0.078,0.03,0.026
"P05","7",0.158,0.03,0.039
"P05","8",0.106,0.023,0.031
"P05","9",0.181,0.051,0.136
"P06","1",0.372,0.138,0.244
"P06","2",0.097,0.032,0.065
"P06","3",0.089,0.033,0.041
"P06","4",0.067,0.036,0.057
"P06","5",0.172,0.19,0.193
"P06","6",0.043,0.065,0.042
"P06","7",0.043,0.113,0.045
"P06","8",0.02,0.1,0.033
"P06","9",0.097,0.293,0.28
"P07","1",0.623,0.201,0.296
"P07","2",0.041,0.032,0.03
"P07","3",0.041,0.037,0.031
"P07","4",0.02,0.029,0.022
"P07","5",0.071,0.139,0.094
"P07","6",0.027,0.037,0.025
"P07","7",0.017,0.054,0.025
"P07","8",0.008,0.061,0.048
"P07","9",0.152,0.41,0.429
"P09","Del Frente de Todos y el peronismo",0.836,0.027,0.251
"P09","De Juntos por el cambio",0.04,0.604,0.138
"P09","De los Liberales libertarios",0.047,0.301,0.278
"P09","De la Izquierda",0.025,0.004,0.053
"P09","No sabe",0.052,0.064,0.28
"P10","A Alberto Fernández",0.096,0.255,0.207
"P10","A Sergio Massa",0.231,0.147,0.229
"P10","A algún candidato del peronismo",0.141,0.553,0.272
"P10","A algún candidato del kirchnerismo",0.532,0.045,0.292
"P11","A Alberto Fernández",0.045,0.173,0.239
"P11","A Sergio Massa",0.12,0.199,0.179
"P11","A algún candidato del peronismo",0.109,0.473,0.168
"P11","A Cristina Fernández de Kirchner",0.726,0.155,0.414
"P12","A Horacio Rodriguez Larreta",0.246,0.229,0.415
"P12","A Patricia Bullrich",0.094,0.695,0.304
"P12","A Facundo Manes",0.494,0.032,0.164
"P12","A Gerardo Morales",0.166,0.044,0.117
"P13","Lo votaría",0.325,0.029,0.115
"P13","Puede que lo vote",0.389,0.102,0.18
"P13","Nunca lo votaría",0.137,0.843,0.539
"P13","No sabe",0.149,0.026,0.166
"P14","Lo votaría",0.233,0.006,0.107
"P14","Puede que lo vote",0.407,0.024,0.132
"P14","Nunca lo votaría",0.25,0.96,0.647
"P14","No sabe",0.11,0.01,0.114
"P15","Lo votaría",0.041,0.189,0.055
"P15","Puede que lo vote",0.101,0.361,0.146
"P15","Nunca lo votaría",0.82,0.412,0.682
"P15","No sabe",0.038,0.038,0.117
"P16","Lo votaría",0.055,0.097,0.06
"P16","Puede que lo vote",0.135,0.317,0.14
"P16","Nunca lo votaría",0.718,0.5,0.589
"P16","No sabe",0.092,0.086,0.211
"P17","La votaría",0.034,0.563,0.063
"P17","Puede que la vote",0.04,0.287,0.141
"P17","Nunca la votaría",0.888,0.122,0.671
"P17","No sabe",0.038,0.028,0.125
"P18","Lo votaría",0.055,0.349,0.322
"P18","Puede que lo vote",0.036,0.275,0.115
"P18","Nunca lo votaría",0.897,0.337,0.464
"P18","No sabe",0.012,0.039,0.099
"P19","La votaría",0.047,0.203,0.098
"P19","Puede que la vote",0.036,0.372,0.152
"P19","Nunca la votaría",0.879,0.369,0.623
"P19","No sabe",0.038,0.056,0.127
"P20","Lo votaría",0.386,0.028,0.028
"P20","Puede que lo vote",0.359,0.085,0.088
"P20","Nunca lo votaría",0.197,0.834,0.702
"P20","No sabe",0.058,0.053,0.182
"P21","Lo votaría",0.328,0.011,0.075
"P21","Puede que lo vote",0.455,0.031,0.151
"P21","Nunca lo votaría",0.152,0.944,0.665
"P21","No sabe",0.065,0.014,0.109
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.112,0.063
"P22","Patricia Bullrich por Juntos por el Cambio",0.004,0.538,0.053
"P22","Facundo Manes por Juntos por el Cambio",0.021,0.047,0.073
"P22","Alberto Fernández por el Frente de Todos",0.089,0.007,0.097
"P22","Sergio Massa por el Frente de Todos",0.175,0.004,0.093
"P22","Wado de Pedro por el Frente de Todos",0.399,0.007,0.025
"P22","Daniel Scioli por el Frente de Todos",0.191,0.004,0.062
"P22","Javier Milei por los liberales libertarios",0.026,0.252,0.34
"P22","Al candidato del Frente de Izquierda",0.032,0.003,0.039
"P22","No sabe",0.046,0.026,0.155
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.098,0.062
"P23","Patricia Bullrich por Juntos por el Cambio",0.007,0.509,0.044
"P23","María Eugenia Vidal por Juntos por el Cambio",0.009,0.072,0.037
"P23","Facundo Manes por Juntos por el Cambio",0.032,0.037,0.071
"P23","Sergio Massa por el Frente de Todos",0.213,0.004,0.137
"P23","Wado de Pedro por el Frente de Todos",0.43,0.009,0.022
"P23","Daniel Scioli por el Frente de Todos",0.207,0.003,0.064
"P23","Javier Milei por los liberales libertarios",0.028,0.246,0.344
"P23","Al candidato del Frente de Izquierda",0.028,0.002,0.044
"P23","No sabe",0.032,0.02,0.175
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.102,0.05
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.513,0.054
"P24","María Eugenia Vidal por Juntos por el Cambio",0.011,0.075,0.028
"P24","Facundo Manes por Juntos por el Cambio",0.037,0.032,0.071
"P24","Sergio Massa por el Frente de Todos",0.244,0.002,0.11
"P24","Wado de Pedro por el Frente de Todos",0.473,0.003,0.021
"P24","Alberto Fernández por el Frente de Todos",0.136,0.006,0.122
"P24","Javier Milei por los liberales libertarios",0.023,0.248,0.352
"P24","Al candidato del Frente de Izquierda",0.022,0.003,0.039
"P24","No sabe",0.033,0.016,0.153
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.103,0.067
"P25","Patricia Bullrich por Juntos por el Cambio",0.007,0.453,0.036
"P25","Facundo Manes por Juntos por el Cambio",0.017,0.13,0.068
"P25","Sergio Massa por el Frente de Todos",0.204,0.007,0.127
"P25","Wado de Pedro por el Frente de Todos",0.428,0.008,0.028
"P25","Daniel Scioli por el Frente de Todos",0.254,0.004,0.086
"P25","Javier Milei por los liberales libertario",0.027,0.161,0.219
"P25","Al candidato del Frente de Izquierda",0.019,0.114,0.209
"P25","No sabe",0.026,0.02,0.16
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.153,0.064
"P26","Patricia Bulrich por Juntos por el Cambio",0.027,0.518,0.054
"P26","Alberto Fernández por el Frente de Todos",0.179,0.008,0.128
"P26","Sergio Massa por el Frente de Todos",0.508,0.004,0.112
"P26","Javier Milei por los liberales libertarios",0.045,0.261,0.336
"P26","Al candidato del Frente de Izquierda",0.111,0.014,0.077
"P26","No sabe",0.115,0.042,0.229
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.136,0.084
"P27","Patricia Bullrich por Juntos por el Cambio",0.024,0.545,0.054
"P27","Wado de Pedro por el Frente de Todos",0.466,0.011,0.038
"P27","Sergio Massa por el Frente de Todos",0.344,0.006,0.168
"P27","Javier Milei por los liberales libertarios",0.043,0.274,0.356
"P27","Al candidato del Frente de Izquierda",0.055,0.006,0.071
"P27","No sabe",0.047,0.022,0.229
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.138,0.087
"P28","Patricia Bullrich por Juntos por el Cambio",0.014,0.553,0.058
"P28","Wado de Pedro por el Frente de Todos",0.506,0.004,0.029
"P28","Daniel Scioli por el Frente de Todos",0.329,0.004,0.154
"P28","Javier Milei por los liberales libertarios",0.044,0.275,0.372
"P28","Al candidato del Frente de Izquierda",0.045,0.005,0.067
"P28","No sabe",0.042,0.021,0.233
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.015,0.216,0.099
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.009,0.46,0.038
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.309,0.01,0.158
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.528,0.007,0.062
"P29","Javier Milei presidente y su candidato a vice",0.039,0.272,0.362
"P29","A los candidatos de la izquierda",0.046,0.004,0.047
"P29","No sabe",0.054,0.031,0.234
"P30","Alberto Fernández por el Frente de Todos",0.661,0.02,0.17
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.408,0.103
"P30","Javier Milei por los liberales libertarios",0.05,0.41,0.382
"P30","Al candidato del Frente de Izquierda",0.091,0.013,0.078
"P30","No sabe",0.171,0.149,0.267
"P31","Sergio Massa por el Frente de Todos",0.726,0.013,0.151
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.433,0.101
"P31","Javier Milei por los liberales libertarios",0.035,0.427,0.39
"P31","Al candidato del Frente de Izquierda",0.096,0.01,0.078
"P31","No sabe",0.119,0.117,0.28
"P32","Wado de Pedro por el Frente de Todos",0.843,0.005,0.061
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.455,0.125
"P32","Javier Milei por los liberales libertarios",0.042,0.422,0.371
"P32","Al candidato del Frente de Izquierda",0.045,0.009,0.074
"P32","No sabe",0.056,0.109,0.369
"P33","Daniel Scioli por el Frente de Todos",0.759,0.011,0.138
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.466,0.109
"P33","Javier Milei por los liberales libertarios",0.037,0.415,0.372
"P33","Al candidato del Frente de Izquierda",0.084,0.007,0.074
"P33","No sabe",0.1,0.101,0.307
"P34","Sergio Massa por el Frente de Todos",0.739,0.009,0.176
"P34","Patricia Bullrich por Juntos por el Cambio",0.019,0.669,0.065
"P34","Javier Milei por los liberales libertarios",0.037,0.285,0.382
"P34","Al candidato del Frente de Izquierda",0.098,0.007,0.074
"P34","No sabe",0.107,0.03,0.303
"P35","Alberto Fernández por el Frente de Todos",0.706,0.005,0.189
"P35","Patricia Bullrich por Juntos por el Cambio",0.01,0.683,0.061
"P35","Javier Milei por los liberales libertarios",0.046,0.276,0.382
"P35","Al candidato del Frente de Izquierda",0.113,0.01,0.072
"P35","No sabe",0.125,0.026,0.296
"P36","Wado de Pedro por el Frente de Todos",0.828,0.006,0.031
"P36","Patricia Bullrich por Juntos por el Cambio",0.014,0.689,0.065
"P36","Javier Milei por los liberales libertarios",0.051,0.272,0.387
"P36","Al candidato del Frente de Izquierda",0.05,0.013,0.088
"P36","No sabe",0.057,0.02,0.429
"P37","Daniel Scioli por el Frente de Todos",0.768,0.007,0.138
"P37","Patricia Bullrich por Juntos por el Cambio",0.02,0.69,0.055
"P37","Javier Milei por los liberales libertarios",0.045,0.274,0.391
"P37","Al candidato del Frente de Izquierda",0.077,0.008,0.086
"P37","No sabe",0.09,0.021,0.33
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.122,0.365,0.094
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.582,0.109,0.181
"P38","Javier Milei presidente y su candidato a vice",0.051,0.391,0.378
"P38","A los candidatos de la izquierda",0.106,0.008,0.071
"P38","No sabe",0.139,0.127,0.276
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.033,0.618,0.041
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.672,0.029,0.152
