"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.5,0.416,0.477,0.446,0.394
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.16,0.268,0.218,0.189
"P04","No tengo trabajo",0.153,0.145,0.168,0.181,0.212
"P04","Soy jubilado o pensionado",0.182,0.279,0.087,0.155,0.205
"P05","1",0.203,0.36,0.403,0.207,0.28
"P05","2",0.062,0.083,0.108,0.07,0.074
"P05","3",0.036,0.069,0.088,0.027,0.057
"P05","4",0.049,0.112,0.082,0.069,0.079
"P05","5",0.151,0.193,0.172,0.154,0.23
"P05","6",0.074,0.051,0.021,0.026,0.042
"P05","7",0.151,0.043,0.02,0.109,0.05
"P05","8",0.081,0.018,0.022,0.084,0.045
"P05","9",0.193,0.071,0.084,0.254,0.143
"P06","1",0.399,0.182,0.141,0.298,0.297
"P06","2",0.086,0.035,0.045,0.112,0.043
"P06","3",0.084,0.033,0.032,0.082,0.051
"P06","4",0.066,0.038,0.036,0.041,0.045
"P06","5",0.17,0.224,0.158,0.147,0.258
"P06","6",0.038,0.075,0.049,0.019,0.026
"P06","7",0.037,0.098,0.088,0.025,0.063
"P06","8",0.02,0.082,0.083,0.051,0.042
"P06","9",0.1,0.233,0.368,0.225,0.175
"P07","1",0.601,0.226,0.203,0.518,0.355
"P07","2",0.034,0.038,0.02,0.06,0.023
"P07","3",0.035,0.035,0.036,0.031,0.029
"P07","4",0.027,0.034,0.017,0.005,0.025
"P07","5",0.068,0.138,0.14,0.095,0.126
"P07","6",0.016,0.025,0.042,0.029,0.026
"P07","7",0.023,0.052,0.045,0.009,0.027
"P07","8",0.011,0.043,0.063,0.014,0.038
"P07","9",0.185,0.409,0.434,0.239,0.351
"P09","Del Frente de Todos y el peronismo",0.853,0.059,0.045,0.353,0.327
"P09","De Juntos por el cambio",0.043,0.829,0.196,0.079,0.284
"P09","De los Liberales libertarios",0.016,0.034,0.658,0.121,0.052
"P09","De la Izquierda",0.006,0.008,0.021,0.329,0.018
"P09","No sabe",0.082,0.07,0.08,0.118,0.319
"P10","A Alberto Fernández",0.126,0.217,0.247,0.061,0.19
"P10","A Sergio Massa",0.27,0.174,0.282,0.085,0.1
"P10","A algún candidato del peronismo",0.143,0.494,0.345,0.165,0.219
"P10","A algún candidato del kirchnerismo",0.461,0.115,0.126,0.689,0.491
"P11","A Alberto Fernández",0.08,0.177,0.277,0.071,0.171
"P11","A Sergio Massa",0.163,0.151,0.287,0.032,0.058
"P11","A algún candidato del peronismo",0.107,0.516,0.201,0.082,0.15
"P11","A Cristina Fernández de Kirchner",0.65,0.156,0.235,0.815,0.621
"P12","A Horacio Rodriguez Larreta",0.281,0.348,0.136,0.149,0.115
"P12","A Patricia Bullrich",0.162,0.536,0.778,0.485,0.746
"P12","A Facundo Manes",0.338,0.051,0.076,0.123,0.052
"P12","A Gerardo Morales",0.219,0.065,0.01,0.243,0.087
"P13","Lo votaría",0.385,0.064,0.027,0.079,0.072
"P13","Puede que lo vote",0.434,0.113,0.09,0.199,0.168
"P13","Nunca lo votaría",0.067,0.787,0.828,0.475,0.528
"P13","No sabe",0.114,0.036,0.055,0.247,0.232
"P14","Lo votaría",0.27,0.011,0.028,0.132,0.081
"P14","Puede que lo vote",0.404,0.04,0.037,0.181,0.129
"P14","Nunca lo votaría",0.219,0.934,0.908,0.562,0.604
"P14","No sabe",0.107,0.015,0.027,0.125,0.186
"P15","Lo votaría",0.035,0.391,0.03,0.083,0.03
"P15","Puede que lo vote",0.102,0.423,0.223,0.101,0.182
