"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.505,0.455,0.415
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.173,0.287
"P04","No tengo trabajo",0.15,0.157,0.171
"P04","Soy jubilado o pensionado",0.168,0.215,0.127
"P05","1",0.187,0.378,0.325
"P05","2",0.069,0.102,0.08
"P05","3",0.034,0.084,0.058
"P05","4",0.045,0.116,0.076
"P05","5",0.161,0.19,0.193
"P05","6",0.07,0.03,0.033
"P05","7",0.148,0.03,0.047
"P05","8",0.104,0.022,0.031
"P05","9",0.182,0.048,0.157
"P06","1",0.371,0.141,0.252
"P06","2",0.102,0.031,0.057
"P06","3",0.077,0.03,0.065
"P06","4",0.067,0.036,0.058
"P06","5",0.179,0.187,0.185
"P06","6",0.041,0.064,0.041
"P06","7",0.044,0.108,0.047
"P06","8",0.017,0.097,0.044
"P06","9",0.102,0.306,0.251
"P07","1",0.602,0.188,0.342
"P07","2",0.034,0.031,0.038
"P07","3",0.036,0.035,0.036
"P07","4",0.023,0.029,0.018
"P07","5",0.074,0.134,0.103
"P07","6",0.024,0.038,0.025
"P07","7",0.025,0.049,0.025
"P07","8",0.01,0.059,0.045
"P07","9",0.172,0.437,0.368
"P09","Del Frente de Todos y el peronismo",0.832,0.029,0.242
"P09","De Juntos por el cambio",0.04,0.604,0.13
"P09","De los Liberales libertarios",0.035,0.3,0.3
"P09","De la Izquierda",0.02,0.003,0.066
"P09","No sabe",0.073,0.064,0.262
"P10","A Alberto Fernández",0.123,0.206,0.109
"P10","A Sergio Massa",0.237,0.19,0.189
"P10","A algún candidato del peronismo",0.154,0.583,0.197
"P10","A algún candidato del kirchnerismo",0.486,0.021,0.505
"P11","A Alberto Fernández",0.086,0.149,0.093
"P11","A Sergio Massa",0.131,0.174,0.135
"P11","A algún candidato del peronismo",0.119,0.52,0.095
"P11","A Cristina Fernández de Kirchner",0.664,0.157,0.677
"P12","A Horacio Rodriguez Larreta",0.264,0.227,0.512
"P12","A Patricia Bullrich",0.057,0.7,0.14
"P12","A Facundo Manes",0.411,0.027,0.254
"P12","A Gerardo Morales",0.268,0.046,0.094
"P13","Lo votaría",0.332,0.025,0.12
"P13","Puede que lo vote",0.396,0.101,0.167
"P13","Nunca lo votaría",0.114,0.848,0.557
"P13","No sabe",0.158,0.026,0.156
"P14","Lo votaría",0.278,0.004,0.047
"P14","Puede que lo vote",0.437,0.019,0.101
"P14","Nunca lo votaría",0.169,0.97,0.729
"P14","No sabe",0.116,0.007,0.123
"P15","Lo votaría",0.041,0.189,0.057
"P15","Puede que lo vote",0.116,0.353,0.145
"P15","Nunca lo votaría",0.787,0.42,0.692
"P15","No sabe",0.056,0.038,0.106
"P16","Lo votaría",0.043,0.098,0.077
"P16","Puede que lo vote",0.127,0.308,0.159
"P16","Nunca lo votaría",0.71,0.506,0.581
"P16","No sabe",0.12,0.088,0.183
"P17","La votaría",0.029,0.568,0.048
"P17","Puede que la vote",0.039,0.279,0.149
"P17","Nunca la votaría",0.877,0.123,0.699
"P17","No sabe",0.055,0.03,0.104
"P18","Lo votaría",0.052,0.359,0.308
"P18","Puede que lo vote",0.04,0.268,0.124
"P18","Nunca lo votaría",0.875,0.333,0.495
"P18","No sabe",0.033,0.04,0.073
"P19","La votaría",0.04,0.21,0.099
"P19","Puede que la vote",0.049,0.365,0.143
"P19","Nunca la votaría",0.849,0.369,0.662
"P19","No sabe",0.062,0.056,0.096
"P20","Lo votaría",0.336,0.031,0.083
"P20","Puede que lo vote",0.311,0.074,0.164
"P20","Nunca lo votaría",0.266,0.841,0.593
"P20","No sabe",0.087,0.054,0.16
"P21","Lo votaría",0.319,0.013,0.077
"P21","Puede que lo vote",0.455,0.023,0.166
"P21","Nunca lo votaría",0.161,0.949,0.648
"P21","No sabe",0.065,0.015,0.109
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.107,0.078
"P22","Patricia Bullrich por Juntos por el Cambio",0.009,0.542,0.024
"P22","Facundo Manes por Juntos por el Cambio",0.019,0.043,0.089
"P22","Alberto Fernández por el Frente de Todos",0.153,0.005,0.026
"P22","Sergio Massa por el Frente de Todos",0.187,0.004,0.077
"P22","Wado de Pedro por el Frente de Todos",0.33,0.008,0.104
"P22","Daniel Scioli por el Frente de Todos",0.178,0.002,0.077
"P22","Javier Milei por los liberales libertarios",0.018,0.264,0.327
"P22","Al candidato del Frente de Izquierda",0.028,0.003,0.046
"P22","No sabe",0.065,0.022,0.152
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.092,0.065
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.513,0.02
"P23","María Eugenia Vidal por Juntos por el Cambio",0.014,0.071,0.037
"P23","Facundo Manes por Juntos por el Cambio",0.037,0.037,0.068
"P23","Sergio Massa por el Frente de Todos",0.242,0.005,0.1
"P23","Wado de Pedro por el Frente de Todos",0.355,0.007,0.119
"P23","Daniel Scioli por el Frente de Todos",0.199,0.004,0.066
"P23","Javier Milei por los liberales libertarios",0.027,0.253,0.338
"P23","Al candidato del Frente de Izquierda",0.03,0.002,0.042
"P23","No sabe",0.069,0.016,0.145
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.095,0.058
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.519,0.025
"P24","María Eugenia Vidal por Juntos por el Cambio",0.013,0.072,0.036
"P24","Facundo Manes por Juntos por el Cambio",0.03,0.035,0.079
"P24","Sergio Massa por el Frente de Todos",0.256,0.001,0.096
"P24","Wado de Pedro por el Frente de Todos",0.389,0.005,0.12
"P24","Alberto Fernández por el Frente de Todos",0.197,0.004,0.051
"P24","Javier Milei por los liberales libertarios",0.021,0.257,0.344
"P24","Al candidato del Frente de Izquierda",0.019,0.002,0.044
"P24","No sabe",0.053,0.01,0.147
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.102,0.069
"P25","Patricia Bullrich por Juntos por el Cambio",0.009,0.451,0.024
"P25","Facundo Manes por Juntos por el Cambio",0.012,0.136,0.062
"P25","Sergio Massa por el Frente de Todos",0.235,0.008,0.088
"P25","Wado de Pedro por el Frente de Todos",0.367,0.008,0.097
"P25","Daniel Scioli por el Frente de Todos",0.251,0.003,0.089
"P25","Javier Milei por los liberales libertario",0.033,0.157,0.219
"P25","Al candidato del Frente de Izquierda",0.022,0.121,0.199
"P25","No sabe",0.051,0.014,0.153
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.142,0.089
"P26","Patricia Bulrich por Juntos por el Cambio",0.026,0.524,0.028
"P26","Alberto Fernández por el Frente de Todos",0.249,0.004,0.05
"P26","Sergio Massa por el Frente de Todos",0.486,0.005,0.133
"P26","Javier Milei por los liberales libertarios",0.041,0.265,0.344
"P26","Al candidato del Frente de Izquierda",0.085,0.012,0.114
"P26","No sabe",0.099,0.048,0.242
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.129,0.099
"P27","Patricia Bullrich por Juntos por el Cambio",0.015,0.552,0.031
"P27","Wado de Pedro por el Frente de Todos",0.407,0.009,0.113
"P27","Sergio Massa por el Frente de Todos",0.378,0.005,0.128
"P27","Javier Milei por los liberales libertarios",0.049,0.28,0.345
"P27","Al candidato del Frente de Izquierda",0.05,0.002,0.085
"P27","No sabe",0.079,0.023,0.199
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.133,0.1
"P28","Patricia Bullrich por Juntos por el Cambio",0.014,0.552,0.041
"P28","Wado de Pedro por el Frente de Todos",0.429,0.007,0.116
