"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.499,0.445,0.446
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.172,0.256
"P04","No tengo trabajo",0.158,0.161,0.156
"P04","Soy jubilado o pensionado",0.168,0.222,0.142
"P05","1",0.203,0.361,0.35
"P05","2",0.066,0.097,0.093
"P05","3",0.039,0.081,0.062
"P05","4",0.052,0.11,0.09
"P05","5",0.149,0.213,0.173
"P05","6",0.068,0.036,0.03
"P05","7",0.142,0.032,0.044
"P05","8",0.106,0.018,0.031
"P05","9",0.175,0.052,0.127
"P06","1",0.368,0.146,0.223
"P06","2",0.103,0.036,0.041
"P06","3",0.073,0.033,0.053
"P06","4",0.064,0.042,0.045
"P06","5",0.176,0.217,0.157
"P06","6",0.04,0.072,0.042
"P06","7",0.047,0.104,0.069
"P06","8",0.021,0.087,0.065
"P06","9",0.108,0.263,0.305
"P07","1",0.589,0.216,0.285
"P07","2",0.04,0.034,0.023
"P07","3",0.034,0.038,0.033
"P07","4",0.021,0.033,0.017
"P07","5",0.075,0.145,0.099
"P07","6",0.025,0.034,0.032
"P07","7",0.027,0.051,0.031
"P07","8",0.008,0.057,0.056
"P07","9",0.181,0.392,0.424
"P09","Del Frente de Todos y el peronismo",0.816,0.037,0.192
"P09","De Juntos por el cambio",0.057,0.678,0.169
"P09","De los Liberales libertarios",0.044,0.205,0.398
"P09","De la Izquierda",0.018,0.008,0.044
"P09","No sabe",0.065,0.072,0.197
"P10","A Alberto Fernández",0.128,0.106,0.118
"P10","A Sergio Massa",0.218,0.279,0.229
"P10","A algún candidato del peronismo",0.151,0.562,0.195
"P10","A algún candidato del kirchnerismo",0.503,0.053,0.458
"P11","A Alberto Fernández",0.092,0.136,0.079
"P11","A Sergio Massa",0.123,0.224,0.134
"P11","A algún candidato del peronismo",0.105,0.56,0.115
"P11","A Cristina Fernández de Kirchner",0.68,0.08,0.672
"P12","A Horacio Rodriguez Larreta",0.267,0.289,0.125
"P12","A Patricia Bullrich",0.374,0.614,0.724
"P12","A Facundo Manes",0.225,0.043,0.101
"P12","A Gerardo Morales",0.134,0.054,0.05
"P13","Lo votaría",0.326,0.047,0.071
"P13","Puede que lo vote",0.396,0.116,0.138
"P13","Nunca lo votaría",0.123,0.809,0.671
"P13","No sabe",0.155,0.028,0.12
"P14","Lo votaría",0.28,0.015,0.028
"P14","Puede que lo vote",0.434,0.031,0.066
"P14","Nunca lo votaría",0.18,0.948,0.81
"P14","No sabe",0.106,0.006,0.096
"P15","Lo votaría",0.043,0.26,0.015
"P15","Puede que lo vote",0.112,0.437,0.106
"P15","Nunca lo votaría",0.784,0.265,0.799
"P15","No sabe",0.061,0.038,0.08
"P16","Lo votaría",0.044,0.133,0.041
"P16","Puede que lo vote",0.141,0.346,0.15
"P16","Nunca lo votaría",0.694,0.423,0.674
"P16","No sabe",0.121,0.098,0.135
"P17","La votaría",0.044,0.555,0.207
"P17","Puede que la vote",0.054,0.232,0.226
"P17","Nunca la votaría",0.84,0.181,0.499
"P17","No sabe",0.062,0.032,0.068
"P18","Lo votaría",0.056,0.284,0.408
"P18","Puede que lo vote",0.047,0.274,0.146
"P18","Nunca lo votaría",0.863,0.398,0.391
"P18","No sabe",0.034,0.044,0.055
"P19","La votaría",0.045,0.233,0.102
"P19","Puede que la vote",0.068,0.391,0.157
"P19","Nunca la votaría",0.827,0.313,0.666
"P19","No sabe",0.06,0.063,0.075
"P20","Lo votaría",0.334,0.045,0.063
"P20","Puede que lo vote",0.292,0.097,0.127
"P20","Nunca lo votaría",0.285,0.794,0.702
"P20","No sabe",0.089,0.064,0.108
"P21","Lo votaría",0.314,0.029,0.046
"P21","Puede que lo vote",0.439,0.039,0.13
"P21","Nunca lo votaría",0.183,0.921,0.74
"P21","No sabe",0.064,0.011,0.084
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.176,0.006
"P22","Patricia Bullrich por Juntos por el Cambio",0.025,0.518,0.196
"P22","Facundo Manes por Juntos por el Cambio",0.019,0.068,0.046
"P22","Alberto Fernández por el Frente de Todos",0.148,0.008,0.02
"P22","Sergio Massa por el Frente de Todos",0.184,0.013,0.049
"P22","Wado de Pedro por el Frente de Todos",0.322,0.008,0.087
"P22","Daniel Scioli por el Frente de Todos",0.173,0.008,0.056
"P22","Javier Milei por los liberales libertarios",0.032,0.167,0.405
"P22","Al candidato del Frente de Izquierda",0.029,0.005,0.029
"P22","No sabe",0.057,0.029,0.106
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.15,0.005
"P23","Patricia Bullrich por Juntos por el Cambio",0.017,0.49,0.187
"P23","María Eugenia Vidal por Juntos por el Cambio",0.015,0.089,0.03
"P23","Facundo Manes por Juntos por el Cambio",0.036,0.059,0.029
"P23","Sergio Massa por el Frente de Todos",0.24,0.014,0.065
"P23","Wado de Pedro por el Frente de Todos",0.354,0.007,0.09
"P23","Daniel Scioli por el Frente de Todos",0.191,0.007,0.055
"P23","Javier Milei por los liberales libertarios",0.036,0.154,0.416
"P23","Al candidato del Frente de Izquierda",0.029,0.007,0.026
"P23","No sabe",0.064,0.023,0.097
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.154,0.003
"P24","Patricia Bullrich por Juntos por el Cambio",0.022,0.486,0.197
"P24","María Eugenia Vidal por Juntos por el Cambio",0.013,0.092,0.023
"P24","Facundo Manes por Juntos por el Cambio",0.029,0.056,0.041
"P24","Sergio Massa por el Frente de Todos",0.244,0.013,0.065
"P24","Wado de Pedro por el Frente de Todos",0.379,0.009,0.095
"P24","Alberto Fernández por el Frente de Todos",0.206,0.004,0.032
"P24","Javier Milei por los liberales libertarios",0.032,0.164,0.415
"P24","Al candidato del Frente de Izquierda",0.02,0.003,0.031
"P24","No sabe",0.044,0.019,0.098
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.152,0.019
"P25","Patricia Bullrich por Juntos por el Cambio",0.023,0.43,0.161
"P25","Facundo Manes por Juntos por el Cambio",0.013,0.145,0.075
"P25","Sergio Massa por el Frente de Todos",0.235,0.014,0.057
"P25","Wado de Pedro por el Frente de Todos",0.369,0.007,0.075
"P25","Daniel Scioli por el Frente de Todos",0.227,0.015,0.07
"P25","Javier Milei por los liberales libertario",0.038,0.131,0.223
"P25","Al candidato del Frente de Izquierda",0.022,0.079,0.226
"P25","No sabe",0.049,0.027,0.094
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.222,0.015
"P26","Patricia Bulrich por Juntos por el Cambio",0.04,0.501,0.19
"P26","Alberto Fernández por el Frente de Todos",0.25,0.006,0.039
"P26","Sergio Massa por el Frente de Todos",0.481,0.018,0.091
"P26","Javier Milei por los liberales libertarios",0.047,0.181,0.414
"P26","Al candidato del Frente de Izquierda",0.079,0.021,0.074
"P26","No sabe",0.092,0.051,0.177
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.216,0.007
"P27","Patricia Bullrich por Juntos por el Cambio",0.042,0.529,0.191
