"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Sergio Massa por el Frente de Todos",0.236,0.212,0.26,0.219,0.236,0.257,0.226,0.234,0.229,0.246,0.237,0.172,0.278,0.253,0.524,0.054,0.127
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.24,0.198,0.282,0.112,0.199,0.295,0.395,0.222,0.225,0.277,0.239,0.251,0.191,0.245,0.064,0.451,0.235
"Javier Milei por los liberales libertarios",0.305,0.4,0.212,0.479,0.336,0.222,0.162,0.294,0.338,0.273,0.326,0.361,0.292,0.269,0.13,0.356,0.392
"Al candidato del Frente de Izquierda",0.051,0.053,0.049,0.069,0.06,0.032,0.039,0.056,0.045,0.055,0.062,0.038,0.055,0.046,0.064,0.021,0.078
"No sabe",0.168,0.137,0.197,0.121,0.169,0.194,0.178,0.194,0.163,0.149,0.136,0.178,0.184,0.187,0.218,0.118,0.168
