"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.17,0.026,0.113,0.074
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.503,0.108,0.042,0.125
"P25","Facundo Manes por Juntos por el Cambio",0.019,0.163,0.043,0.064,0.061
"P25","Sergio Massa por el Frente de Todos",0.221,0.014,0.016,0.052,0.106
"P25","Wado de Pedro por el Frente de Todos",0.344,0.012,0.014,0.092,0.049
"P25","Daniel Scioli por el Frente de Todos",0.233,0.014,0.012,0.048,0.093
"P25","Javier Milei por los liberales libertario",0.033,0.067,0.308,0.089,0.094
"P25","Al candidato del Frente de Izquierda",0.015,0.025,0.456,0.232,0.106
"P25","No sabe",0.09,0.032,0.017,0.268,0.292
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.23,0.025,0.053,0.092
"P26","Patricia Bulrich por Juntos por el Cambio",0.047,0.582,0.118,0.064,0.138
"P26","Alberto Fernández por el Frente de Todos",0.231,0.025,0.024,0.111,0.112
"P26","Sergio Massa por el Frente de Todos",0.416,0.019,0.024,0.073,0.117
"P26","Javier Milei por los liberales libertarios",0.055,0.071,0.732,0.134,0.14
"P26","Al candidato del Frente de Izquierda",0.078,0.021,0.023,0.492,0.028
"P26","No sabe",0.143,0.052,0.054,0.073,0.373
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.231,0.029,0.046,0.101
"P27","Patricia Bullrich por Juntos por el Cambio",0.028,0.622,0.111,0.064,0.144
"P27","Wado de Pedro por el Frente de Todos",0.378,0.015,0.017,0.085,0.069
"P27","Sergio Massa por el Frente de Todos",0.354,0.018,0.03,0.073,0.159
"P27","Javier Milei por los liberales libertarios",0.048,0.059,0.776,0.145,0.171
"P27","Al candidato del Frente de Izquierda",0.047,0.005,0.015,0.481,0.028
"P27","No sabe",0.117,0.05,0.022,0.106,0.328
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.226,0.03,0.05,0.108
"P28","Patricia Bullrich por Juntos por el Cambio",0.031,0.631,0.101,0.087,0.151
