"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.516,0.441,0.431
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.171,0.257
"P04","No tengo trabajo",0.135,0.156,0.187
"P04","Soy jubilado o pensionado",0.178,0.232,0.125
"P05","1",0.202,0.37,0.351
"P05","2",0.068,0.096,0.094
"P05","3",0.04,0.082,0.063
"P05","4",0.058,0.104,0.095
"P05","5",0.159,0.209,0.173
"P05","6",0.071,0.037,0.024
"P05","7",0.142,0.033,0.037
"P05","8",0.092,0.02,0.035
"P05","9",0.168,0.049,0.128
"P06","1",0.355,0.15,0.213
"P06","2",0.102,0.037,0.038
"P06","3",0.078,0.036,0.043
"P06","4",0.073,0.035,0.046
"P06","5",0.186,0.213,0.161
"P06","6",0.042,0.075,0.039
"P06","7",0.044,0.104,0.075
"P06","8",0.017,0.09,0.068
"P06","9",0.103,0.26,0.317
"P07","1",0.595,0.209,0.264
"P07","2",0.035,0.039,0.021
"P07","3",0.034,0.038,0.034
"P07","4",0.025,0.031,0.017
"P07","5",0.079,0.142,0.105
"P07","6",0.02,0.035,0.035
"P07","7",0.023,0.049,0.041
"P07","8",0.013,0.055,0.056
"P07","9",0.176,0.402,0.427
"P09","Del Frente de Todos y el peronismo",0.812,0.037,0.149
"P09","De Juntos por el cambio",0.063,0.697,0.192
"P09","De los Liberales libertarios",0.031,0.189,0.427
"P09","De la Izquierda",0.019,0.009,0.04
"P09","No sabe",0.075,0.068,0.192
"P10","A Alberto Fernández",0.108,0.196,0.203
"P10","A Sergio Massa",0.257,0.08,0.085
"P10","A algún candidato del peronismo",0.149,0.639,0.223
"P10","A algún candidato del kirchnerismo",0.486,0.085,0.489
"P11","A Alberto Fernández",0.07,0.273,0.156
"P11","A Sergio Massa",0.149,0.101,0.043
"P11","A algún candidato del peronismo",0.103,0.567,0.159
"P11","A Cristina Fernández de Kirchner",0.678,0.059,0.642
"P12","A Horacio Rodriguez Larreta",0.165,0.29,0.195
"P12","A Patricia Bullrich",0.449,0.62,0.657
"P12","A Facundo Manes",0.261,0.04,0.086
"P12","A Gerardo Morales",0.125,0.05,0.062
"P13","Lo votaría",0.354,0.042,0.036
"P13","Puede que lo vote",0.419,0.11,0.11
"P13","Nunca lo votaría",0.102,0.819,0.715
"P13","No sabe",0.125,0.029,0.139
"P14","Lo votaría",0.242,0.014,0.053
"P14","Puede que lo vote",0.406,0.035,0.062
"P14","Nunca lo votaría",0.247,0.943,0.798
"P14","No sabe",0.105,0.008,0.087
"P15","Lo votaría",0.037,0.276,0.023
"P15","Puede que lo vote",0.111,0.444,0.127
"P15","Nunca lo votaría",0.814,0.247,0.746
"P15","No sabe",0.038,0.033,0.104
"P16","Lo votaría",0.042,0.139,0.043
"P16","Puede que lo vote",0.151,0.355,0.148
"P16","Nunca lo votaría",0.688,0.412,0.669
"P16","No sabe",0.119,0.094,0.14
"P17","La votaría",0.047,0.564,0.23
"P17","Puede que la vote",0.047,0.227,0.246
"P17","Nunca la votaría",0.862,0.177,0.443
"P17","No sabe",0.044,0.032,0.081
"P18","Lo votaría",0.045,0.268,0.443
"P18","Puede que lo vote",0.057,0.272,0.156
"P18","Nunca lo votaría",0.875,0.415,0.337
"P18","No sabe",0.023,0.045,0.064
"P19","La votaría",0.035,0.244,0.111
"P19","Puede que la vote",0.077,0.383,0.18
"P19","Nunca la votaría",0.839,0.307,0.625
"P19","No sabe",0.049,0.066,0.084
"P20","Lo votaría",0.324,0.046,0.058
"P20","Puede que lo vote",0.316,0.091,0.101
"P20","Nunca lo votaría",0.288,0.799,0.716
"P20","No sabe",0.072,0.064,0.125
"P21","Lo votaría",0.309,0.025,0.046
"P21","Puede que lo vote",0.448,0.034,0.102
"P21","Nunca lo votaría",0.185,0.927,0.773
"P21","No sabe",0.058,0.014,0.079
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.184,0.016
"P22","Patricia Bullrich por Juntos por el Cambio",0.037,0.53,0.206
"P22","Facundo Manes por Juntos por el Cambio",0.023,0.068,0.045
"P22","Alberto Fernández por el Frente de Todos",0.112,0.011,0.043
"P22","Sergio Massa por el Frente de Todos",0.217,0.011,0.01
"P22","Wado de Pedro por el Frente de Todos",0.319,0.006,0.072
"P22","Daniel Scioli por el Frente de Todos",0.183,0.007,0.043
"P22","Javier Milei por los liberales libertarios",0.022,0.15,0.429
"P22","Al candidato del Frente de Izquierda",0.024,0.006,0.03
"P22","No sabe",0.055,0.027,0.106
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.161,0.017
"P23","Patricia Bullrich por Juntos por el Cambio",0.032,0.495,0.2
"P23","María Eugenia Vidal por Juntos por el Cambio",0.018,0.092,0.029
"P23","Facundo Manes por Juntos por el Cambio",0.033,0.065,0.028
"P23","Sergio Massa por el Frente de Todos",0.279,0.01,0.019
"P23","Wado de Pedro por el Frente de Todos",0.342,0.009,0.075
"P23","Daniel Scioli por el Frente de Todos",0.186,0.005,0.056
"P23","Javier Milei por los liberales libertarios",0.031,0.137,0.435
"P23","Al candidato del Frente de Izquierda",0.024,0.003,0.032
"P23","No sabe",0.047,0.023,0.109
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.161,0.015
"P24","Patricia Bullrich por Juntos por el Cambio",0.036,0.493,0.208
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.098,0.025
"P24","Facundo Manes por Juntos por el Cambio",0.035,0.056,0.037
"P24","Sergio Massa por el Frente de Todos",0.292,0.004,0.016
"P24","Wado de Pedro por el Frente de Todos",0.376,0.009,0.076
"P24","Alberto Fernández por el Frente de Todos",0.16,0.008,0.061
"P24","Javier Milei por los liberales libertarios",0.024,0.148,0.436
"P24","Al candidato del Frente de Izquierda",0.014,0.005,0.032
"P24","No sabe",0.045,0.018,0.094
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.164,0.027
"P25","Patricia Bullrich por Juntos por el Cambio",0.031,0.437,0.174
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.149,0.071
"P25","Sergio Massa por el Frente de Todos",0.26,0.01,0.025
"P25","Wado de Pedro por el Frente de Todos",0.355,0.007,0.065
"P25","Daniel Scioli por el Frente de Todos",0.237,0.013,0.056
"P25","Javier Milei por los liberales libertario",0.035,0.116,0.244
"P25","Al candidato del Frente de Izquierda",0.016,0.081,0.226
"P25","No sabe",0.031,0.023,0.112
