"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.067,0.08,0.064,0.076,0.079,0.074,0.067,0.07,0.085,0.072,0.081,0.055,0.076,0.03,0.116,0.127
"Patricia Bullrich por Juntos por el Cambio",0.228,0.207,0.247,0.102,0.17,0.288,0.429,0.199,0.22,0.267,0.24,0.192,0.192,0.237,0.049,0.452,0.141
"María Eugenia Vidal por Juntos por el Cambio",0.051,0.04,0.061,0.049,0.051,0.049,0.055,0.053,0.051,0.048,0.044,0.066,0.039,0.051,0.025,0.073,0.065
"Facundo Manes por Juntos por el Cambio",0.039,0.036,0.043,0.027,0.046,0.039,0.04,0.043,0.032,0.046,0.041,0.036,0.049,0.038,0.033,0.038,0.123
"Sergio Massa por el Frente de Todos",0.089,0.083,0.094,0.084,0.092,0.096,0.078,0.105,0.087,0.075,0.081,0.089,0.085,0.095,0.186,0.024,0.052
"Wado de Pedro por el Frente de Todos",0.105,0.095,0.115,0.089,0.103,0.114,0.119,0.065,0.108,0.141,0.107,0.063,0.127,0.117,0.254,0.021,0.026
"Daniel Scioli por el Frente de Todos",0.068,0.07,0.066,0.054,0.069,0.086,0.057,0.084,0.061,0.062,0.058,0.057,0.075,0.08,0.15,0.014,0.049
"Javier Milei por los liberales libertarios",0.216,0.299,0.137,0.374,0.245,0.134,0.072,0.212,0.251,0.173,0.228,0.264,0.26,0.182,0.111,0.217,0.257
"Al candidato del Frente de Izquierda",0.022,0.023,0.021,0.029,0.027,0.011,0.015,0.022,0.02,0.023,0.022,0.022,0.009,0.023,0.028,0.007,0.014
"No sabe",0.108,0.08,0.136,0.128,0.121,0.104,0.061,0.15,0.1,0.08,0.107,0.13,0.109,0.101,0.134,0.038,0.146
