"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.428,0.402,0.49,0.446,0.493,0.461,0.386
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.134,0.194,0.21,0.27,0.236,0.266
"P04","No tengo trabajo",0.188,0.157,0.148,0.171,0.177,0.186,0.209
"P04","Soy jubilado o pensionado",0.188,0.307,0.168,0.173,0.06,0.117,0.139
"P05","1",0.309,0.387,0.132,0.224,0.401,0.182,0.338
"P05","2",0.09,0.081,0.074,0.066,0.107,0.068,0.067
"P05","3",0.058,0.089,0.03,0.052,0.081,0.031,0.038
"P05","4",0.108,0.113,0.039,0.074,0.065,0.066,0.048
"P05","5",0.241,0.184,0.112,0.193,0.182,0.153,0.218
"P05","6",0.042,0.037,0.067,0.07,0.026,0.017,0.044
"P05","7",0.052,0.029,0.172,0.089,0.02,0.114,0.061
"P05","8",0.025,0.02,0.122,0.05,0.027,0.084,0.035
"P05","9",0.075,0.06,0.252,0.182,0.091,0.285,0.151
"P06","1",0.216,0.152,0.441,0.326,0.145,0.343,0.356
"P06","2",0.05,0.035,0.101,0.052,0.051,0.073,0.06
"P06","3",0.042,0.036,0.096,0.06,0.03,0.054,0.039
"P06","4",0.04,0.033,0.047,0.074,0.031,0.051,0.047
"P06","5",0.239,0.21,0.12,0.216,0.165,0.185,0.255
"P06","6",0.079,0.057,0.024,0.048,0.043,0.015,0.03
"P06","7",0.078,0.104,0.036,0.041,0.083,0.028,0.044
"P06","8",0.056,0.087,0.02,0.024,0.083,0.033,0.013
"P06","9",0.2,0.286,0.115,0.159,0.369,0.218,0.156
"P07","1",0.278,0.189,0.696,0.516,0.196,0.535,0.357
"P07","2",0.055,0.03,0.022,0.035,0.02,0.056,0.023
"P07","3",0.035,0.036,0.036,0.03,0.031,0.043,0.021
"P07","4",0.037,0.025,0.018,0.032,0.018,0.007,0.022
"P07","5",0.12,0.144,0.062,0.084,0.134,0.093,0.119
"P07","6",0.024,0.032,0.022,0.019,0.04,0.006,0.02
"P07","7",0.03,0.054,0.015,0.024,0.038,0.007,0.035
"P07","8",0.026,0.055,0.008,0.011,0.058,0.012,0.019
"P07","9",0.395,0.435,0.121,0.249,0.465,0.241,0.384
"P09","Del Frente de Todos y el peronismo",0.079,0.033,0.843,0.738,0.059,0.362,0.333
"P09","De Juntos por el cambio",0.711,0.783,0.035,0.042,0.08,0.045,0.154
"P09","De los Liberales libertarios",0.064,0.099,0.03,0.049,0.743,0.087,0.049
"P09","De la Izquierda",0.014,0.008,0.021,0.017,0.02,0.407,0.033
"P09","No sabe",0.132,0.077,0.071,0.154,0.098,0.099,0.431
"P10","A Alberto Fernández",0.223,0.21,0.106,0.155,0.177,0.1,0.351
"P10","A Sergio Massa",0.341,0.268,0.087,0.41,0.3,0.062,0.06
"P10","A algún candidato del peronismo",0.351,0.439,0.118,0.173,0.37,0.215,0.28
"P10","A algún candidato del kirchnerismo",0.085,0.083,0.689,0.262,0.153,0.623,0.309
"P11","A Alberto Fernández",0.299,0.21,0.067,0.102,0.118,0.037,0.308
"P11","A Sergio Massa",0.241,0.133,0.03,0.282,0.222,0.015,0.036
"P11","A algún candidato del peronismo",0.41,0.502,0.075,0.132,0.251,0.187,0.155
"P11","A Cristina Fernández de Kirchner",0.05,0.155,0.828,0.484,0.409,0.761,0.501
"P12","A Horacio Rodriguez Larreta",0.693,0.108,0.107,0.239,0.222,0.101,0.355
"P12","A Patricia Bullrich",0.133,0.851,0.187,0.03,0.536,0.657,0.167
"P12","A Facundo Manes",0.067,0.017,0.628,0.495,0.224,0.191,0.148
"P12","A Gerardo Morales",0.107,0.024,0.078,0.236,0.018,0.051,0.33
"P13","Lo votaría",0.106,0.026,0.184,0.493,0.041,0.099,0.084
"P13","Puede que lo vote",0.095,0.129,0.438,0.334,0.063,0.186,0.179
"P13","Nunca lo votaría",0.729,0.815,0.194,0.069,0.826,0.48,0.427
"P13","No sabe",0.07,0.03,0.184,0.104,0.07,0.235,0.31
"P14","Lo votaría",0.038,0.016,0.188,0.296,0.03,0.103,0.148
"P14","Puede que lo vote",0.057,0.021,0.403,0.33,0.039,0.184,0.155
"P14","Nunca lo votaría",0.873,0.948,0.276,0.261,0.886,0.586,0.476
"P14","No sabe",0.032,0.015,0.133,0.113,0.045,0.127,0.221
"P15","Lo votaría",0.566,0.176,0.024,0.05,0.031,0.063,0.048
"P15","Puede que lo vote",0.243,0.434,0.074,0.129,0.192,0.088,0.169
"P15","Nunca lo votaría",0.138,0.334,0.863,0.747,0.715,0.776,0.576
"P15","No sabe",0.053,0.056,0.039,0.074,0.062,0.073,0.207
"P16","Lo votaría",0.189,0.09,0.022,0.076,0.051,0.107,0.076
"P16","Puede que lo vote",0.342,0.325,0.118,0.159,0.176,0.109,0.148
"P16","Nunca lo votaría",0.312,0.483,0.734,0.614,0.677,0.655,0.519
"P16","No sabe",0.157,0.102,0.126,0.151,0.096,0.129,0.257
"P17","La votaría",0.26,0.744,0.03,0.045,0.182,0.099,0.052
"P17","Puede que la vote",0.36,0.14,0.038,0.04,0.34,0.089,0.112
"P17","Nunca la votaría",0.31,0.086,0.901,0.848,0.415,0.747,0.617
"P17","No sabe",0.07,0.03,0.031,0.067,0.063,0.065,0.219
"P18","Lo votaría",0.122,0.205,0.032,0.052,0.761,0.111,0.052
"P18","Puede que lo vote",0.254,0.303,0.036,0.052,0.139,0.081,0.127
"P18","Nunca lo votaría",0.55,0.437,0.906,0.832,0.087,0.757,0.636
"P18","No sabe",0.074,0.055,0.026,0.064,0.013,0.051,0.185
"P19","La votaría",0.284,0.202,0.039,0.058,0.132,0.07,0.061
"P19","Puede que la vote",0.294,0.398,0.036,0.052,0.217,0.116,0.122
