"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.423,0.473,0.495,0.488,0.431
"P04","Realizo changas o trabajos de vez en cuando",0.154,0.167,0.267,0.215,0.177
"P04","No tengo trabajo",0.156,0.148,0.16,0.167,0.188
"P04","Soy jubilado o pensionado",0.267,0.212,0.078,0.13,0.204
"P05","1",0.332,0.214,0.41,0.2,0.297
"P05","2",0.074,0.081,0.116,0.042,0.071
"P05","3",0.061,0.045,0.087,0.054,0.045
"P05","4",0.113,0.073,0.081,0.042,0.079
"P05","5",0.221,0.158,0.165,0.102,0.209
"P05","6",0.048,0.07,0.02,0.025,0.04
"P05","7",0.049,0.133,0.023,0.124,0.062
"P05","8",0.027,0.069,0.021,0.124,0.053
"P05","9",0.075,0.157,0.077,0.287,0.144
"P06","1",0.177,0.359,0.143,0.289,0.304
"P06","2",0.036,0.087,0.039,0.147,0.043
"P06","3",0.03,0.065,0.039,0.138,0.059
"P06","4",0.04,0.065,0.035,0.033,0.06
"P06","5",0.248,0.177,0.142,0.112,0.232
"P06","6",0.071,0.049,0.055,0.016,0.031
"P06","7",0.107,0.047,0.092,0.02,0.065
"P06","8",0.066,0.037,0.09,0.059,0.037
"P06","9",0.225,0.114,0.365,0.186,0.169
"P07","1",0.258,0.538,0.193,0.6,0.378
"P07","2",0.041,0.033,0.02,0.05,0.025
"P07","3",0.035,0.032,0.037,0.051,0.031
"P07","4",0.033,0.026,0.02,0.011,0.02
"P07","5",0.136,0.08,0.129,0.097,0.103
"P07","6",0.025,0.023,0.047,0.011,0.018
"P07","7",0.052,0.025,0.053,0.005,0.029
"P07","8",0.039,0.021,0.066,0.024,0.036
"P07","9",0.381,0.222,0.435,0.151,0.36
"P09","Del Frente de Todos y el peronismo",0.154,0.688,0.049,0.438,0.362
"P09","De Juntos por el cambio",0.727,0.198,0.192,0.09,0.303
"P09","De los Liberales libertarios",0.04,0.026,0.67,0.069,0.043
"P09","De la Izquierda",0.006,0.004,0.008,0.312,0.013
"P09","No sabe",0.073,0.084,0.081,0.091,0.279
"P10","A Alberto Fernández",0.19,0.118,0.186,0.033,0.176
"P10","A Sergio Massa",0.315,0.278,0.303,0.068,0.089
"P10","A algún candidato del peronismo",0.198,0.151,0.35,0.11,0.238
