"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.264,0.236,0.292,0.191,0.218,0.329,0.34,0.242,0.274,0.272,0.253,0.264,0.241,0.276,0.077,0.481,0.162
"Patricia Bullrich","Buena",0.151,0.174,0.128,0.125,0.148,0.162,0.164,0.13,0.157,0.161,0.146,0.147,0.205,0.149,0.06,0.223,0.166
"Patricia Bullrich","Ni buena ni mala",0.139,0.136,0.142,0.239,0.154,0.077,0.101,0.159,0.146,0.113,0.144,0.162,0.167,0.122,0.118,0.101,0.271
"Patricia Bullrich","Mala",0.086,0.104,0.068,0.094,0.096,0.078,0.069,0.115,0.074,0.076,0.082,0.098,0.034,0.092,0.101,0.053,0.111
"Patricia Bullrich","Muy mala",0.349,0.343,0.355,0.348,0.372,0.337,0.319,0.335,0.339,0.373,0.365,0.304,0.349,0.353,0.626,0.14,0.262
"Patricia Bullrich","No sabe",0.011,0.007,0.015,0.003,0.012,0.017,0.007,0.019,0.01,0.005,0.01,0.025,0.004,0.008,0.018,0.002,0.028
"Javier Milei","Muy buena",0.215,0.278,0.152,0.329,0.248,0.154,0.118,0.243,0.238,0.162,0.238,0.246,0.239,0.181,0.083,0.253,0.218
"Javier Milei","Buena",0.141,0.15,0.132,0.127,0.134,0.14,0.171,0.114,0.158,0.144,0.136,0.199,0.108,0.128,0.057,0.195,0.163
"Javier Milei","Ni buena ni mala",0.184,0.166,0.202,0.117,0.156,0.23,0.245,0.202,0.179,0.174,0.172,0.161,0.196,0.201,0.098,0.276,0.227
"Javier Milei","Mala",0.114,0.096,0.132,0.114,0.117,0.101,0.126,0.125,0.098,0.124,0.095,0.136,0.112,0.122,0.114,0.119,0.171
"Javier Milei","Muy mala",0.327,0.299,0.355,0.306,0.327,0.346,0.322,0.276,0.312,0.39,0.338,0.24,0.34,0.348,0.623,0.145,0.209
"Javier Milei","No sabe",0.019,0.011,0.027,0.007,0.018,0.029,0.018,0.04,0.015,0.006,0.021,0.018,0.005,0.02,0.025,0.012,0.012
"Facundo Manes","Muy buena",0.101,0.093,0.109,0.084,0.103,0.091,0.126,0.132,0.085,0.095,0.102,0.152,0.129,0.077,0.053,0.124,0.201
"Facundo Manes","Buena",0.153,0.164,0.142,0.1,0.132,0.162,0.233,0.119,0.161,0.172,0.135,0.161,0.134,0.168,0.087,0.212,0.2
"Facundo Manes","Ni buena ni mala",0.34,0.308,0.373,0.25,0.34,0.398,0.345,0.321,0.355,0.338,0.331,0.341,0.346,0.347,0.367,0.346,0.298
"Facundo Manes","Mala",0.157,0.166,0.146,0.19,0.15,0.153,0.145,0.14,0.16,0.166,0.159,0.124,0.14,0.169,0.199,0.123,0.127
"Facundo Manes","Muy mala",0.197,0.216,0.179,0.319,0.22,0.144,0.11,0.201,0.186,0.208,0.22,0.143,0.201,0.198,0.239,0.153,0.074
"Facundo Manes","No sabe",0.052,0.053,0.051,0.057,0.055,0.052,0.041,0.087,0.053,0.021,0.053,0.079,0.05,0.041,0.055,0.042,0.1
"Mauricio Macri","Muy buena",0.189,0.159,0.219,0.15,0.14,0.224,0.281,0.2,0.174,0.198,0.203,0.153,0.104,0.203,0.085,0.341,0.067
"Mauricio Macri","Buena",0.154,0.16,0.148,0.114,0.151,0.169,0.178,0.139,0.162,0.158,0.149,0.199,0.116,0.147,0.04,0.276,0.083
"Mauricio Macri","Ni buena ni mala",0.156,0.162,0.149,0.214,0.157,0.134,0.128,0.16,0.167,0.137,0.169,0.19,0.248,0.118,0.081,0.18,0.295
"Mauricio Macri","Mala",0.122,0.137,0.108,0.165,0.122,0.11,0.097,0.141,0.118,0.111,0.108,0.152,0.178,0.115,0.149,0.057,0.189
"Mauricio Macri","Muy mala",0.372,0.375,0.369,0.35,0.425,0.353,0.31,0.352,0.372,0.39,0.364,0.303,0.325,0.411,0.642,0.144,0.36
"Mauricio Macri","No sabe",0.007,0.007,0.007,0.007,0.005,0.01,0.006,0.008,0.007,0.006,0.007,0.003,0.029,0.006,0.003,0.002,0.006
"Maria Eugenia Vidal","Muy buena",0.145,0.124,0.167,0.099,0.123,0.162,0.215,0.167,0.14,0.133,0.124,0.232,0.134,0.133,0.044,0.256,0.09
"Maria Eugenia Vidal","Buena",0.173,0.17,0.177,0.105,0.161,0.198,0.23,0.168,0.155,0.199,0.172,0.176,0.144,0.178,0.075,0.283,0.186
"Maria Eugenia Vidal","Ni buena ni mala",0.182,0.172,0.191,0.226,0.181,0.182,0.14,0.164,0.196,0.18,0.205,0.159,0.158,0.173,0.11,0.216,0.292
"Maria Eugenia Vidal","Mala",0.127,0.159,0.094,0.15,0.122,0.131,0.108,0.155,0.119,0.111,0.129,0.11,0.176,0.124,0.147,0.083,0.153
"Maria Eugenia Vidal","Muy mala",0.361,0.365,0.358,0.417,0.395,0.315,0.302,0.327,0.376,0.373,0.357,0.301,0.386,0.384,0.611,0.16,0.245
"Maria Eugenia Vidal","No sabe",0.012,0.01,0.013,0.003,0.018,0.012,0.005,0.019,0.014,0.004,0.013,0.022,0.002,0.008,0.013,0.002,0.034
"Horacio Rodriguez Larreta","Muy buena",0.115,0.101,0.128,0.086,0.081,0.134,0.187,0.135,0.11,0.105,0.111,0.131,0.088,0.117,0.026,0.195,0.125
"Horacio Rodriguez Larreta","Buena",0.183,0.168,0.198,0.078,0.167,0.201,0.29,0.19,0.173,0.19,0.17,0.215,0.196,0.18,0.056,0.321,0.197
"Horacio Rodriguez Larreta","Ni buena ni mala",0.208,0.201,0.215,0.187,0.218,0.223,0.185,0.199,0.218,0.202,0.196,0.268,0.203,0.196,0.162,0.24,0.263
"Horacio Rodriguez Larreta","Mala",0.156,0.175,0.138,0.211,0.164,0.135,0.118,0.169,0.139,0.166,0.168,0.105,0.215,0.157,0.199,0.107,0.17
"Horacio Rodriguez Larreta","Muy mala",0.327,0.347,0.307,0.438,0.352,0.297,0.212,0.288,0.352,0.329,0.343,0.269,0.272,0.342,0.542,0.133,0.24
"Horacio Rodriguez Larreta","No sabe",0.011,0.008,0.014,0,0.018,0.01,0.008,0.019,0.008,0.008,0.012,0.012,0.026,0.008,0.015,0.004,0.005
"Wado de Pedro","Muy buena",0.154,0.148,0.16,0.2,0.148,0.142,0.14,0.137,0.146,0.178,0.186,0.109,0.221,0.134,0.298,0.055,0.106
"Wado de Pedro","Buena",0.12,0.126,0.115,0.08,0.126,0.121,0.144,0.134,0.115,0.115,0.113,0.124,0.101,0.127,0.231,0.056,0.087
"Wado de Pedro","Ni buena ni mala",0.162,0.148,0.176,0.159,0.161,0.189,0.127,0.178,0.166,0.143,0.153,0.207,0.159,0.153,0.173,0.141,0.248
"Wado de Pedro","Mala",0.126,0.115,0.136,0.126,0.125,0.114,0.145,0.11,0.133,0.13,0.11,0.163,0.1,0.129,0.066,0.164,0.219
"Wado de Pedro","Muy mala",0.38,0.412,0.348,0.347,0.379,0.4,0.39,0.365,0.38,0.395,0.378,0.32,0.375,0.406,0.184,0.547,0.25
"Wado de Pedro","No sabe",0.058,0.051,0.065,0.088,0.061,0.034,0.054,0.076,0.06,0.039,0.06,0.077,0.044,0.051,0.048,0.037,0.09
"CFK","Muy buena",0.224,0.192,0.257,0.216,0.211,0.245,0.232,0.233,0.196,0.253,0.225,0.182,0.234,0.239,0.533,0.04,0.115
"CFK","Buena",0.069,0.064,0.073,0.051,0.085,0.074,0.046,0.069,0.073,0.064,0.07,0.085,0.071,0.062,0.144,0.025,0.044
"CFK","Ni buena ni mala",0.061,0.053,0.069,0.088,0.068,0.05,0.036,0.064,0.07,0.047,0.059,0.062,0.03,0.066,0.099,0.026,0.055
