"var","categoria","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.422,0.5,0.477,0.527,0.442
"P04","Realizo changas o trabajos de vez en cuando",0.136,0.18,0.282,0.2,0.211
"P04","No tengo trabajo",0.162,0.135,0.166,0.168,0.179
"P04","Soy jubilado o pensionado",0.28,0.185,0.075,0.105,0.168
"P05","1",0.374,0.193,0.414,0.209,0.232
"P05","2",0.084,0.076,0.117,0.029,0.074
"P05","3",0.077,0.034,0.079,0.045,0.049
"P05","4",0.125,0.063,0.078,0.038,0.061
"P05","5",0.187,0.164,0.177,0.114,0.222
"P05","6",0.039,0.077,0.017,0.021,0.052
"P05","7",0.032,0.148,0.02,0.148,0.073
"P05","8",0.021,0.079,0.021,0.128,0.057
"P05","9",0.061,0.166,0.077,0.268,0.18
"P06","1",0.161,0.378,0.137,0.255,0.339
"P06","2",0.029,0.094,0.041,0.148,0.051
"P06","3",0.03,0.068,0.033,0.157,0.062
"P06","4",0.038,0.078,0.031,0.032,0.06
"P06","5",0.219,0.17,0.157,0.155,0.212
"P06","6",0.07,0.047,0.045,0.01,0.041
"P06","7",0.109,0.042,0.093,0.035,0.054
"P06","8",0.089,0.026,0.084,0.035,0.027
"P06","9",0.255,0.097,0.379,0.173,0.154
"P07","1",0.207,0.6,0.184,0.636,0.406
"P07","2",0.033,0.033,0.023,0.051,0.032
"P07","3",0.034,0.04,0.031,0.058,0.03
"P07","4",0.035,0.029,0.012,0.004,0.024
"P07","5",0.137,0.073,0.135,0.078,0.103
"P07","6",0.029,0.026,0.046,0.006,0.014
"P07","7",0.047,0.018,0.053,0.006,0.047
"P07","8",0.056,0.012,0.067,0.017,0.026
"P07","9",0.422,0.169,0.449,0.144,0.318
"P09","Del Frente de Todos y el peronismo",0.059,0.819,0.045,0.464,0.416
"P09","De Juntos por el cambio",0.78,0.093,0.117,0.107,0.215
"P09","De los Liberales libertarios",0.085,0.017,0.746,0.034,0.033
"P09","De la Izquierda",0.005,0.003,0.011,0.315,0.015
"P09","No sabe",0.071,0.068,0.081,0.08,0.321
"P10","A Alberto Fernández",0.251,0.126,0.142,0.037,0.169
"P10","A Sergio Massa",0.174,0.296,0.259,0.068,0.095
"P10","A algún candidato del peronismo",0.403,0.132,0.388,0.134,0.241
"P10","A algún candidato del kirchnerismo",0.172,0.446,0.211,0.761,0.495
"P11","A Alberto Fernández",0.237,0.077,0.203,0.028,0.167
"P11","A Sergio Massa",0.107,0.167,0.323,0.022,0.066
"P11","A algún candidato del peronismo",0.369,0.105,0.196,0.108,0.118
"P11","A Cristina Fernández de Kirchner",0.287,0.651,0.278,0.842,0.649
"P12","A Horacio Rodriguez Larreta",0.225,0.314,0.313,0.538,0.42
"P12","A Patricia Bullrich",0.696,0.316,0.555,0.288,0.35
"P12","A Facundo Manes",0.04,0.185,0.104,0.15,0.094
"P12","A Gerardo Morales",0.039,0.185,0.028,0.024,0.136
"P13","Lo votaría",0.051,0.372,0.032,0.082,0.118
"P13","Puede que lo vote",0.094,0.436,0.106,0.193,0.206
"P13","Nunca lo votaría",0.823,0.087,0.801,0.511,0.444
"P13","No sabe",0.032,0.105,0.061,0.214,0.232
"P14","Lo votaría",0.027,0.254,0.039,0.073,0.115
"P14","Puede que lo vote",0.036,0.411,0.029,0.248,0.176
"P14","Nunca lo votaría",0.921,0.238,0.911,0.604,0.534
"P14","No sabe",0.016,0.097,0.021,0.075,0.175
"P15","Lo votaría",0.278,0.046,0.047,0.044,0.07
"P15","Puede que lo vote",0.391,0.128,0.199,0.152,0.168
"P15","Nunca lo votaría",0.283,0.802,0.699,0.761,0.605
"P15","No sabe",0.048,0.024,0.055,0.043,0.157
"P16","Lo votaría",0.124,0.045,0.069,0.101,0.044
"P16","Puede que lo vote",0.345,0.152,0.191,0.155,0.167
"P16","Nunca lo votaría",0.439,0.688,0.646,0.66,0.569
"P16","No sabe",0.092,0.115,0.094,0.084,0.22
"P17","La votaría",0.672,0.053,0.226,0.035,0.08
"P17","Puede que la vote",0.2,0.04,0.348,0.072,0.109
"P17","Nunca la votaría",0.104,0.874,0.382,0.876,0.655
"P17","No sabe",0.024,0.033,0.044,0.017,0.156
"P18","Lo votaría",0.172,0.032,0.781,0.014,0.031
"P18","Puede que lo vote",0.309,0.045,0.156,0.068,0.123
"P18","Nunca lo votaría",0.465,0.892,0.05,0.911,0.729
"P18","No sabe",0.054,0.031,0.013,0.007,0.117
"P19","La votaría",0.248,0.049,0.158,0.009,0.056
"P19","Puede que la vote",0.369,0.073,0.251,0.13,0.133
"P19","Nunca la votaría",0.317,0.828,0.546,0.844,0.666
"P19","No sabe",0.066,0.05,0.045,0.017,0.145
"P20","Lo votaría",0.056,0.313,0.028,0.253,0.146
"P20","Puede que lo vote",0.088,0.312,0.069,0.308,0.186
"P20","Nunca lo votaría",0.808,0.283,0.825,0.379,0.49
"P20","No sabe",0.048,0.092,0.078,0.06,0.178
"P21","Lo votaría",0.033,0.309,0.033,0.102,0.105
"P21","Puede que lo vote",0.036,0.443,0.052,0.317,0.247
"P21","Nunca lo votaría",0.916,0.185,0.893,0.51,0.484
"P21","No sabe",0.015,0.063,0.022,0.071,0.164
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.152,0.03,0.026,0.06,0.094
"P22","Patricia Bullrich por Juntos por el Cambio",0.691,0.043,0.085,0.011,0.116
"P22","Facundo Manes por Juntos por el Cambio",0.057,0.031,0.029,0.067,0.058
"P22","Alberto Fernández por el Frente de Todos",0.014,0.108,0.018,0.051,0.108
"P22","Sergio Massa por el Frente de Todos",0.01,0.246,0.01,0.04,0.057
"P22","Wado de Pedro por el Frente de Todos",0.016,0.288,0.014,0.334,0.177
"P22","Daniel Scioli por el Frente de Todos",0.009,0.204,0.017,0.073,0.087
"P22","Javier Milei por los liberales libertarios",0.021,0.001,0.78,0.01,0.025
"P22","Al candidato del Frente de Izquierda",0.004,0.014,0,0.306,0.007
"P22","No sabe",0.026,0.035,0.021,0.048,0.271
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.13,0.027,0.023,0.061,0.091
"P23","Patricia Bullrich por Juntos por el Cambio",0.644,0.044,0.085,0.005,0.109
"P23","María Eugenia Vidal por Juntos por el Cambio",0.101,0.012,0.019,0.021,0.057
"P23","Facundo Manes por Juntos por el Cambio",0.04,0.04,0.028,0.078,0.054
"P23","Sergio Massa por el Frente de Todos",0.011,0.314,0.007,0.035,0.091
"P23","Wado de Pedro por el Frente de Todos",0.022,0.313,0.014,0.363,0.173
"P23","Daniel Scioli por el Frente de Todos",0.007,0.206,0.02,0.087,0.114
"P23","Javier Milei por los liberales libertarios",0.021,0.003,0.792,0.007,0.017
"P23","Al candidato del Frente de Izquierda",0.006,0.012,0.001,0.296,0.01
"P23","No sabe",0.018,0.029,0.011,0.047,0.284
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.135,0.03,0.017,0.059,0.077
"P24","Patricia Bullrich por Juntos por el Cambio",0.652,0.043,0.087,0.007,0.117
"P24","María Eugenia Vidal por Juntos por el Cambio",0.1,0.012,0.027,0.017,0.036
"P24","Facundo Manes por Juntos por el Cambio",0.042,0.038,0.019,0.086,0.065
"P24","Sergio Massa por el Frente de Todos",0.006,0.331,0.005,0.04,0.069
"P24","Wado de Pedro por el Frente de Todos",0.011,0.353,0.01,0.385,0.207
"P24","Alberto Fernández por el Frente de Todos",0.018,0.161,0.026,0.042,0.143
"P24","Javier Milei por los liberales libertarios",0.022,0.004,0.795,0.026,0.019
"P24","Al candidato del Frente de Izquierda",0.002,0.004,0.003,0.285,0.01
"P24","No sabe",0.012,0.024,0.011,0.053,0.257
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.151,0.028,0.023,0.082,0.078
"P25","Patricia Bullrich por Juntos por el Cambio",0.587,0.033,0.067,0.014,0.086
"P25","Facundo Manes por Juntos por el Cambio",0.152,0.029,0.049,0.048,0.092
"P25","Sergio Massa por el Frente de Todos",0.008,0.289,0.012,0.035,0.086
"P25","Wado de Pedro por el Frente de Todos",0.015,0.329,0.012,0.36,0.173
"P25","Daniel Scioli por el Frente de Todos",0.018,0.236,0.022,0.092,0.142
"P25","Javier Milei por los liberales libertario",0.041,0.031,0.416,0.04,0.058
"P25","Al candidato del Frente de Izquierda",0.011,0.009,0.391,0.16,0.009
"P25","No sabe",0.017,0.016,0.008,0.169,0.276
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.215,0.035,0.024,0.056,0.106
"P26","Patricia Bulrich por Juntos por el Cambio",0.663,0.07,0.082,0.015,0.108
"P26","Alberto Fernández por el Frente de Todos",0.021,0.199,0.025,0.08,0.158
"P26","Sergio Massa por el Frente de Todos",0.009,0.567,0.017,0.132,0.13
"P26","Javier Milei por los liberales libertarios",0.05,0.025,0.772,0.032,0.045
"P26","Al candidato del Frente de Izquierda",0.016,0.038,0.017,0.584,0.039
"P26","No sabe",0.026,0.066,0.063,0.101,0.414
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.206,0.033,0.022,0.063,0.124
"P27","Patricia Bullrich por Juntos por el Cambio",0.692,0.055,0.087,0.02,0.127
"P27","Wado de Pedro por el Frente de Todos",0.025,0.371,0.008,0.34,0.205
"P27","Sergio Massa por el Frente de Todos",0.006,0.463,0.02,0.062,0.116
"P27","Javier Milei por los liberales libertarios",0.045,0.017,0.823,0.012,0.037
"P27","Al candidato del Frente de Izquierda",0.007,0.012,0.017,0.447,0.022
"P27","No sabe",0.019,0.049,0.023,0.056,0.369
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.197,0.038,0.031,0.066,0.113
"P28","Patricia Bullrich por Juntos por el Cambio",0.707,0.053,0.077,0.011,0.136
"P28","Wado de Pedro por el Frente de Todos",0.018,0.414,0.01,0.339,0.205
"P28","Daniel Scioli por el Frente de Todos",0.014,0.368,0.017,0.098,0.167
"P28","Javier Milei por los liberales libertarios",0.037,0.018,0.845,0.035,0.029
"P28","Al candidato del Frente de Izquierda",0.007,0.013,0.014,0.409,0.02
"P28","No sabe",0.02,0.096,0.006,0.042,0.33
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.27,0.033,0.057,0.09,0.158
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.623,0.043,0.042,0.01,0.077
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.016,0.425,0.021,0.058,0.082
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.025,0.431,0.02,0.339,0.232
"P29","Javier Milei presidente y su candidato a vice",0.031,0.009,0.85,0.025,0.035
"P29","A los candidatos de la izquierda",0.001,0.01,0.001,0.419,0.011
"P29","No sabe",0.034,0.049,0.009,0.059,0.405
"P30","Alberto Fernández por el Frente de Todos",0.056,0.693,0.016,0.19,0.277
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.559,0.082,0.037,0.08,0.151
"P30","Javier Milei por los liberales libertarios",0.192,0.028,0.912,0.012,0.026
"P30","Al candidato del Frente de Izquierda",0.014,0.04,0.007,0.649,0.023
"P30","No sabe",0.179,0.157,0.028,0.069,0.523
"P31","Sergio Massa por el Frente de Todos",0.037,0.813,0.009,0.196,0.177
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.61,0.069,0.029,0.057,0.165
"P31","Javier Milei por los liberales libertarios",0.21,0.022,0.928,0.016,0.031
"P31","Al candidato del Frente de Izquierda",0.007,0.018,0.02,0.674,0.032
"P31","No sabe",0.136,0.078,0.014,0.057,0.595
"P32","Wado de Pedro por el Frente de Todos",0.032,0.748,0.017,0.406,0.262
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.628,0.078,0.033,0.081,0.16
"P32","Javier Milei por los liberales libertarios",0.206,0.014,0.926,0.018,0.028
"P32","Al candidato del Frente de Izquierda",0.007,0.016,0.006,0.463,0.026
"P32","No sabe",0.127,0.144,0.018,0.032,0.524
"P33","Daniel Scioli por el Frente de Todos",0.033,0.764,0.023,0.24,0.243
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.647,0.076,0.034,0.074,0.159
"P33","Javier Milei por los liberales libertarios",0.195,0.02,0.921,0.013,0.022
"P33","Al candidato del Frente de Izquierda",0.009,0.021,0.007,0.62,0.025
"P33","No sabe",0.116,0.119,0.015,0.053,0.551
"P34","Sergio Massa por el Frente de Todos",0.033,0.858,0.011,0.15,0.174
"P34","Patricia Bullrich por Juntos por el Cambio",0.887,0.07,0.089,0.046,0.143
"P34","Javier Milei por los liberales libertarios",0.045,0.012,0.875,0.016,0.023
"P34","Al candidato del Frente de Izquierda",0.002,0.019,0.007,0.728,0.027
"P34","No sabe",0.033,0.041,0.018,0.06,0.633
"P35","Alberto Fernández por el Frente de Todos",0.035,0.762,0.02,0.192,0.268
"P35","Patricia Bullrich por Juntos por el Cambio",0.894,0.066,0.09,0.018,0.148
"P35","Javier Milei por los liberales libertarios",0.038,0.031,0.877,0.014,0.022
"P35","Al candidato del Frente de Izquierda",0.002,0.039,0.006,0.743,0.025
"P35","No sabe",0.031,0.102,0.007,0.033,0.537
"P36","Wado de Pedro por el Frente de Todos",0.036,0.724,0.015,0.393,0.257
"P36","Patricia Bullrich por Juntos por el Cambio",0.902,0.075,0.087,0.022,0.14
"P36","Javier Milei por los liberales libertarios",0.035,0.031,0.881,0.015,0.02
"P36","Al candidato del Frente de Izquierda",0.005,0.025,0.01,0.525,0.021
"P36","No sabe",0.022,0.145,0.007,0.045,0.562
"P37","Daniel Scioli por el Frente de Todos",0.032,0.783,0.012,0.257,0.264
"P37","Patricia Bullrich por Juntos por el Cambio",0.91,0.068,0.089,0.022,0.14
"P37","Javier Milei por los liberales libertarios",0.035,0.016,0.89,0.015,0.021
"P37","Al candidato del Frente de Izquierda",0.002,0.027,0,0.688,0.017
"P37","No sabe",0.021,0.106,0.009,0.018,0.558
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.565,0.102,0.032,0.073,0.152
